Patch 	Gray  	Lab   	A   	B
0     	0.00  	96.74 	0.00  	0.00  
1     	5.00  	92.50 	0.00  	0.00  
2     	10.00 	88.43 	0.00  	0.00  
3     	15.00 	85.58 	0.00  	0.00  
4     	20.00 	80.32 	0.00  	0.00  
5     	25.00 	74.97 	0.00  	0.00  
6     	30.00 	70.32 	0.00  	0.00  
7     	35.00 	65.23 	0.00  	0.00  
8     	40.00 	62.64 	0.00  	0.00  
9     	45.00 	58.74 	0.00  	0.00  
10    	50.00 	53.75 	0.00  	0.00  
11    	55.00 	47.28 	0.00  	0.00  
12    	60.00 	43.76 	0.00  	0.00  
13    	65.00 	41.19 	0.00  	0.00  
14    	70.00 	37.97 	0.00  	0.00  
15    	75.00 	33.29 	0.00  	0.00  
16    	80.00 	28.39 	0.00  	0.00  
17    	85.00 	23.27 	0.00  	0.00  
18    	90.00 	19.19 	0.00  	0.00  
19    	95.00 	14.82 	0.00  	0.00  
20    	100.00	10.48 	0.00  	0.00  
