Patch 	Gray  	Lab   	A   	B
0     	0.00  	97.35 	0.61  	6.31  
1     	5.00  	96.42 	0.74  	6.80  
2     	10.00 	96.09 	0.81  	6.71  
3     	15.00 	95.80 	0.88  	6.64  
4     	20.00 	94.82 	0.89  	6.99  
5     	25.00 	93.30 	1.08  	7.45  
6     	30.00 	91.49 	1.27  	8.19  
7     	35.00 	88.79 	0.90  	8.19  
8     	40.00 	85.77 	0.47  	8.34  
9     	45.00 	83.43 	0.44  	8.17  
10    	50.00 	80.83 	0.58  	8.12  
11    	55.00 	77.39 	0.77  	8.37  
12    	60.00 	75.41 	0.80  	8.75  
13    	65.00 	72.06 	0.89  	8.87  
14    	70.00 	67.61 	1.07  	8.95  
15    	75.00 	60.98 	0.65  	8.44  
16    	80.00 	51.33 	-0.25 	7.52  
17    	85.00 	37.07 	-0.59 	5.17  
18    	90.00 	26.74 	-0.89 	3.66  
19    	95.00 	16.32 	-1.40 	1.65  
20    	100.00	11.14 	-1.66 	0.33  
