CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 1112047"
DESCRIPTOR	"デフォルトの測定値"
MEASUREMENT_SOURCE	"MeasurementCondition=M0	Filter=no"
ILLUMINATION_NAME	"D65"
OBSERVER_ANGLE	"2"
FILTER	"no"
WEIGHTING_FUNCTION	"ILLUMINANT,	D65"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2026-05-28T21:03:44"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	256
BEGIN_DATA
1	A1	   29.24	    0.44	    1.23	
2	B1	   34.79	    0.77	    3.07	
3	C1	   39.82	    0.97	    4.46	
4	D1	   44.41	    1.08	    5.67	
5	E1	   48.76	    1.16	    6.32	
6	F1	   53.51	    1.16	    6.98	
7	G1	   57.99	    1.05	    7.51	
8	H1	   62.68	    1.00	    7.82	
9	I1	   66.77	    0.91	    8.15	
10	J1	   71.82	    0.76	    8.03	
11	K1	   75.84	    0.62	    7.99	
12	L1	   79.60	    0.43	    7.89	
13	M1	   84.34	    0.18	    7.53	
14	N1	   88.07	   -0.03	    7.24	
15	O1	   92.32	   -0.35	    6.31	
16	P1	   95.54	   -0.61	    5.42	
17	A2	   28.74	    0.40	    1.06	
18	B2	   34.21	    0.74	    2.90	
19	C2	   39.79	    0.93	    4.43	
20	D2	   43.35	    1.09	    5.47	
21	E2	   48.03	    1.14	    6.30	
22	F2	   52.80	    1.16	    6.98	
23	G2	   56.92	    1.09	    7.42	
24	H2	   61.64	    1.03	    7.71	
25	I2	   66.00	    0.95	    8.09	
26	J2	   70.94	    0.79	    8.06	
27	K2	   75.15	    0.62	    8.00	
28	L2	   79.15	    0.45	    7.93	
29	M2	   83.67	    0.24	    7.69	
30	N2	   87.44	    0.01	    7.39	
31	O2	   92.10	   -0.36	    6.25	
32	P2	   95.86	   -0.67	    5.34	
33	A3	   28.35	    0.33	    1.14	
34	B3	   33.46	    0.71	    2.79	
35	C3	   38.72	    0.90	    4.25	
36	D3	   42.75	    1.04	    5.25	
37	E3	   47.51	    1.17	    6.20	
38	F3	   52.11	    1.20	    7.00	
39	G3	   56.23	    1.11	    7.34	
40	H3	   60.46	    1.03	    7.70	
41	I3	   65.06	    0.97	    8.01	
42	J3	   70.07	    0.80	    7.96	
43	K3	   74.31	    0.65	    7.92	
44	L3	   78.54	    0.48	    7.75	
45	M3	   83.06	    0.28	    7.66	
46	N3	   86.92	    0.03	    7.36	
47	O3	   91.43	   -0.30	    6.35	
48	P3	   95.66	   -0.64	    5.54	
49	A4	   27.97	    0.35	    0.99	
50	B4	   32.97	    0.67	    2.57	
51	C4	   37.83	    0.81	    4.04	
52	D4	   42.47	    1.03	    5.15	
53	E4	   47.14	    1.15	    6.12	
54	F4	   51.62	    1.18	    6.81	
55	G4	   55.91	    1.13	    7.47	
56	H4	   59.86	    1.06	    7.65	
57	I4	   64.50	    0.95	    7.88	
58	J4	   69.71	    0.81	    7.93	
59	K4	   73.58	    0.70	    7.91	
60	L4	   77.51	    0.53	    7.79	
61	M4	   82.58	    0.30	    7.70	
62	N4	   86.29	    0.06	    7.39	
63	O4	   91.04	   -0.24	    6.35	
64	P4	   92.23	   -0.57	    5.29	
65	A5	   27.63	    0.26	    0.88	
66	B5	   32.43	    0.64	    2.20	
67	C5	   37.35	    0.85	    3.98	
68	D5	   42.32	    1.06	    5.22	
