CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 1112047"
DESCRIPTOR	"デフォルトの測定値"
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"
ILLUMINATION_NAME	"D65"
OBSERVER_ANGLE	"2"
FILTER	"D50"
WEIGHTING_FUNCTION	"ILLUMINANT,	D65"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2026-05-28T21:03:44"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	256
BEGIN_DATA
1	A1	   29.24	    0.44	    1.23	
2	B1	   34.79	    0.77	    3.07	
3	C1	   39.81	    0.99	    4.43	
4	D1	   44.40	    1.14	    5.60	
5	E1	   48.76	    1.17	    6.30	
6	F1	   53.51	    1.16	    6.98	
7	G1	   57.98	    1.06	    7.50	
8	H1	   62.68	    1.01	    7.80	
9	I1	   66.77	    0.91	    8.13	
10	J1	   71.82	    0.77	    8.02	
11	K1	   75.84	    0.63	    7.98	
12	L1	   79.60	    0.45	    7.87	
13	M1	   84.34	    0.19	    7.51	
14	N1	   88.07	   -0.02	    7.22	
15	O1	   92.32	   -0.35	    6.29	
16	P1	   95.54	   -0.61	    5.42	
17	A2	   28.73	    0.43	    1.04	
18	B2	   34.21	    0.74	    2.90	
19	C2	   39.79	    0.94	    4.42	
20	D2	   43.35	    1.15	    5.40	
21	E2	   48.03	    1.14	    6.30	
22	F2	   52.80	    1.17	    6.97	
23	G2	   56.92	    1.10	    7.41	
24	H2	   61.64	    1.05	    7.71	
25	I2	   66.00	    0.95	    8.07	
26	J2	   70.94	    0.80	    8.05	
27	K2	   75.15	    0.63	    7.98	
28	L2	   79.15	    0.47	    7.90	
29	M2	   83.68	    0.22	    7.70	
30	N2	   87.44	    0.02	    7.37	
31	O2	   92.10	   -0.35	    6.23	
32	P2	   95.87	   -0.67	    5.33	
33	A3	   28.34	    0.36	    1.11	
34	B3	   33.45	    0.73	    2.77	
35	C3	   38.72	    0.92	    4.23	
36	D3	   42.74	    1.09	    5.19	
37	E3	   47.50	    1.18	    6.19	
38	F3	   52.11	    1.20	    6.99	
39	G3	   56.22	    1.12	    7.33	
40	H3	   60.46	    1.04	    7.69	
41	I3	   65.06	    0.97	    7.99	
42	J3	   70.07	    0.82	    7.94	
43	K3	   74.31	    0.66	    7.90	
44	L3	   78.54	    0.50	    7.72	
45	M3	   83.06	    0.30	    7.64	
46	N3	   86.93	    0.03	    7.34	
47	O3	   91.43	   -0.30	    6.33	
48	P3	   95.66	   -0.64	    5.52	
49	A4	   27.97	    0.35	    0.96	
50	B4	   32.97	    0.67	    2.57	
51	C4	   37.83	    0.83	    4.01	
52	D4	   42.47	    1.09	    5.09	
53	E4	   47.14	    1.17	    6.09	
54	F4	   51.63	    1.18	    6.80	
55	G4	   55.91	    1.13	    7.47	
56	H4	   59.86	    1.07	    7.63	
57	I4	   64.50	    0.96	    7.86	
58	J4	   69.71	    0.82	    7.91	
59	K4	   73.58	    0.71	    7.88	
60	L4	   77.51	    0.55	    7.75	
61	M4	   82.58	    0.32	    7.68	
62	N4	   86.28	    0.08	    7.36	
63	O4	   91.04	   -0.24	    6.33	
64	P4	   92.23	   -0.56	    5.26	
65	A5	   27.63	    0.26	    0.88	
66	B5	   32.43	    0.64	    2.20	
67	C5	   37.34	    0.87	    3.96	
