CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 1112047"
DESCRIPTOR	"デフォルトの測定値"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D65"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D65"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2026-05-28T21:03:44"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	256
BEGIN_DATA
1	A1	   29.24	    0.44	    1.23	
2	B1	   34.79	    0.77	    3.07	
3	C1	   39.82	    0.95	    4.48	
4	D1	   44.42	    1.02	    5.75	
5	E1	   48.76	    1.13	    6.36	
6	F1	   53.51	    1.16	    6.98	
7	G1	   57.99	    1.04	    7.51	
8	H1	   62.68	    0.99	    7.83	
9	I1	   66.77	    0.89	    8.20	
10	J1	   71.82	    0.74	    8.06	
11	K1	   75.84	    0.60	    8.03	
12	L1	   79.60	    0.40	    7.94	
13	M1	   84.34	    0.16	    7.56	
14	N1	   88.07	   -0.05	    7.27	
15	O1	   92.32	   -0.37	    6.34	
16	P1	   95.54	   -0.61	    5.43	
17	A2	   28.74	    0.38	    1.09	
18	B2	   34.21	    0.74	    2.90	
19	C2	   39.79	    0.92	    4.45	
20	D2	   43.36	    1.02	    5.57	
21	E2	   48.03	    1.14	    6.30	
22	F2	   52.80	    1.16	    6.98	
23	G2	   56.92	    1.08	    7.44	
24	H2	   61.64	    1.02	    7.72	
25	I2	   66.00	    0.94	    8.12	
26	J2	   70.94	    0.77	    8.09	
27	K2	   75.15	    0.61	    8.03	
28	L2	   79.15	    0.43	    7.97	
29	M2	   83.68	    0.22	    7.70	
30	N2	   87.44	   -0.00	    7.41	
31	O2	   92.10	   -0.37	    6.28	
32	P2	   95.86	   -0.68	    5.38	
33	A3	   28.36	    0.31	    1.16	
34	B3	   33.46	    0.68	    2.81	
35	C3	   38.73	    0.87	    4.27	
36	D3	   42.76	    0.98	    5.29	
37	E3	   47.51	    1.15	    6.21	
38	F3	   52.10	    1.20	    7.03	
39	G3	   56.23	    1.09	    7.35	
40	H3	   60.46	    1.01	    7.74	
41	I3	   65.06	    0.95	    8.05	
42	J3	   70.07	    0.78	    7.99	
43	K3	   74.30	    0.64	    7.96	
44	L3	   78.54	    0.46	    7.80	
45	M3	   83.06	    0.27	    7.70	
46	N3	   86.92	    0.02	    7.40	
47	O3	   91.42	   -0.31	    6.39	
48	P3	   95.66	   -0.65	    5.57	
49	A4	   27.97	    0.33	    1.05	
50	B4	   32.97	    0.67	    2.57	
51	C4	   37.83	    0.79	    4.07	
52	D4	   42.48	    0.97	    5.23	
53	E4	   47.14	    1.12	    6.17	
54	F4	   51.62	    1.18	    6.83	
55	G4	   55.91	    1.13	    7.47	
56	H4	   59.86	    1.04	    7.66	
57	I4	   64.50	    0.94	    7.93	
58	J4	   69.71	    0.79	    7.97	
59	K4	   73.58	    0.68	    7.95	
60	L4	   77.51	    0.50	    7.85	
61	M4	   82.58	    0.29	    7.72	
62	N4	   86.29	    0.04	    7.43	
63	O4	   91.04	   -0.26	    6.39	
64	P4	   92.22	   -0.58	    5.33	
65	A5	   27.63	    0.26	    0.88	
66	B5	   32.43	    0.64	    2.20	
67	C5	   37.35	    0.83	    4.01	
