QuadToneProfiler Measurement Data File
Step	Lab_L	Lab_A	Lab_B
1	94.761	-1.044	2.882
2	94.454	-0.880	3.482
3	94.024	-0.716	4.083
4	93.894	-0.690	4.101
5	93.807	-0.666	4.110
6	93.599	-0.631	4.058
7	93.360	-0.595	4.003
8	93.138	-0.598	4.001
9	92.913	-0.604	4.001
10	92.680	-0.571	3.980
11	92.445	-0.537	3.957
12	92.214	-0.523	3.935
13	91.991	-0.511	3.913
14	91.789	-0.513	3.895
15	91.591	-0.516	3.877
16	91.371	-0.532	3.880
17	91.140	-0.550	3.885
18	90.902	-0.565	3.902
19	90.660	-0.581	3.921
20	90.426	-0.600	3.950
21	90.198	-0.620	3.980
22	89.985	-0.643	4.008
23	89.785	-0.667	4.036
24	89.597	-0.691	4.058
25	89.422	-0.717	4.079
26	89.257	-0.742	4.097
27	89.100	-0.768	4.114
28	88.947	-0.791	4.133
29	88.796	-0.815	4.153
30	88.634	-0.833	4.175
31	88.464	-0.850	4.198
32	88.278	-0.861	4.222
33	88.083	-0.871	4.246
34	87.885	-0.876	4.267
35	87.686	-0.879	4.286
36	87.497	-0.878	4.294
37	87.315	-0.874	4.297
38	87.141	-0.869	4.291
39	86.973	-0.862	4.280
40	86.800	-0.854	4.265
41	86.622	-0.846	4.247
42	86.426	-0.836	4.232
43	86.214	-0.825	4.217
44	85.981	-0.814	4.210
45	85.728	-0.802	4.206
46	85.461	-0.791	4.208
47	85.181	-0.780	4.214
48	84.897	-0.773	4.220
49	84.609	-0.768	4.227
50	84.324	-0.767	4.230
51	84.043	-0.769	4.230
52	83.765	-0.774	4.230
53	83.492	-0.781	4.227
54	83.221	-0.787	4.225
55	82.950	-0.793	4.224
56	82.675	-0.795	4.222
57	82.395	-0.794	4.221
58	82.103	-0.791	4.221
59	81.799	-0.786	4.223
60	81.490	-0.780	4.223
61	81.175	-0.772	4.224
62	80.871	-0.766	4.223
63	80.577	-0.761	4.220
64	80.298	-0.759	4.213
65	80.035	-0.762	4.203
66	79.786	-0.769	4.192
67	79.550	-0.781	4.179
68	79.323	-0.794	4.166
69	79.107	-0.808	4.154
70	78.901	-0.818	4.140
71	78.706	-0.825	4.125
72	78.520	-0.828	4.111
73	78.345	-0.827	4.099
74	78.174	-0.824	4.089
75	78.009	-0.818	4.083
76	77.843	-0.813	4.080
77	77.677	-0.808	4.081
78	77.506	-0.807	4.083
79	77.331	-0.809	4.087
80	77.147	-0.812	4.093
81	76.952	-0.818	4.101
82	76.744	-0.825	4.110
83	76.522	-0.831	4.120
84	76.291	-0.837	4.132
85	76.049	-0.842	4.145
86	75.805	-0.847	4.160
87	75.558	-0.850	4.179
88	75.311	-0.854	4.197
