GRAY	Lab_L	A	B
0.00	94.746	-0.535	2.519
0.79	93.474	-0.033	3.248
1.57	89.936	-0.204	3.764
2.36	87.713	-0.722	4.154
3.15	86.267	-0.896	4.662
3.94	83.845	-0.551	4.813
4.72	80.970	-0.553	4.849
5.51	82.050	-0.552	4.836
6.30	80.994	-0.380	4.349
7.09	78.461	-0.381	4.379
7.87	75.650	0.152	4.032
8.66	76.381	0.151	4.024
9.45	74.788	-0.558	4.932
10.24	73.631	-0.742	4.312
11.02	74.813	-0.382	4.423
11.81	71.022	-0.923	4.858
12.60	71.762	-0.922	4.847
13.39	68.418	-0.928	4.896
14.17	68.019	-1.107	5.420
14.96	69.189	-0.749	4.368
15.75	66.946	-0.752	4.398
16.54	62.768	-0.939	4.983
17.32	68.069	-0.750	4.383
18.11	63.527	-0.938	4.971
18.90	68.710	-1.293	4.764
19.69	67.614	-1.116	4.261
20.47	64.770	-0.385	4.558
21.26	62.794	-0.759	4.456
22.05	62.414	-0.759	4.461
22.83	61.626	-0.942	5.001
23.62	62.033	-0.760	4.467
24.41	59.958	-1.513	4.236
25.20	63.471	-1.128	4.316
25.98	62.357	-0.948	3.805
26.77	62.414	-0.759	4.461
27.56	61.951	-1.133	4.338
28.35	56.932	-1.332	4.949
29.13	56.654	-0.768	4.549
29.92	56.958	-1.148	4.411
30.71	56.958	-1.148	4.411
31.50	57.345	-1.146	4.405
32.28	57.455	-0.583	4.000
33.07	59.273	-1.141	4.376
33.86	54.958	-1.348	3.770
34.65	56.182	-1.150	4.423
35.43	56.596	-0.963	3.880
36.22	53.144	-0.774	4.607
37.01	54.625	-1.155	4.448
37.80	53.059	-1.160	4.473
38.58	55.736	-1.345	3.759
39.37	52.692	-0.974	3.934
40.16	53.759	-1.541	4.329
40.94	54.651	-0.968	3.906
41.73	53.393	-1.355	3.791
42.52	51.003	-1.555	4.373
43.31	50.634	-1.367	3.830
44.09	55.321	-1.534	4.304
44.88	50.661	-1.176	3.281
45.67	50.238	-1.369	3.836
46.46	49.980	-0.600	2.874
47.24	51.820	-1.362	3.813
48.03	48.188	-1.574	3.178
48.82	47.098	-0.995	2.771
49.61	47.788	-1.577	3.183
50.39	51.142	-0.789	3.409
51.18	46.669	-1.192	3.333
51.97	46.239	-1.387	3.897
52.76	46.294	-0.998	2.780
53.54	44.764	-0.609	2.935
54.33	46.153	-1.781	3.763
55.12	42.231	-1.014	2.828
55.91	45.055	-1.199	3.355
56.69	45.950	-0.801	3.480
57.48	44.968	-1.593	3.220
58.27	43.343	-1.603	3.242
59.06	42.613	-1.210	3.390
59.84	42.203	-1.211	3.396
60.63	43.778	-1.403	2.672
61.42	41.706	-1.614	3.265
62.20	41.323	-1.417	2.701
62.99	42.876	-1.803	2.546
63.78	42.613	-1.210	3.390
64.57	41.351	-1.215	2.131
65.35	42.990	-1.207	2.116
66.14	40.911	-1.419	2.706
66.93	40.527	-1.219	2.139
67.72	37.707	-0.829	2.308
68.50	38.841	-1.432	2.732
69.29	38.453	-1.230	2.160
70.08	39.169	-1.831	2.589
70.87	37.618	-1.235	2.168
71.65	37.199	-1.237	2.172
72.44	35.938	-1.244	2.186
73.23	36.663	-1.852	2.620
74.02	33.612	-2.291	2.520
74.80	35.762	-2.057	1.909
75.59	36.779	-1.239	2.177
76.38	37.948	-1.636	2.026
77.17	33.729	-1.669	2.068
77.95	36.097	-2.457	1.769
78.74	32.904	-1.463	1.485
79.53	34.376	-2.690	2.372
80.31	31.870	-2.291	1.213
81.10	32.357	-2.092	1.942
81.89	32.240	-2.719	2.399
82.68	32.934	-1.248	0.893
83.46	33.332	-1.460	1.482
84.25	28.485	-1.917	1.379
85.04	31.988	-1.663	0.757
85.83	31.007	-2.301	1.219
86.61	30.575	-2.307	1.222
87.40	30.141	-2.312	1.225
88.19	31.439	-2.296	1.216
88.98	27.196	-1.707	0.779
89.76	29.737	-2.094	0.627
90.55	28.833	-2.329	1.235
91.34	28.339	-2.522	0.494
92.13	29.301	-2.099	0.629
92.91	26.696	-1.900	0.029
93.70	26.696	-1.900	0.029
94.49	28.339	-2.522	0.494
95.28	31.069	-1.855	0.026
96.06	26.987	-2.770	1.109
96.85	28.515	-1.694	0.773
97.64	27.547	-2.120	0.636
98.43	24.526	-1.734	0.793
99.21	26.311	-1.716	0.783
100.00	27.517	-2.346	1.245
