GRAY	Lab_L	A	B
0.00	95.095	-0.347	0.953
1.05	95.070	-0.523	1.435
2.11	95.021	-0.871	2.399
3.16	95.070	-0.523	1.435
4.21	95.045	-0.697	1.917
5.26	94.746	-0.535	2.519
6.32	95.021	-0.871	2.399
7.37	95.070	-0.523	1.435
8.42	95.021	-0.871	2.399
9.47	95.070	-0.523	1.435
10.53	94.996	-1.044	2.882
11.58	94.996	-1.044	2.882
12.63	94.996	-1.044	2.882
13.68	94.722	-0.708	3.001
14.74	95.021	-0.871	2.399
15.79	94.722	-0.708	3.001
16.84	95.021	-0.871	2.399
17.89	95.021	-0.871	2.399
18.95	95.045	-0.697	1.917
20.00	94.996	-1.044	2.882
21.05	94.722	-0.708	3.001
22.11	94.746	-0.535	2.519
23.16	94.746	-0.535	2.519
24.21	93.499	0.139	2.764
25.26	94.996	-1.044	2.882
26.32	94.698	-0.880	3.484
27.37	94.074	-0.543	3.608
28.42	94.722	-0.708	3.001
29.47	94.098	-0.371	3.124
30.53	94.722	-0.708	3.001
31.58	94.448	-0.371	3.122
32.63	94.074	-0.543	3.608
33.68	94.472	-0.199	2.639
34.74	94.050	-0.713	4.092
35.79	94.746	-0.535	2.519
36.84	94.448	-0.371	3.122
37.89	94.074	-0.543	3.608
38.95	94.722	-0.708	3.001
40.00	93.499	0.139	2.764
41.05	93.474	-0.033	3.248
42.11	94.098	-0.371	3.124
43.16	93.100	-0.204	3.736
44.21	93.474	-0.033	3.248
45.26	93.375	-0.543	3.614
46.32	92.674	-0.544	3.620
47.37	92.323	-0.544	3.623
48.42	93.049	-0.372	3.132
49.47	92.348	-0.372	3.137
50.53	92.749	-0.204	3.739
51.58	93.550	0.307	3.367
52.63	92.072	-0.032	3.259
53.68	92.072	-0.032	3.259
54.74	92.097	0.140	2.773
55.79	91.997	-0.372	3.140
56.84	92.072	-0.032	3.259
57.89	90.289	-0.204	3.761
58.95	92.499	0.308	3.376
60.00	91.470	0.481	2.898
61.05	92.448	0.140	2.771
62.11	91.721	-0.032	3.262
63.16	90.365	0.139	3.881
64.21	91.369	-0.032	3.264
65.26	91.294	-0.373	3.145
66.32	89.884	-0.374	3.156
67.37	90.993	-0.204	3.754
68.42	91.345	-0.204	3.751
69.47	90.666	-0.032	3.270
70.53	89.960	-0.032	3.275
71.58	88.876	-0.204	3.774
72.63	87.814	-0.205	3.784
73.68	88.470	-0.375	3.166
74.74	88.800	-0.548	3.654
75.79	90.289	-0.204	3.761
76.84	89.860	-0.547	3.644
77.89	89.507	-0.547	3.647
78.95	87.358	-0.722	4.158
80.00	87.003	-0.723	4.162
81.05	87.027	-0.550	3.669
82.11	85.656	-0.378	4.298
83.16	85.603	-0.551	3.683
84.21	86.978	-0.895	4.654
85.26	88.446	-0.548	3.657
86.32	85.984	-0.377	3.186
87.37	82.382	-0.555	3.713
88.42	83.511	-0.379	4.321
89.47	81.380	-0.205	3.846
90.53	83.434	-0.728	4.199
91.58	84.175	-0.553	3.696
92.63	83.536	-0.205	3.824
93.68	82.434	-0.379	4.333
94.74	82.382	-0.555	3.713
95.79	80.297	-0.205	3.857
96.84	77.085	-0.025	4.521
97.89	78.486	-0.205	3.876
98.95	74.341	-0.917	4.812
100.00	67.776	-0.385	4.515
