GRAY	Lab_L	A	B
0.00	95.045	-0.697	1.917
0.79	94.722	-0.708	3.001
1.57	95.021	-0.871	2.399
2.36	95.045	-0.697	1.917
3.15	94.996	-1.044	2.882
3.94	95.045	-0.697	1.917
4.72	94.972	-1.216	3.364
5.51	93.999	-0.881	3.490
6.30	93.499	0.139	2.764
7.09	93.423	-0.199	2.645
7.87	92.774	-0.033	3.254
8.66	90.666	-0.032	3.270
9.45	89.608	-0.032	3.278
10.24	91.018	-0.032	3.267
11.02	89.053	-1.063	4.020
11.81	89.053	-1.063	4.020
12.60	88.724	-0.891	3.534
13.39	85.935	-0.724	4.173
14.17	86.595	-0.895	3.552
14.96	84.813	-0.898	3.568
15.75	86.951	-0.894	3.549
16.54	82.022	-0.555	3.716
17.32	85.705	-0.031	3.310
18.11	82.382	-0.555	3.713
18.90	82.741	-0.554	3.709
19.69	82.382	-0.555	3.713
20.47	80.219	-0.557	3.734
21.26	79.833	-0.733	4.239
22.05	78.746	-0.734	4.251
22.83	77.317	-0.560	3.763
23.62	77.681	-0.560	3.760
24.41	76.326	-0.029	3.393
25.20	78.746	-0.734	4.251
25.98	78.044	-0.559	3.756
26.77	74.471	-0.206	3.919
27.56	73.631	-0.742	4.312
28.35	76.301	-0.206	3.899
29.13	74.366	-0.741	4.303
29.92	71.047	-0.746	4.344
30.71	74.287	-1.099	4.179
31.50	73.920	-1.100	4.183
32.28	74.863	-0.028	3.407
33.07	70.651	-0.924	4.863
33.86	72.182	-0.566	3.818
34.65	69.134	-0.932	3.725
35.43	68.841	-0.570	3.856
36.22	65.844	-0.573	3.891
37.01	62.819	-0.577	3.929
37.80	71.787	-0.745	4.335
38.58	67.989	-1.115	4.256
39.37	66.596	-0.572	3.882
40.16	63.931	-0.757	4.439
40.94	64.713	-0.574	3.905
41.73	63.578	-0.576	3.919
42.52	64.228	-1.126	4.306
43.31	62.085	-0.394	3.411
44.09	66.220	-0.573	3.887
44.88	68.014	-0.935	3.738
45.67	62.738	-0.947	3.800
46.46	63.092	-1.129	4.322
47.24	58.529	-0.958	3.854
48.03	61.488	-1.506	4.215
48.82	59.299	-0.956	3.844
49.61	58.035	-1.521	4.264
50.39	63.117	-0.946	3.796
51.18	63.117	-0.946	3.796
51.97	58.529	-0.958	3.854
52.76	58.420	-1.520	4.258
53.54	56.596	-0.963	3.880
54.33	55.041	-0.967	3.901
55.12	57.262	-1.525	4.275
55.91	53.759	-1.541	4.329
56.69	58.061	-1.335	3.729
57.48	54.371	-0.400	3.503
58.27	56.487	-1.528	4.287
59.06	54.260	-0.969	3.912
59.84	55.347	-1.346	3.764
60.63	52.410	-0.401	3.528
61.42	54.203	-1.162	3.238
62.20	53.367	-1.543	4.335
62.99	52.719	-0.785	3.389
63.78	57.288	-1.338	3.739
64.57	54.176	-1.351	3.780
65.35	54.176	-1.351	3.780
66.14	49.045	-1.374	3.854
66.93	53.001	-1.356	3.796
67.72	49.895	-0.986	2.741
68.50	49.071	-1.182	3.301
69.29	49.184	-0.601	2.883
70.08	50.238	-1.369	3.836
70.87	49.756	-1.758	3.709
71.65	46.556	-1.778	3.756
72.44	47.071	-1.190	3.328
73.23	44.563	-1.596	3.225
74.02	46.583	-1.584	3.199
74.80	44.157	-1.598	3.231
75.59	44.243	-1.202	3.367
76.38	46.986	-1.581	3.193
77.17	45.805	-1.391	2.650
77.95	42.934	-1.606	3.248
78.74	41.323	-1.417	2.701
79.53	42.172	-1.211	2.124
80.31	41.647	-1.812	2.560
81.10	40.824	-1.818	2.570
81.89	44.157	-1.598	3.231
82.68	41.647	-1.812	2.560
83.46	38.337	-1.838	2.599
84.25	39.699	-1.223	2.147
85.04	37.832	-2.245	2.468
85.83	36.271	-1.648	2.042
86.61	33.303	-1.672	2.073
87.40	33.214	-2.083	1.934
88.19	39.285	-1.226	2.151
88.98	36.691	-1.645	2.038
89.76	36.271	-1.648	2.042
90.55	33.789	-1.242	0.889
91.34	38.811	-1.422	1.442
92.13	34.946	-1.853	1.331
92.91	31.126	-1.670	0.761
93.70	31.439	-2.296	1.216
94.49	33.451	-0.836	1.032
95.28	30.575	-2.307	1.222
96.06	28.833	-2.329	1.235
96.85	30.487	-2.717	1.085
97.64	27.900	-2.528	0.495
98.43	29.332	-1.873	0.027
99.21	27.106	-2.125	0.638
100.00	27.018	-2.541	0.499
