GRAY	Lab_L	A	B
0.00	94.796	-0.188	1.554
0.79	94.771	-0.362	2.036
1.57	95.070	-0.523	1.435
2.36	95.070	-0.523	1.435
3.15	94.223	0.311	2.276
3.94	89.884	-0.374	3.156
4.72	88.016	-0.892	3.540
5.51	85.502	-1.071	4.056
6.30	84.277	-0.031	3.322
7.09	80.634	-0.380	4.353
7.87	80.272	-0.380	4.358
8.66	76.746	0.150	4.020
9.45	76.721	-0.025	4.525
10.24	76.222	-0.561	3.775
11.02	75.100	-0.740	4.294
11.81	74.341	-0.917	4.812
12.60	72.262	-0.206	3.944
13.39	72.237	-0.383	4.456
14.17	71.127	-0.383	4.470
14.96	67.908	-1.480	4.130
15.75	67.321	-0.751	4.393
16.54	65.819	-0.754	4.413
17.32	68.150	-0.384	4.510
18.11	67.321	-0.751	4.393
18.90	69.108	-1.112	4.242
19.69	67.721	-0.571	3.869
20.47	66.195	-0.753	4.408
21.26	63.092	-1.129	4.322
22.05	62.439	-0.577	3.934
22.83	61.570	-1.134	4.343
23.62	60.149	-0.580	3.964
24.41	61.162	-1.317	4.878
25.20	62.357	-0.948	3.805
25.98	61.704	-0.394	3.415
26.77	61.652	-0.760	4.472
27.56	60.832	-0.952	3.824
28.35	59.739	-0.763	4.501
29.13	56.707	-0.398	3.474
29.92	56.984	-0.962	3.874
30.71	56.958	-1.148	4.411
31.50	59.765	-0.580	3.969
32.28	57.371	-0.961	3.869
33.07	56.596	-0.963	3.880
33.86	56.596	-0.963	3.880
34.65	53.980	-0.400	3.508
35.43	55.041	-0.967	3.901
36.22	52.608	-1.358	3.802
37.01	53.759	-1.541	4.329
37.80	53.759	-1.541	4.329
38.58	54.067	-1.922	4.192
39.37	53.420	-1.165	3.247
40.16	52.129	0.173	3.122
40.94	53.896	-0.782	3.375
41.73	49.953	-0.791	3.425
42.52	50.264	-1.177	3.286
43.31	49.756	-1.758	3.709
44.09	50.746	-0.789	3.415
44.88	50.634	-1.367	3.830
45.67	46.755	-0.799	3.469
46.46	49.018	-1.565	4.407
47.24	48.300	-0.991	2.758
48.03	45.891	-1.000	2.785
48.82	45.546	-0.802	3.486
49.61	44.941	-1.789	3.782
50.39	46.696	-0.997	2.775
51.18	46.986	-1.581	3.193
51.97	44.677	-1.004	2.799
52.76	44.271	-1.006	2.803
53.54	44.157	-1.598	3.231
54.33	41.295	-1.617	3.271
55.12	39.671	-1.426	2.721
55.91	41.734	-1.414	2.696
56.69	42.962	-1.407	2.682
57.48	43.370	-1.405	2.677
58.27	40.911	-1.419	2.706
59.06	39.998	-1.825	2.579
59.84	39.197	-1.626	2.014
60.63	37.618	-1.235	2.168
61.42	38.453	-1.230	2.160
62.20	38.782	-1.629	2.018
62.99	39.699	-1.223	2.147
63.78	38.036	-1.232	2.164
64.57	35.879	-1.442	1.463
65.35	37.111	-1.642	2.034
66.14	35.456	-1.444	1.466
66.93	33.759	-1.457	1.479
67.72	33.759	-1.457	1.479
68.50	33.332	-1.460	1.482
69.29	36.300	-1.439	1.460
70.08	34.521	-1.857	1.334
70.87	34.975	-1.638	0.745
71.65	33.670	-1.865	1.339
72.44	32.759	-2.061	0.616
73.23	30.633	-2.111	1.961
74.02	30.575	-2.307	1.222
74.80	30.544	-2.526	1.822
75.59	29.825	-1.682	0.767
76.38	31.958	-1.881	1.352
77.17	31.439	-2.296	1.216
77.95	28.833	-2.329	1.235
78.74	30.724	-1.452	0.165
79.53	27.900	-2.528	0.495
80.31	27.459	-2.534	0.497
81.10	28.690	-2.926	0.356
81.89	27.987	-2.114	0.634
82.68	29.681	-2.276	-0.111
83.46	30.171	-2.089	0.625
84.25	28.339	-2.522	0.494
85.04	28.490	-1.651	-0.577
85.83	27.987	-2.114	0.634
86.61	27.075	-2.352	1.248
87.40	30.575	-2.307	1.222
88.19	28.426	-2.109	0.632
88.98	28.864	-2.104	0.631
89.76	25.362	-1.915	0.030
90.55	30.951	-2.487	0.485
91.34	28.019	-1.886	0.028
92.13	29.649	-2.504	0.489
92.91	30.633	-2.111	1.961
93.70	31.557	-1.666	0.759
94.49	28.746	-2.743	1.097
95.28	25.805	-2.169	2.017
96.06	28.864	-2.104	0.631
96.85	28.864	-2.104	0.631
97.64	27.196	-1.707	0.779
98.43	28.777	-2.516	0.492
99.21	27.547	-2.120	0.636
100.00	30.229	-1.898	1.365
