GRAY	Lab_L	A	B
0.00	95.045	-0.697	1.917
0.79	94.746	-0.535	2.519
1.57	94.198	0.139	2.759
2.36	94.972	-1.216	3.364
3.15	93.100	-0.204	3.736
3.94	93.100	-0.204	3.736
4.72	93.749	-0.371	3.127
5.51	93.749	-0.371	3.127
6.30	92.348	-0.372	3.137
7.09	91.421	0.138	3.871
7.87	90.969	-0.375	4.242
8.66	90.289	-0.204	3.761
9.45	90.012	0.139	3.884
10.24	89.205	-0.376	4.260
11.02	90.969	-0.375	4.242
11.81	88.474	-0.548	4.758
12.60	89.936	-0.204	3.764
13.39	85.656	-0.378	4.298
14.17	86.368	-0.377	4.290
14.96	86.037	-0.205	3.800
15.75	86.647	-0.723	4.165
16.54	83.923	-0.201	4.936
17.32	86.978	-0.895	4.654
18.11	83.487	-0.551	4.818
18.90	84.227	-0.378	4.313
19.69	83.869	-0.378	4.317
20.47	83.511	-0.379	4.321
21.26	81.433	-0.028	4.468
22.05	80.994	-0.380	4.349
22.83	81.409	-0.200	4.968
23.62	80.712	-0.027	4.477
24.41	80.326	-0.200	4.982
25.20	79.524	-0.554	4.868
25.98	79.524	-0.554	4.868
26.77	77.165	0.332	4.646
27.56	79.549	-0.380	4.366
28.35	78.073	-0.555	4.887
29.13	78.515	-0.200	5.006
29.92	72.661	-0.197	5.089
30.71	73.398	-0.198	5.078
31.50	76.721	-0.025	4.525
32.28	74.763	-0.732	5.440
33.07	71.077	-0.736	5.498
33.86	73.423	-0.022	4.568
34.65	75.520	-0.557	4.921
35.43	72.870	-0.920	4.832
36.22	69.989	-0.561	5.000
37.01	66.577	-0.917	6.094
37.80	73.318	-0.559	4.952
38.58	71.102	-0.560	4.984
39.37	70.305	-0.747	4.354
40.16	67.751	-0.563	5.034
40.94	65.122	-0.564	5.075
41.73	67.670	-0.930	4.907
42.52	62.768	-0.939	4.983
43.31	67.189	-1.476	5.305
44.09	67.377	-0.563	5.040
44.88	64.637	-1.115	5.477
45.67	62.794	-0.759	4.456
46.46	65.147	-0.385	4.552
47.24	62.388	-0.940	4.989
48.03	60.097	-0.945	5.027
48.82	60.863	-0.943	5.014
49.61	62.794	-0.759	4.456
50.39	60.997	-0.205	4.084
51.18	63.148	-0.939	4.977
51.97	61.678	-0.578	3.944
52.76	58.971	-0.765	4.513
53.54	58.503	-1.143	4.388
54.33	60.066	-0.954	3.834
55.12	58.586	-0.765	4.519
55.91	58.586	-0.765	4.519
56.69	60.914	-0.579	3.954
57.48	57.042	-0.768	4.543
58.27	56.377	-0.204	4.149
59.06	55.125	-0.586	4.033
59.84	54.345	-0.587	4.045
60.63	53.869	-0.971	3.917
61.42	52.692	-0.974	3.934
62.20	51.852	-1.350	5.040
62.99	55.904	-0.585	4.022
63.78	55.041	-0.967	3.901
64.57	52.299	-0.975	3.940
65.35	51.510	-0.977	3.952
66.14	52.299	-0.975	3.940
66.93	51.200	-0.590	4.092
67.72	46.755	-0.799	3.469
68.50	47.157	-0.798	3.463
69.29	49.926	-0.982	3.976
70.08	46.642	-1.385	3.891
70.87	45.055	-1.199	3.355
71.65	44.216	-1.397	3.930
72.44	43.429	-1.206	3.378
73.23	43.544	-0.612	2.951
74.02	41.295	-1.617	3.271
74.80	43.021	-1.208	3.384
75.59	43.837	-1.204	3.372
76.38	39.704	-1.420	4.009
77.17	42.116	-1.611	3.259
77.95	41.410	-1.017	2.838
78.74	37.501	-1.845	2.609
79.53	35.967	-1.036	1.602
80.31	36.751	-1.445	2.759
81.10	36.242	-1.856	2.625
81.89	38.513	-1.029	2.876
82.68	35.487	-1.453	2.776
83.46	35.516	-1.247	2.190
84.25	34.580	-1.662	2.059
85.04	32.446	-1.679	2.082
85.83	31.497	-2.102	1.952
86.61	31.095	-1.890	1.358
87.40	31.616	-1.473	1.495
88.19	33.848	-1.047	1.619
88.98	32.786	-2.088	1.938
89.76	29.795	-1.903	1.368
90.55	30.229	-1.898	1.365
91.34	29.270	-2.323	1.232
92.13	29.795	-1.903	1.368
92.91	26.754	-1.711	0.781
93.70	28.426	-2.109	0.632
94.49	28.515	-1.694	0.773
95.28	27.987	-2.114	0.634
96.06	28.108	-1.472	0.168
96.85	24.884	-2.153	0.648
97.64	26.132	-2.554	0.502
98.43	26.987	-2.770	1.109
99.21	25.242	-2.567	0.506
100.00	24.884	-2.153	0.648
