GRAY	Lab_L	A	B
0.00	94.397	-0.536	2.521
0.79	94.423	-0.542	3.605
1.57	94.174	-0.033	3.243
2.36	93.849	0.139	2.762
3.15	92.072	-0.032	3.259
3.94	92.698	-0.372	3.135
4.72	92.774	-0.033	3.254
5.51	92.698	-0.372	3.135
6.30	89.407	-1.062	4.017
7.09	87.636	-1.066	4.034
7.87	87.838	-0.032	3.292
8.66	88.775	-0.720	4.144
9.45	87.027	-0.550	3.669
10.24	88.016	-0.892	3.540
11.02	89.407	-1.062	4.017
11.81	87.636	-1.066	4.034
12.60	85.247	-0.552	3.686
13.39	82.459	-0.205	3.835
14.17	86.341	-0.376	3.183
14.96	84.277	-0.031	3.322
15.75	83.817	-0.553	3.699
16.54	83.177	-0.205	3.828
17.32	81.613	-0.904	4.718
18.11	84.431	-1.074	4.067
18.90	82.382	-0.555	3.713
19.69	82.766	-0.379	3.212
20.47	80.941	-0.556	3.727
21.26	78.486	-0.205	3.876
22.05	78.044	-0.559	3.756
22.83	76.197	-0.738	4.281
23.62	76.276	-0.382	4.405
24.41	77.031	-0.205	3.891
25.20	75.570	-0.206	3.907
25.98	79.495	-0.558	3.741
26.77	73.656	-0.564	3.802
27.56	73.288	-0.564	3.806
28.35	75.071	-0.740	3.155
29.13	70.701	-0.567	3.835
29.92	71.072	-0.567	3.830
30.71	73.527	-1.278	4.697
31.50	70.250	-0.929	3.713
32.28	72.526	-0.743	4.325
33.07	69.904	-0.749	3.202
33.86	68.761	-0.933	3.730
34.65	66.220	-0.573	3.887
35.43	68.841	-0.570	3.856
36.22	66.971	-0.572	3.878
37.01	70.967	-1.107	4.219
37.80	68.095	-0.570	3.865
38.58	72.367	-1.463	4.076
39.37	69.054	-1.294	3.600
40.16	65.009	-0.942	3.773
40.94	66.810	-1.302	3.624
41.73	63.497	-0.945	3.791
42.52	61.162	-1.317	4.878
43.31	64.147	-1.495	4.179
44.09	64.173	-1.312	3.654
44.88	62.630	-1.501	4.199
45.67	66.515	-0.938	3.755
46.46	64.199	-1.127	3.130
47.24	63.117	-0.946	3.796
48.03	57.371	-0.961	3.869
48.82	58.529	-0.958	3.854
49.61	58.529	-0.958	3.854
50.39	61.895	-1.320	3.681
51.18	60.066	-0.954	3.834
51.97	59.273	-1.141	4.376
52.76	58.858	-1.145	3.186
53.54	56.513	-1.342	3.749
54.33	57.288	-1.338	3.739
55.12	56.984	-0.962	3.874
55.91	53.001	-1.356	3.796
56.69	58.971	-0.765	4.513
57.48	55.736	-1.345	3.759
58.27	52.214	-1.360	3.808
59.06	55.820	-0.965	3.890
59.84	55.374	-1.158	3.225
60.63	54.260	-0.969	3.912
61.42	51.820	-1.362	3.813
62.20	53.420	-1.165	3.247
62.99	51.931	-0.787	3.399
63.78	51.452	-1.173	3.271
64.57	53.027	-1.166	3.252
65.35	45.863	-1.195	3.344
66.14	48.673	-1.184	3.306
66.93	48.188	-1.574	3.178
67.72	48.561	-1.766	3.726
68.50	49.470	-1.180	3.296
69.29	47.445	-1.381	3.878
70.08	49.497	-0.987	2.745
70.87	43.837	-1.204	3.372
71.65	44.677	-1.004	2.799
72.44	45.082	-1.003	2.794
73.23	45.805	-1.391	2.650
74.02	46.529	-1.972	4.315
74.80	46.236	-1.191	2.087
75.59	44.157	-1.598	3.231
76.38	44.563	-1.596	3.225
77.17	45.487	-1.001	2.789
77.95	45.459	-1.197	3.350
78.74	41.438	-0.817	2.269
79.53	46.986	-1.581	3.193
80.31	42.848	-2.003	3.113
81.10	38.782	-1.629	2.018
81.89	40.113	-1.221	2.143
82.68	43.778	-1.403	2.672
83.46	39.699	-1.223	2.147
84.25	39.313	-1.020	1.577
85.04	37.501	-1.845	2.609
85.83	37.618	-1.235	2.168
86.61	35.004	-1.658	2.055
87.40	36.271	-1.648	2.042
88.19	36.388	-1.034	1.599
88.98	37.530	-1.639	2.030
89.76	35.004	-1.658	2.055
90.55	35.456	-1.444	1.466
91.34	33.641	-2.079	1.929
92.13	33.670	-1.865	1.339
92.91	31.988	-1.663	0.757
93.70	33.583	-2.271	1.202
94.49	37.083	-1.621	0.737
95.28	31.066	-2.107	1.956
96.06	32.300	-2.286	1.211
96.85	30.229	-1.898	1.365
97.64	28.922	-1.912	1.375
98.43	29.449	-1.490	1.513
99.21	29.390	-1.686	0.769
100.00	30.229	-1.898	1.365
