Input,Quad_Value,Baseline,Density
0,0,0.000000,0.093500
1,28,0.108949,0.094305
2,57,0.221790,0.095138
3,85,0.330739,0.095943
4,114,0.443580,0.096777
5,142,0.552529,0.097582
6,170,0.661479,0.098386
7,199,0.774319,0.099220
8,227,0.883268,0.100025
9,363,1.412451,0.103934
10,499,1.941634,0.107843
11,635,2.470817,0.111752
12,770,2.996109,0.115632
13,906,3.525292,0.119541
14,1042,4.054475,0.123450
15,1178,4.583658,0.127359
16,1314,5.112840,0.131269
17,1396,5.431907,0.133625
18,1477,5.747082,0.135954
19,1558,6.062257,0.138282
20,1640,6.381323,0.140639
21,1722,6.700389,0.142996
22,1803,7.015564,0.145324
23,1884,7.330739,0.147652
24,1966,7.649805,0.150009
25,2096,8.155642,0.153746
26,2227,8.665370,0.157511
27,2358,9.175097,0.161276
28,2488,9.680934,0.165013
29,2618,10.186770,0.168750
30,2749,10.696498,0.172515
31,2880,11.206226,0.176280
32,3010,11.712062,0.180017
33,3140,12.217899,0.183754
34,3271,12.727626,0.187519
35,3402,13.237354,0.191284
36,3532,13.743191,0.195021
37,3662,14.249027,0.198758
38,3793,14.758755,0.202523
39,3924,15.268482,0.206288
40,4054,15.774319,0.210025
41,4184,16.280156,0.213762
42,4315,16.789883,0.217527
43,4445,17.295720,0.221263
44,4576,17.805447,0.225029
45,4706,18.311284,0.228765
46,4836,18.817121,0.232502
47,4967,19.326848,0.236267
48,5097,19.832685,0.240004
49,5222,20.319066,0.243597
50,5347,20.805447,0.247190
51,5472,21.291829,0.250783
52,5598,21.782101,0.254404
53,5723,22.268482,0.257997
54,5848,22.754864,0.261590
55,5973,23.241245,0.265183
56,6098,23.727626,0.268776
57,6229,24.237354,0.272541
58,6361,24.750973,0.276335
59,6492,25.260700,0.280101
60,6624,25.774319,0.283895
61,6755,26.284047,0.287660
62,6886,26.793774,0.291426
63,7018,27.307393,0.295220
64,7149,27.817121,0.298985
65,7235,28.151751,0.301457
66,7322,28.490272,0.303958
67,7408,28.824903,0.306430
68,7494,29.159533,0.308901
69,7581,29.498054,0.311402
70,7667,29.832685,0.313874
71,7754,30.171206,0.316375
72,7840,30.505837,0.318847
73,7974,31.027237,0.322698
74,8107,31.544747,0.326521
75,8241,32.066148,0.330373
76,8374,32.583658,0.334195
77,8508,33.105058,0.338047
78,8642,33.626459,0.341899
79,8775,34.143969,0.345721
80,8909,34.665370,0.349573
81,9093,35.381323,0.354862
82,9278,36.101167,0.360179
83,9462,36.817121,0.365468
84,9646,37.533074,0.370757
85,9831,38.252918,0.376074
86,10015,38.968872,0.381363
87,10200,39.688716,0.386681
88,10384,40.404669,0.391969
89,10509,40.891051,0.395562
90,10634,41.377432,0.399155
91,10759,41.863813,0.402748
92,10884,42.350195,0.406341
93,11009,42.836576,0.409934
94,11134,43.322957,0.413527
95,11259,43.809339,0.417120
96,11384,44.295720,0.420712
97,11544,44.918288,0.425311
98,11704,45.540856,0.429910
99,11864,46.163424,0.434509
100,12024,46.785992,0.439108
101,12184,47.408560,0.443707
102,12344,48.031128,0.448306
103,12504,48.653696,0.452905
104,12664,49.276265,0.457504
105,12803,49.817121,0.461499
106,12941,50.354086,0.465466
107,13080,50.894942,0.469461
108,13218,51.431907,0.473427
109,13357,51.972763,0.477423
110,13496,52.513619,0.481418
111,13634,53.050584,0.485385
112,13773,53.591440,0.489380
113,13901,54.089494,0.493059
114,14028,54.583658,0.496709
115,14156,55.081712,0.500389
116,14284,55.579767,0.504068
117,14412,56.077821,0.507747
118,14540,56.575875,0.511426
119,14667,57.070039,0.515076
120,14795,57.568093,0.518756
121,14931,58.097276,0.522665
122,15067,58.626459,0.526574
123,15203,59.155642,0.530483
124,15338,59.680934,0.534363
125,15474,60.210117,0.538272
126,15610,60.739300,0.542181
127,15746,61.268482,0.546090
128,15882,61.797665,0.549999
129,16107,62.673152,0.556467
130,16332,63.548638,0.562934
131,16557,64.424125,0.569401
132,16782,65.299611,0.575868
133,17008,66.178988,0.582364
134,17233,67.054475,0.588831
135,17458,67.929961,0.595299
136,17683,68.805447,0.601766
137,17801,69.264591,0.605158
138,17918,69.719844,0.608520
139,18036,70.178988,0.611912
140,18154,70.638132,0.615304
141,18272,71.097276,0.618696
142,18390,71.556420,0.622087
143,18507,72.011673,0.625450
144,18625,72.470817,0.628842
145,18761,73.000000,0.632751
146,18898,73.533074,0.636689
147,19034,74.062257,0.640598
148,19170,74.591440,0.644507
149,19307,75.124514,0.648445
150,19443,75.653696,0.652354
151,19580,76.186770,0.656292
152,19716,76.715953,0.660201
153,19890,77.392996,0.665202
154,20065,78.073930,0.670232
155,20240,78.754864,0.675262
156,20414,79.431907,0.680263
157,20588,80.108949,0.685265
158,20763,80.789883,0.690295
159,20938,81.470817,0.695325
160,21112,82.147860,0.700326
161,21280,82.801556,0.705155
