Input,V7_Density,V9_Density,V10_Density,V10_Quad,Change_from_V9
0,0.07,0.07,0.0700,2261,+0.0000
8,0.08,0.08,0.0800,2584,+0.0000
16,0.11,0.14,0.1400,4522,+0.0000
24,0.14,0.16,0.1600,5169,+0.0000
32,0.17,0.19,0.1900,6138,+0.0000
40,0.20,0.22,0.2200,7107,+0.0000
48,0.23,0.25,0.2500,8076,+0.0000
56,0.25,0.28,0.2800,9045,+0.0000
64,0.28,0.31,0.3100,10015,+0.0000
72,0.30,0.33,0.3300,10661,+0.0000
80,0.33,0.37,0.3700,11953,+0.0000
88,0.37,0.41,0.4100,13245,+0.0000
96,0.40,0.45,0.4500,14538,+0.0000
104,0.44,0.51,0.4700,15184,-0.0400
112,0.47,0.52,0.5000,16153,-0.0200
120,0.50,0.56,0.5600,18091,+0.0000
128,0.53,0.52,0.5700,18414,+0.0500
136,0.58,0.57,0.6100,19707,+0.0400
144,0.62,0.61,0.6300,20353,+0.0200
152,0.66,0.63,0.6800,21968,+0.0500
160,0.70,0.68,0.7300,23584,+0.0500
168,0.74,0.73,0.7700,24876,+0.0400
176,0.78,0.77,0.8200,26491,+0.0500
184,0.82,0.82,0.8700,28107,+0.0500
192,0.87,0.87,0.9100,29399,+0.0400
200,0.92,0.91,0.9500,30691,+0.0400
208,0.96,0.95,1.0100,32630,+0.0600
216,1.00,1.01,1.0800,34891,+0.0700
224,1.07,1.08,1.1200,36183,+0.0400
232,1.12,1.12,1.1700,37799,+0.0500
240,1.17,1.17,1.2300,39737,+0.0600
248,1.21,1.23,1.2900,41675,+0.0600
