Input,Quad_Value,Calculated_Density
0,0,0.093500
1,28,0.094305
2,57,0.095138
3,85,0.095943
4,114,0.096777
5,142,0.097582
6,170,0.098386
7,199,0.099220
8,227,0.100025
9,363,0.103934
10,499,0.107843
11,635,0.111752
12,770,0.115632
13,906,0.119541
14,1042,0.123450
15,1178,0.127359
16,1314,0.131269
17,1396,0.133625
18,1477,0.135954
19,1558,0.138282
20,1640,0.140639
21,1722,0.142996
22,1803,0.145324
23,1884,0.147652
24,1966,0.150009
25,2096,0.153746
26,2227,0.157511
27,2358,0.161276
28,2488,0.165013
29,2618,0.168750
30,2749,0.172515
31,2880,0.176280
32,3010,0.180017
33,3140,0.183754
34,3271,0.187519
35,3402,0.191284
36,3532,0.195021
37,3662,0.198758
38,3793,0.202523
39,3924,0.206288
40,4054,0.210025
41,4184,0.213762
42,4315,0.217527
43,4445,0.221263
44,4576,0.225029
45,4706,0.228765
46,4836,0.232502
47,4967,0.236267
48,5097,0.240004
49,5222,0.243597
50,5347,0.247190
51,5472,0.250783
52,5598,0.254404
53,5723,0.257997
54,5848,0.261590
55,5973,0.265183
56,6098,0.268776
57,6229,0.272541
58,6361,0.276335
59,6492,0.280101
60,6624,0.283895
61,6755,0.287660
62,6886,0.291426
63,7018,0.295220
64,7149,0.298985
65,7235,0.301457
66,7322,0.303958
67,7408,0.306430
68,7494,0.308901
69,7581,0.311402
70,7667,0.313874
71,7754,0.316375
72,7840,0.318847
73,7974,0.322698
74,8107,0.326521
75,8241,0.330373
76,8374,0.334195
77,8508,0.338047
78,8642,0.341899
79,8775,0.345721
80,8909,0.349573
81,9093,0.354862
82,9278,0.360179
83,9462,0.365468
84,9646,0.370757
85,9831,0.376074
86,10015,0.381363
87,10200,0.386681
88,10384,0.391969
89,10509,0.395562
90,10634,0.399155
91,10759,0.402748
92,10884,0.406341
93,11009,0.409934
94,11134,0.413527
95,11259,0.417120
96,11384,0.420712
97,11544,0.425311
98,11704,0.429910
99,11864,0.434509
100,12024,0.439108
101,12184,0.443707
102,12344,0.448306
103,12504,0.452905
104,12664,0.457504
105,12803,0.461499
106,12941,0.465466
107,13080,0.469461
108,13218,0.473427
109,13357,0.477423
110,13496,0.481418
111,13634,0.485385
112,13773,0.489380
113,13901,0.493059
114,14028,0.496709
115,14156,0.500389
116,14284,0.504068
117,14412,0.507747
118,14540,0.511426
119,14667,0.515076
120,14795,0.518756
121,14931,0.522665
122,15067,0.526574
123,15203,0.530483
124,15338,0.534363
125,15474,0.538272
126,15610,0.542181
127,15746,0.546090
128,15882,0.549999
129,16107,0.556467
130,16332,0.562934
131,16557,0.569401
132,16782,0.575868
133,17008,0.582364
134,17233,0.588831
135,17458,0.595299
136,17683,0.601766
137,17801,0.605158
138,17918,0.608520
139,18036,0.611912
140,18154,0.615304
141,18272,0.618696
142,18390,0.622087
143,18507,0.625450
144,18625,0.628842
145,18761,0.632751
146,18898,0.636689
147,19034,0.640598
148,19170,0.644507
149,19307,0.648445
150,19443,0.652354
151,19580,0.656292
152,19716,0.660201
153,19890,0.665202
154,20065,0.670232
155,20240,0.675262
156,20414,0.680263
157,20588,0.685265
158,20763,0.690295
159,20938,0.695325
160,21112,0.700326
161,21280,0.705155
162,21449,0.710013
163,21617,0.714842
164,21786,0.719699
165,21954,0.724528
166,22122,0.729357
167,22291,0.734214
168,22459,0.739043
169,22642,0.744303
170,22826,0.749592
171,23010,0.754881
172,23193,0.760141
173,23376,0.765401
174,23560,0.770690
175,23744,0.775978
176,23927,0.781238
177,24143,0.787447
178,24359,0.793655
179,24575,0.799864
180,24790,0.806044
181,25006,0.812252
182,25222,0.818461
183,25438,0.824669
184,25654,0.830878
185,25822,0.835707
186,25990,0.840536
187,26159,0.845393
188,26327,0.850222
189,26495,0.855051
190,26664,0.859908
191,26832,0.864737
192,27000,0.869566
193,27180,0.874740
194,27361,0.879942
195,27542,0.885145
196,27722,0.890319
197,27902,0.895493
198,28083,0.900695
199,28264,0.905898
200,28444,0.911071
201,28612,0.915900
202,28780,0.920729
203,28949,0.925587
204,29117,0.930415
205,29285,0.935244
206,29454,0.940102
207,29622,0.944931
208,29790,0.949760
209,30011,0.956112
210,30232,0.962464
211,30454,0.968845
212,30675,0.975197
213,30896,0.981550
214,31118,0.987931
215,31339,0.994283
216,31560,1.000635
217,31813,1.007907
218,32066,1.015179
219,32319,1.022451
220,32572,1.029723
221,32824,1.036966
222,33077,1.044239
223,33330,1.051511
224,33583,1.058783
225,33855,1.066601
226,34126,1.074390
227,34398,1.082208
228,34670,1.090026
229,34941,1.097816
230,35213,1.105634
231,35484,1.113423
232,35756,1.121242
233,35928,1.126185
234,36100,1.131129
235,36273,1.136102
236,36445,1.141046
237,36617,1.145989
238,36790,1.150962
239,36962,1.155906
240,37134,1.160850
241,37304,1.165736
242,37474,1.170622
243,37645,1.175537
244,37815,1.180424
245,37985,1.185310
246,38156,1.190225
247,38326,1.195112
248,38496,1.199998
249,38943,1.212846
250,39391,1.225723
251,39838,1.238571
252,40285,1.251419
253,40732,1.264268
254,41180,1.277145
255,41627,1.289993
