Input,SP1v4_Quad,SP1v5_Quad,Quad_Change
0,0,0,0
1,28,28,0
2,57,57,0
3,85,85,0
4,114,114,0
5,142,142,0
6,170,170,0
7,199,199,0
8,227,227,0
9,363,363,0
10,499,499,0
11,635,635,0
12,770,770,0
13,906,906,0
14,1042,1042,0
15,1178,1178,0
16,1314,1314,0
17,1396,1396,0
18,1477,1477,0
19,1558,1558,0
20,1640,1640,0
21,1722,1722,0
22,1803,1803,0
23,1884,1884,0
24,1966,1966,0
25,2096,2096,0
26,2227,2227,0
27,2358,2358,0
28,2488,2488,0
29,2618,2618,0
30,2749,2749,0
31,2880,2880,0
32,3010,3010,0
33,3140,3140,0
34,3271,3271,0
35,3402,3402,0
36,3532,3532,0
37,3662,3662,0
38,3793,3793,0
39,3924,3924,0
40,4054,4054,0
41,4184,4184,0
42,4315,4315,0
43,4445,4445,0
44,4576,4576,0
45,4706,4706,0
46,4836,4836,0
47,4967,4967,0
48,5097,5097,0
49,5222,5222,0
50,5347,5347,0
51,5472,5472,0
52,5598,5598,0
53,5723,5723,0
54,5848,5848,0
55,5973,5973,0
56,6098,6098,0
57,6229,6229,0
58,6361,6361,0
59,6492,6492,0
60,6624,6624,0
61,6755,6755,0
62,6886,6886,0
63,7018,7018,0
64,7149,7149,0
65,7235,7235,0
66,7322,7322,0
67,7408,7408,0
68,7494,7494,0
69,7581,7581,0
70,7667,7667,0
71,7754,7754,0
72,7840,7840,0
73,7974,7974,0
74,8107,8107,0
75,8241,8241,0
76,8374,8374,0
77,8508,8508,0
78,8642,8642,0
79,8775,8775,0
80,8909,8909,0
81,9093,9093,0
82,9278,9278,0
83,9462,9462,0
84,9646,9646,0
85,9831,9831,0
86,10015,10015,0
87,10200,10200,0
88,10384,10384,0
89,10509,10509,0
90,10634,10634,0
91,10759,10759,0
92,10884,10884,0
93,11009,11009,0
94,11134,11134,0
95,11259,11259,0
96,11384,11384,0
97,11544,11544,0
98,11704,11704,0
99,11864,11864,0
100,12024,12024,0
101,12184,12184,0
102,12344,12344,0
103,12504,12504,0
104,12664,12664,0
105,12803,12803,0
106,12941,12941,0
107,13080,13080,0
108,13218,13218,0
109,13357,13357,0
110,13496,13496,0
111,13634,13634,0
112,13773,13773,0
113,13901,13901,0
114,14028,14028,0
115,14156,14156,0
116,14284,14284,0
117,14412,14412,0
118,14540,14540,0
119,14667,14667,0
120,14795,14795,0
121,14931,14931,0
122,15067,15067,0
123,15203,15203,0
124,15338,15338,0
125,15474,15474,0
126,15610,15610,0
127,15746,15746,0
128,15882,15882,0
129,16107,16107,0
130,16332,16332,0
131,16557,16557,0
132,16782,16782,0
133,17008,17008,0
134,17233,17233,0
135,17458,17458,0
136,17683,17683,0
137,17801,17801,0
138,17918,17918,0
139,18036,18036,0
140,18154,18154,0
141,18272,18272,0
142,18390,18390,0
143,18507,18507,0
144,18625,18625,0
145,18761,18761,0
146,18898,18898,0
147,19034,19034,0
148,19170,19170,0
149,19307,19307,0
150,19443,19443,0
151,19580,19580,0
152,19716,19716,0
153,19890,19890,0
154,20065,20065,0
155,20240,20240,0
156,20414,20414,0
157,20588,20588,0
158,20763,20763,0
159,20938,20938,0
160,21112,21112,0
161,21280,21280,0
162,21449,21449,0
163,21617,21617,0
164,21786,21786,0
165,21954,21954,0
166,22122,22122,0
167,22291,22291,0
168,22459,22459,0
169,22642,22642,0
170,22826,22826,0
171,23010,23010,0
172,23193,23193,0
173,23376,23376,0
174,23560,23560,0
175,23744,23744,0
176,23927,23927,0
177,24143,24143,0
178,24359,24359,0
179,24575,24575,0
180,24790,24790,0
181,25006,25006,0
182,25222,25222,0
183,25438,25438,0
184,25654,25654,0
185,25822,25801,-21
186,25990,25948,-42
187,26159,26096,-63
188,26327,26243,-84
189,26495,26390,-105
190,26664,26538,-126
191,26832,26685,-147
192,27000,26832,-168
193,27180,27011,-169
194,27361,27190,-171
195,27542,27369,-173
196,27722,27548,-174
197,27902,27727,-175
198,28083,27906,-177
199,28264,28085,-179
200,28444,28264,-180
201,28612,28434,-178
202,28780,28604,-176
203,28949,28773,-176
204,29117,28943,-174
205,29285,29113,-172
206,29454,29282,-172
207,29622,29452,-170
208,29790,29622,-168
209,30011,29837,-174
210,30232,30051,-181
211,30454,30266,-188
212,30675,30480,-195
213,30896,30695,-201
214,31118,30910,-208
215,31339,31124,-215
216,31560,31339,-221
217,31813,31620,-193
218,32066,31900,-166
219,32319,32180,-139
220,32572,32461,-111
221,32824,32742,-82
222,33077,33022,-55
223,33330,33302,-28
224,33583,33583,0
225,33855,33855,0
226,34126,34126,0
227,34398,34398,0
228,34670,34670,0
229,34941,34941,0
230,35213,35213,0
231,35484,35484,0
232,35756,35756,0
233,35928,35907,-21
234,36100,36058,-42
235,36273,36208,-65
236,36445,36359,-86
237,36617,36510,-107
238,36790,36660,-130
239,36962,36811,-151
240,37134,36962,-172
241,37304,37154,-150
242,37474,37346,-128
243,37645,37537,-108
244,37815,37729,-86
245,37985,37921,-64
246,38156,38112,-44
247,38326,38304,-22
248,38496,38496,0
249,38943,38943,0
250,39391,39391,0
251,39838,39838,0
252,40285,40285,0
253,40732,40732,0
254,41180,41180,0
255,41627,41627,0
