Input,SP1v5_Quad,SP1v7_Quad,Quad_Change,SP1v7_Density
0,0,0,0,0.093500
1,28,28,0,0.094305
2,57,57,0,0.095138
3,85,85,0,0.095943
4,114,114,0,0.096777
5,142,142,0,0.097582
6,170,170,0,0.098386
7,199,199,0,0.099220
8,227,227,0,0.100025
9,363,363,0,0.103934
10,499,499,0,0.107843
11,635,635,0,0.111752
12,770,770,0,0.115632
13,906,906,0,0.119541
14,1042,1042,0,0.123450
15,1178,1178,0,0.127359
16,1314,1314,0,0.131269
17,1396,1396,0,0.133625
18,1477,1477,0,0.135954
19,1558,1558,0,0.138282
20,1640,1640,0,0.140639
21,1722,1722,0,0.142996
22,1803,1803,0,0.145324
23,1884,1884,0,0.147652
24,1966,1966,0,0.150009
25,2096,2096,0,0.153746
26,2227,2227,0,0.157511
27,2358,2358,0,0.161276
28,2488,2488,0,0.165013
29,2618,2618,0,0.168750
30,2749,2749,0,0.172515
31,2880,2880,0,0.176280
32,3010,3010,0,0.180017
33,3140,3140,0,0.183754
34,3271,3271,0,0.187519
35,3402,3402,0,0.191284
36,3532,3532,0,0.195021
37,3662,3662,0,0.198758
38,3793,3793,0,0.202523
39,3924,3924,0,0.206288
40,4054,4054,0,0.210025
41,4184,4184,0,0.213762
42,4315,4315,0,0.217527
43,4445,4445,0,0.221263
44,4576,4576,0,0.225029
45,4706,4706,0,0.228765
46,4836,4836,0,0.232502
47,4967,4967,0,0.236267
48,5097,5097,0,0.240004
49,5222,5222,0,0.243597
50,5347,5347,0,0.247190
51,5472,5472,0,0.250783
52,5598,5598,0,0.254404
53,5723,5723,0,0.257997
54,5848,5848,0,0.261590
55,5973,5973,0,0.265183
56,6098,6098,0,0.268776
57,6229,6229,0,0.272541
58,6361,6361,0,0.276335
59,6492,6492,0,0.280101
60,6624,6624,0,0.283895
61,6755,6755,0,0.287660
62,6886,6886,0,0.291426
63,7018,7018,0,0.295220
64,7149,7149,0,0.298985
65,7235,7235,0,0.301457
66,7322,7322,0,0.303958
67,7408,7408,0,0.306430
68,7494,7494,0,0.308901
69,7581,7581,0,0.311402
70,7667,7667,0,0.313874
71,7754,7754,0,0.316375
72,7840,7840,0,0.318847
73,7974,7974,0,0.322698
74,8107,8107,0,0.326521
75,8241,8241,0,0.330373
76,8374,8374,0,0.334195
77,8508,8508,0,0.338047
78,8642,8642,0,0.341899
79,8775,8775,0,0.345721
80,8909,8909,0,0.349573
81,9093,9093,0,0.354862
82,9278,9278,0,0.360179
83,9462,9462,0,0.365468
84,9646,9646,0,0.370757
85,9831,9831,0,0.376074
86,10015,10015,0,0.381363
87,10200,10200,0,0.386681
88,10384,10384,0,0.391969
89,10509,10509,0,0.395562
90,10634,10634,0,0.399155
91,10759,10759,0,0.402748
92,10884,10884,0,0.406341
93,11009,11009,0,0.409934
94,11134,11134,0,0.413527
95,11259,11259,0,0.417120
96,11384,11384,0,0.420712
97,11544,11544,0,0.425311
98,11704,11704,0,0.429910
99,11864,11864,0,0.434509
100,12024,12024,0,0.439108
101,12184,12184,0,0.443707
102,12344,12344,0,0.448306
103,12504,12504,0,0.452905
104,12664,12664,0,0.457504
105,12803,12803,0,0.461499
106,12941,12941,0,0.465466
107,13080,13080,0,0.469461
108,13218,13218,0,0.473427
109,13357,13357,0,0.477423
110,13496,13496,0,0.481418
111,13634,13634,0,0.485385
112,13773,13773,0,0.489380
113,13901,13901,0,0.493059
114,14028,14028,0,0.496709
115,14156,14156,0,0.500389
116,14284,14284,0,0.504068
117,14412,14412,0,0.507747
118,14540,14540,0,0.511426
119,14667,14667,0,0.515076
120,14795,14795,0,0.518756
121,14931,14931,0,0.522665
122,15067,15067,0,0.526574
123,15203,15203,0,0.530483
124,15338,15338,0,0.534363
125,15474,15474,0,0.538272
126,15610,15610,0,0.542181
127,15746,15746,0,0.546090
128,15882,15882,0,0.549999
129,16107,16107,0,0.556467
130,16332,16332,0,0.562934
131,16557,16557,0,0.569401
132,16782,16782,0,0.575868
133,17008,17008,0,0.582364
134,17233,17233,0,0.588831
135,17458,17458,0,0.595299
136,17683,17683,0,0.601766
137,17801,17801,0,0.605158
138,17918,17918,0,0.608520
139,18036,18036,0,0.611912
140,18154,18154,0,0.615304
141,18272,18272,0,0.618696
142,18390,18390,0,0.622087
143,18507,18507,0,0.625450
144,18625,18625,0,0.628842
145,18761,18761,0,0.632751
146,18898,18898,0,0.636689
147,19034,19034,0,0.640598
148,19170,19170,0,0.644507
149,19307,19307,0,0.648445
150,19443,19443,0,0.652354
151,19580,19580,0,0.656292
152,19716,19716,0,0.660201
153,19890,19890,0,0.665202
154,20065,20065,0,0.670232
155,20240,20240,0,0.675262
156,20414,20414,0,0.680263
157,20588,20588,0,0.685265
158,20763,20763,0,0.690295
159,20938,20938,0,0.695325
160,21112,21112,0,0.700326
161,21280,21280,0,0.705155
162,21449,21449,0,0.710013
163,21617,21617,0,0.714842
164,21786,21786,0,0.719699
165,21954,21954,0,0.724528
166,22122,22122,0,0.729357
167,22291,22291,0,0.734214
168,22459,22459,0,0.739043
169,22642,22642,0,0.744303
170,22826,22826,0,0.749592
171,23010,23010,0,0.754881
172,23193,23193,0,0.760141
173,23376,23376,0,0.765401
174,23560,23560,0,0.770690
175,23744,23744,0,0.775978
176,23927,23927,0,0.781238
177,24143,24143,0,0.787447
178,24359,24359,0,0.793655
179,24575,24575,0,0.799864
180,24790,24790,0,0.806044
181,25006,25006,0,0.812252
182,25222,25222,0,0.818461
183,25438,25438,0,0.824669
184,25654,25654,0,0.830878
185,25801,25801,0,0.835103
186,25948,25948,0,0.839328
187,26096,26096,0,0.843582
188,26243,26243,0,0.847808
189,26390,26390,0,0.852033
190,26538,26538,0,0.856287
191,26685,26685,0,0.860512
192,26832,26832,0,0.864737
193,27011,27011,0,0.869882
194,27190,27190,0,0.875027
195,27369,27369,0,0.880172
196,27548,27548,0,0.885317
197,27727,27727,0,0.890462
198,27906,27906,0,0.895607
199,28085,28085,0,0.900753
200,28264,28264,0,0.905898
201,28434,28434,0,0.910784
202,28604,28604,0,0.915670
203,28773,28773,0,0.920528
204,28943,28943,0,0.925414
205,29113,29113,0,0.930301
206,29282,29282,0,0.935158
207,29452,29452,0,0.940044
208,29622,29622,0,0.944931
209,29837,29837,0,0.951111
210,30051,30051,0,0.957262
211,30266,30266,0,0.963441
212,30480,30480,0,0.969592
213,30695,30695,0,0.975772
214,30910,30910,0,0.981952
215,31124,31124,0,0.988103
216,31339,31339,0,0.994283
217,31620,31620,0,1.002360
218,31900,31900,0,1.010408
219,32180,32180,0,1.018456
220,32461,32461,0,1.026533
221,32742,32742,0,1.034610
222,33022,33022,0,1.042658
223,33302,33302,0,1.050706
224,33583,33583,0,1.058783
225,33855,33855,0,1.066601
226,34126,34126,0,1.074390
227,34398,34398,0,1.082208
228,34670,34670,0,1.090026
229,34941,34941,0,1.097816
230,35213,35213,0,1.105634
231,35484,35484,0,1.113423
232,35756,35756,0,1.121242
