Input,SP1v7_Quad,SP1v9_Quad,Quad_Change,SP1v7_Density,SP1v9_Density,Density_Change
0,0,0,0,0.000000,0.000000,0.000000
1,28,28,0,0.001709,0.001709,0.000000
2,57,57,0,0.003479,0.003479,0.000000
3,85,85,0,0.005188,0.005188,0.000000
4,114,114,0,0.006958,0.006958,0.000000
5,142,142,0,0.008667,0.008667,0.000000
6,170,170,0,0.010376,0.010376,0.000000
7,199,199,0,0.012146,0.012146,0.000000
8,227,227,0,0.013855,0.013855,0.000000
9,363,363,0,0.022156,0.022156,0.000000
10,499,499,0,0.030457,0.030457,0.000000
11,635,635,0,0.038758,0.038758,0.000000
12,770,770,0,0.046998,0.046998,0.000000
13,906,906,0,0.055299,0.055299,0.000000
14,1042,1042,0,0.063600,0.063600,0.000000
15,1178,1178,0,0.071901,0.071901,0.000000
16,1314,2133,819,0.080201,0.130190,0.049989
17,1396,2222,826,0.085206,0.135622,0.050416
18,1477,2310,833,0.090150,0.140993,0.050843
19,1558,2399,841,0.095094,0.146426,0.051331
20,1640,2488,848,0.100099,0.151858,0.051759
21,1722,2577,855,0.105104,0.157290,0.052186
22,1803,2666,863,0.110048,0.162722,0.052674
23,1884,2754,870,0.114992,0.168093,0.053101
24,1966,2843,877,0.119997,0.173526,0.053529
25,2096,2981,885,0.127932,0.181949,0.054017
26,2227,3119,892,0.135927,0.190372,0.054444
27,2358,3257,899,0.143923,0.198795,0.054871
28,2488,3394,906,0.151858,0.207156,0.055299
29,2618,3532,914,0.159792,0.215579,0.055787
30,2749,3670,921,0.167788,0.224002,0.056214
31,2880,3808,928,0.175784,0.232425,0.056641
32,3010,3946,936,0.183719,0.240848,0.057130
33,3140,4083,943,0.191653,0.249210,0.057557
34,3271,4221,950,0.199649,0.257633,0.057984
35,3402,4360,958,0.207645,0.266117,0.058473
36,3532,4497,965,0.215579,0.274479,0.058900
37,3662,4634,972,0.223514,0.282841,0.059327
38,3793,4773,980,0.231510,0.291325,0.059815
39,3924,4911,987,0.239506,0.299748,0.060243
40,4054,5048,994,0.247440,0.308110,0.060670
41,4184,5186,1002,0.255375,0.316533,0.061158
42,4315,5324,1009,0.263371,0.324956,0.061585
43,4445,5461,1016,0.271305,0.333318,0.062013
44,4576,5599,1023,0.279301,0.341741,0.062440
45,4706,5737,1031,0.287236,0.350164,0.062928
46,4836,5874,1038,0.295171,0.358526,0.063355
47,4967,6012,1045,0.303166,0.366949,0.063783
48,5097,6150,1053,0.311101,0.375372,0.064271
49,5222,6282,1060,0.318730,0.383429,0.064698
50,5347,6414,1067,0.326360,0.391485,0.065126
51,5472,6547,1075,0.333989,0.399603,0.065614
52,5598,6680,1082,0.341680,0.407721,0.066041
53,5723,6812,1089,0.349310,0.415778,0.066468
54,5848,6945,1097,0.356939,0.423896,0.066957
55,5973,7077,1104,0.364569,0.431952,0.067384
56,6098,7209,1111,0.372198,0.440009,0.067811
57,6229,7348,1119,0.380194,0.448493,0.068299
58,6361,7487,1126,0.388251,0.456977,0.068727
59,6492,7625,1133,0.396246,0.465400,0.069154
60,6624,7765,1141,0.404303,0.473945,0.069642
61,6755,7903,1148,0.412299,0.482368,0.070069
62,6886,8041,1155,0.420294,0.490791,0.070497
63,7018,8180,1162,0.428351,0.499275,0.070924
64,7149,8319,1170,0.436347,0.507759,0.071412
65,7235,8412,1177,0.441596,0.513436,0.071839
66,7322,8506,1184,0.446906,0.519173,0.072267
67,7408,8600,1192,0.452155,0.524910,0.072755
68,7494,8693,1199,0.457404,0.530587,0.073182
69,7581,8787,1206,0.462715,0.536324,0.073610
70,7667,8881,1214,0.467964,0.542061,0.074098
71,7754,8975,1221,0.473274,0.547799,0.074525
72,7840,9068,1228,0.478523,0.553475,0.074952
73,7974,9210,1236,0.486702,0.562142,0.075441
74,8107,9350,1243,0.494820,0.570687,0.075868
75,8241,9491,1250,0.502998,0.579294,0.076295
76,8374,9632,1258,0.511116,0.587900,0.076783
77,8508,9773,1265,0.519295,0.596506,0.077211
