Input,Input_255,Target_Density,Baseline,Quad_Value
0,0.000000,0.070000,0.000000,0
1,0.996094,0.071245,0.000000,0
2,1.992188,0.072490,0.000000,0
3,2.988281,0.073735,0.000000,0
4,3.984375,0.074980,0.000000,0
5,4.980469,0.076226,0.000000,0
6,5.976562,0.077471,0.000000,0
7,6.972656,0.078716,0.000000,0
8,7.968750,0.079961,0.000000,0
9,8.964844,0.086030,0.000000,0
10,9.960938,0.092256,0.000000,0
11,10.957031,0.098481,0.674353,173
12,11.953125,0.104707,1.517129,390
13,12.949219,0.110933,2.359905,606
14,13.945312,0.117158,3.202681,823
15,14.941406,0.123384,4.045457,1040
16,15.937500,0.129609,4.888233,1256
17,16.933594,0.133501,5.415050,1392
18,17.929688,0.137236,5.920716,1522
19,18.925781,0.140972,6.426381,1652
20,19.921875,0.144707,6.932047,1782
21,20.917969,0.148442,7.437713,1911
22,21.914062,0.152178,7.943378,2041
23,22.910156,0.155913,8.449044,2171
24,23.906250,0.159648,8.954709,2301
25,24.902344,0.162256,9.307684,2392
26,25.898438,0.164746,9.644794,2479
27,26.894531,0.167236,9.981904,2565
28,27.890625,0.169727,10.319015,2652
29,28.886719,0.172217,10.656125,2739
30,29.882812,0.174707,10.993236,2825
31,30.878906,0.177197,11.330346,2912
32,31.875000,0.179688,11.667456,2999
33,32.871094,0.182178,12.004567,3085
34,33.867188,0.184668,12.341677,3172
35,34.863281,0.187158,12.678787,3258
36,35.859375,0.189648,13.015898,3345
37,36.855469,0.192139,13.353008,3432
38,37.851562,0.194629,13.690119,3518
39,38.847656,0.197119,14.027229,3605
40,39.843750,0.199609,14.364339,3692
41,40.839844,0.204199,14.985680,3851
42,41.835938,0.209180,15.659901,4025
43,42.832031,0.214160,16.334122,4198
44,43.828125,0.219141,17.008342,4371
45,44.824219,0.224121,17.682563,4544
46,45.820312,0.229102,18.356784,4718
47,46.816406,0.234082,19.031005,4891
48,47.812500,0.239062,19.705225,5064
49,48.808594,0.243032,20.242619,5202
50,49.804688,0.246768,20.748285,5332
51,50.800781,0.250503,21.253950,5462
52,51.796875,0.254238,21.759616,5592
53,52.792969,0.257974,22.265281,5722
54,53.789062,0.261709,22.770947,5852
55,54.785156,0.265444,23.276612,5982
56,55.781250,0.269180,23.782278,6112
57,56.777344,0.273887,24.419483,6276
58,57.773438,0.278867,25.093703,6449
59,58.769531,0.283848,25.767924,6622
60,59.765625,0.288828,26.442145,6796
61,60.761719,0.293809,27.116366,6969
62,61.757812,0.298789,27.790587,7142
63,62.753906,0.303770,28.464807,7315
64,63.750000,0.308750,29.139028,7489
65,64.746094,0.311865,29.560746,7597
66,65.742188,0.314355,29.897857,7684
67,66.738281,0.316846,30.234967,7770
68,67.734375,0.319336,30.572078,7857
69,68.730469,0.321826,30.909188,7944
70,69.726562,0.324316,31.246298,8030
71,70.722656,0.326807,31.583409,8117
72,71.718750,0.329297,31.920519,8204
73,72.714844,0.333574,32.499556,8352
74,73.710938,0.338555,33.173777,8526
75,74.707031,0.343535,33.847997,8699
76,75.703125,0.348516,34.522218,8872
77,76.699219,0.353496,35.196439,9045
78,77.695312,0.358477,35.870660,9219
79,78.691406,0.363457,36.544880,9392
80,79.687500,0.368437,37.219101,9565
81,80.683594,0.371709,37.661972,9679
82,81.679688,0.374199,37.999082,9766
83,82.675781,0.376689,38.336192,9852
84,83.671875,0.379180,38.673303,9939
85,84.667969,0.381670,39.010413,10026
86,85.664062,0.384160,39.347524,10112
87,86.660156,0.386650,39.684634,10199
88,87.656250,0.389141,40.021744,10286
89,88.652344,0.393262,40.579629,10429
90,89.648438,0.398242,41.253850,10602
91,90.644531,0.403223,41.928070,10776
92,91.640625,0.408203,42.602291,10949
93,92.636719,0.413184,43.276512,11122
94,93.632812,0.418164,43.950733,11295
95,94.628906,0.423145,44.624953,11469
96,95.625000,0.428125,45.299174,11642
97,96.621094,0.433882,46.078494,11842
98,97.617188,0.440107,46.921270,12059
99,98.613281,0.446333,47.764046,12275
100,99.609375,0.452559,48.606822,12492
101,100.605469,0.458784,49.449598,12709
102,101.601562,0.465010,50.292374,12925
103,102.597656,0.471235,51.135150,13142
104,103.593750,0.477461,51.977926,13358
105,104.589844,0.483687,52.820702,13575
106,105.585938,0.489912,53.663478,13792
107,106.582031,0.496138,54.506254,14008
108,107.578125,0.502363,55.349030,14225
109,108.574219,0.508589,56.191805,14441
110,109.570312,0.514814,57.034581,14658
111,110.566406,0.521040,57.877357,14874
112,111.562500,0.527266,58.720133,15091
113,112.558594,0.533491,59.562909,15308
114,113.554688,0.539717,60.405685,15524
115,114.550781,0.545942,61.248461,15741
116,115.546875,0.552168,62.091237,15957
117,116.542969,0.558394,62.934013,16174
118,117.539062,0.564619,63.776789,16391
119,118.535156,0.570845,64.619565,16607
120,119.531250,0.577070,65.462341,16824
121,120.527344,0.583296,66.305117,17040
122,121.523438,0.589521,67.147893,17257
123,122.519531,0.595747,67.990669,17474
124,123.515625,0.601973,68.833445,17690
125,124.511719,0.608198,69.676221,17907
126,125.507812,0.614424,70.518997,18123
127,126.503906,0.620649,71.361773,18340
128,127.500000,0.626875,72.204549,18557
129,128.496094,0.632480,72.963377,18752
130,129.492188,0.637461,73.637598,18925
131,130.488281,0.642441,74.311819,19098
132,131.484375,0.647422,74.986040,19271
133,132.480469,0.652402,75.660260,19445
134,133.476562,0.657383,76.334481,19618
135,134.472656,0.662363,77.008702,19791
136,135.468750,0.667344,77.682923,19965
137,136.464844,0.672324,78.357143,20138
138,137.460938,0.677305,79.031364,20311
139,138.457031,0.682285,79.705585,20484
140,139.453125,0.687266,80.379806,20658
141,140.449219,0.692246,81.054026,20831
142,141.445312,0.697227,81.728247,21004
143,142.441406,0.702207,82.402468,21177
144,143.437500,0.707187,83.076689,21351
145,144.433594,0.712168,83.750910,21524
146,145.429688,0.717148,84.425130,21697
147,146.425781,0.722129,85.099351,21871
148,147.421875,0.727109,85.773572,22044
149,148.417969,0.732090,86.447793,22217
150,149.414062,0.737070,87.122013,22390
151,150.410156,0.742051,87.796234,22564
152,151.406250,0.747031,88.470455,22737
153,152.402344,0.752012,89.144676,22910
154,153.398438,0.756992,89.818896,23083
155,154.394531,0.761973,90.493117,23257
156,155.390625,0.766953,91.167338,23430
157,156.386719,0.771934,91.841559,23603
158,157.382812,0.776914,92.515779,23777
159,158.378906,0.781895,93.190000,23950
160,159.375000,0.786875,93.864221,24123
161,160.371094,0.791855,94.538442,24296
162,161.367188,0.796836,95.212662,24470
163,162.363281,0.801816,95.886883,24643
164,163.359375,0.806797,96.561104,24816
165,164.355469,0.811777,97.235325,24989
166,165.351562,0.816758,97.909545,25163
167,166.347656,0.821738,98.583766,25336
168,167.343750,0.826719,99.257987,25509
169,168.339844,0.831699,99.932208,25683
170,169.335938,0.836680,100.606429,25856
171,170.332031,0.841660,101.280649,26029
172,171.328125,0.846641,101.954870,26202
173,172.324219,0.851621,102.629091,26376
174,173.320312,0.856602,103.303312,26549
175,174.316406,0.861582,103.977532,26722
176,175.312500,0.866563,104.651753,26896
177,176.308594,0.871157,105.273755,27055
178,177.304688,0.874893,105.779420,27185
179,178.300781,0.878628,106.285086,27315
180,179.296875,0.882363,106.790751,27445
181,180.292969,0.886099,107.296417,27575
182,181.289062,0.889834,107.802083,27705
183,182.285156,0.893569,108.307748,27835
184,183.281250,0.897305,108.813414,27965
185,184.277344,0.901387,109.366010,28107
186,185.273438,0.906367,110.040231,28280
187,186.269531,0.911348,110.714452,28454
188,187.265625,0.916328,111.388673,28627
189,188.261719,0.921309,112.062893,28800
190,189.257812,0.926289,112.737114,28973
191,190.253906,0.931270,113.411335,29147
192,191.250000,0.936250,114.085556,29320
193,192.246094,0.940308,114.634847,29461
194,193.242188,0.941553,114.803403,29504
195,194.238281,0.942798,114.971958,29548
196,195.234375,0.944043,115.140513,29591
197,196.230469,0.945288,115.309068,29634
198,197.226562,0.946533,115.477623,29678
199,198.222656,0.947778,115.646178,29721
200,199.218750,0.949023,115.814734,29764
201,200.214844,0.951343,116.128709,29845
202,201.210938,0.957568,116.971485,30062
203,202.207031,0.963794,117.814261,30278
204,203.203125,0.970020,118.657037,30495
205,204.199219,0.976245,119.499813,30711
206,205.195312,0.982471,120.342589,30928
207,206.191406,0.988696,121.185365,31145
208,207.187500,0.994922,122.028141,31361
209,208.183594,1.000459,122.777715,31554
210,209.179688,1.002949,123.114826,31641
211,210.175781,1.005439,123.451936,31727
212,211.171875,1.007930,123.789047,31814
213,212.167969,1.010420,124.126157,31900
214,213.164062,1.012910,124.463267,31987
215,214.160156,1.015400,124.800378,32074
216,215.156250,1.017891,125.137488,32160
217,216.152344,1.020762,125.526157,32260
218,217.148438,1.025742,126.200377,32433
219,218.144531,1.030723,126.874598,32607
220,219.140625,1.035703,127.548819,32780
221,220.136719,1.040684,128.223040,32953
222,221.132812,1.045664,128.897260,33127
223,222.128906,1.050645,129.571481,33300
224,223.125000,1.055625,130.245702,33473
225,224.121094,1.060908,130.960905,33657
226,225.117188,1.068379,131.972236,33917
227,226.113281,1.075850,132.983567,34177
228,227.109375,1.083320,133.994898,34437
229,228.105469,1.090791,135.006229,34697
230,229.101562,1.098262,136.017560,34957
231,230.097656,1.105732,137.028892,35216
232,231.093750,1.113203,138.040223,35476
233,232.089844,1.120786,139.066757,35740
234,233.085938,1.129502,140.246643,36043
235,234.082031,1.138218,141.426530,36347
236,235.078125,1.146934,142.606416,36650
237,236.074219,1.155649,143.786302,36953
238,237.070312,1.164365,144.966188,37256
239,238.066406,1.173081,146.146075,37560
240,239.062500,1.181797,147.325961,37863
241,240.058594,1.190366,148.486017,38161
242,241.054688,1.196592,149.328793,38377
243,242.050781,1.202817,150.171569,38594
244,243.046875,1.209043,151.014345,38811
245,244.042969,1.215269,151.857121,39027
246,245.039062,1.221494,152.699897,39244
247,246.035156,1.227720,153.542673,39460
248,247.031250,1.233945,154.385449,39677
249,248.027344,1.240078,155.215666,39890
250,249.023438,1.242924,155.600935,39989
251,250.019531,1.245770,155.986204,40088
252,251.015625,1.248616,156.371473,40187
253,252.011719,1.251462,156.756742,40286
254,253.007812,1.254308,157.142011,40385
255,254.003906,1.257154,157.527280,40485
256,255.000000,1.260000,157.912549,40584
