Input,Target_Density,Baseline,Quad_Value
0,0.070000,0.000000,0
1,0.071250,0.000000,0
2,0.072500,0.000000,0
3,0.073750,0.000000,0
4,0.075000,0.000000,0
5,0.076250,0.000000,0
6,0.077500,0.000000,0
7,0.078750,0.000000,0
8,0.080000,0.000000,0
9,0.086250,0.000000,0
10,0.092500,0.000000,0
11,0.098750,0.710708,183
12,0.105000,1.556789,400
13,0.111250,2.402870,618
14,0.117500,3.248951,835
15,0.123750,4.095032,1052
16,0.130000,4.941113,1270
17,0.133750,5.448761,1400
18,0.137500,5.956410,1531
19,0.141250,6.464058,1661
20,0.145000,6.971707,1792
21,0.148750,7.479356,1922
22,0.152500,7.987004,2053
23,0.156250,8.494653,2183
24,0.160000,9.002301,2314
25,0.162500,9.340734,2401
26,0.165000,9.679166,2488
27,0.167500,10.017598,2575
28,0.170000,10.356031,2661
29,0.172500,10.694463,2748
30,0.175000,11.032896,2835
31,0.177500,11.371328,2922
32,0.180000,11.709760,3009
33,0.182500,12.048193,3096
34,0.185000,12.386625,3183
35,0.187500,12.725058,3270
36,0.190000,13.063490,3357
37,0.192500,13.401922,3444
38,0.195000,13.740355,3531
39,0.197500,14.078787,3618
40,0.200000,14.417219,3705
41,0.205000,15.094084,3879
42,0.210000,15.770949,4053
43,0.215000,16.447814,4227
44,0.220000,17.124678,4401
45,0.225000,17.801543,4575
46,0.230000,18.478408,4749
47,0.235000,19.155273,4923
48,0.240000,19.832138,5097
49,0.243750,20.339786,5227
50,0.247500,20.847435,5358
51,0.251250,21.355083,5488
52,0.255000,21.862732,5619
53,0.258750,22.370380,5749
54,0.262500,22.878029,5880
55,0.266250,23.385678,6010
56,0.270000,23.893326,6141
57,0.275000,24.570191,6315
58,0.280000,25.247056,6488
59,0.285000,25.923920,6662
60,0.290000,26.600785,6836
61,0.295000,27.277650,7010
62,0.300000,27.954515,7184
63,0.305000,28.631379,7358
64,0.310000,29.308244,7532
65,0.312500,29.646677,7619
66,0.315000,29.985109,7706
67,0.317500,30.323541,7793
68,0.320000,30.661974,7880
69,0.322500,31.000406,7967
70,0.325000,31.338839,8054
71,0.327500,31.677271,8141
72,0.330000,32.015703,8228
73,0.335000,32.692568,8402
74,0.340000,33.369433,8576
75,0.345000,34.046298,8750
76,0.350000,34.723162,8924
77,0.355000,35.400027,9098
78,0.360000,36.076892,9272
79,0.365000,36.753757,9446
80,0.370000,37.430621,9620
81,0.372500,37.769054,9707
82,0.375000,38.107486,9794
83,0.377500,38.445919,9881
84,0.380000,38.784351,9968
85,0.382500,39.122783,10055
86,0.385000,39.461216,10142
87,0.387500,39.799648,10229
88,0.390000,40.138080,10315
89,0.395000,40.814945,10489
90,0.400000,41.491810,10663
91,0.405000,42.168675,10837
92,0.410000,42.845539,11011
93,0.415000,43.522404,11185
94,0.420000,44.199269,11359
95,0.425000,44.876134,11533
96,0.430000,45.552999,11707
97,0.436250,46.399079,11925
98,0.442500,47.245160,12142
99,0.448750,48.091241,12359
100,0.455000,48.937322,12577
101,0.461250,49.783403,12794
102,0.467500,50.629484,13012
103,0.473750,51.475565,13229
104,0.480000,52.321646,13447
105,0.486250,53.167727,13664
106,0.492500,54.013808,13882
107,0.498750,54.859889,14099
108,0.505000,55.705970,14316
109,0.511250,56.552051,14534
110,0.517500,57.398132,14751
111,0.523750,58.244213,14969
112,0.530000,59.090294,15186
113,0.536250,59.936375,15404
114,0.542500,60.782456,15621
115,0.548750,61.628537,15839
116,0.555000,62.474618,16056
117,0.561250,63.320699,16273
118,0.567500,64.166779,16491
119,0.573750,65.012860,16708
120,0.580000,65.858941,16926
121,0.586250,66.705022,17143
122,0.592500,67.551103,17361
123,0.598750,68.397184,17578
124,0.605000,69.243265,17796
125,0.611250,70.089346,18013
126,0.617500,70.935427,18230
127,0.623750,71.781508,18448
128,0.630000,72.627589,18665
129,0.635000,73.304454,18839
130,0.640000,73.981319,19013
131,0.645000,74.658183,19187
132,0.650000,75.335048,19361
133,0.655000,76.011913,19535
134,0.660000,76.688778,19709
135,0.665000,77.365642,19883
136,0.670000,78.042507,20057
137,0.675000,78.719372,20231
138,0.680000,79.396237,20405
139,0.685000,80.073101,20579
140,0.690000,80.749966,20753
141,0.695000,81.426831,20927
142,0.700000,82.103696,21101
143,0.705000,82.780560,21275
144,0.710000,83.457425,21449
145,0.715000,84.134290,21623
146,0.720000,84.811155,21796
147,0.725000,85.488019,21970
148,0.730000,86.164884,22144
149,0.735000,86.841749,22318
150,0.740000,87.518614,22492
151,0.745000,88.195479,22666
152,0.750000,88.872343,22840
153,0.755000,89.549208,23014
154,0.760000,90.226073,23188
155,0.765000,90.902938,23362
156,0.770000,91.579802,23536
157,0.775000,92.256667,23710
158,0.780000,92.933532,23884
159,0.785000,93.610397,24058
160,0.790000,94.287261,24232
161,0.795000,94.964126,24406
162,0.800000,95.640991,24580
163,0.805000,96.317856,24754
164,0.810000,96.994720,24928
165,0.815000,97.671585,25102
166,0.820000,98.348450,25276
167,0.825000,99.025315,25450
168,0.830000,99.702180,25623
169,0.835000,100.379044,25797
170,0.840000,101.055909,25971
171,0.845000,101.732774,26145
172,0.850000,102.409639,26319
173,0.855000,103.086503,26493
174,0.860000,103.763368,26667
175,0.865000,104.440233,26841
176,0.870000,105.117098,27015
177,0.873750,105.624746,27146
178,0.877500,106.132395,27276
179,0.881250,106.640043,27406
180,0.885000,107.147692,27537
181,0.888750,107.655340,27667
182,0.892500,108.162989,27798
183,0.896250,108.670638,27928
184,0.900000,109.178286,28059
185,0.905000,109.855151,28233
186,0.910000,110.532016,28407
187,0.915000,111.208880,28581
188,0.920000,111.885745,28755
189,0.925000,112.562610,28929
190,0.930000,113.239475,29103
191,0.935000,113.916340,29276
192,0.940000,114.593204,29450
193,0.941250,114.762420,29494
194,0.942500,114.931637,29537
195,0.943750,115.100853,29581
196,0.945000,115.270069,29624
197,0.946250,115.439285,29668
198,0.947500,115.608501,29711
199,0.948750,115.777718,29755
200,0.950000,115.946934,29798
201,0.956250,116.793015,30016
202,0.962500,117.639096,30233
203,0.968750,118.485177,30451
204,0.975000,119.331258,30668
205,0.981250,120.177339,30886
206,0.987500,121.023420,31103
207,0.993750,121.869500,31320
208,1.000000,122.715581,31538
209,1.002500,123.054014,31625
210,1.005000,123.392446,31712
211,1.007500,123.730879,31799
212,1.010000,124.069311,31886
213,1.012500,124.407743,31973
214,1.015000,124.746176,32060
215,1.017500,125.084608,32147
216,1.020000,125.423040,32234
217,1.025000,126.099905,32408
218,1.030000,126.776770,32582
219,1.035000,127.453635,32756
220,1.040000,128.130500,32930
221,1.045000,128.807364,33103
222,1.050000,129.484229,33277
223,1.055000,130.161094,33451
224,1.060000,130.837959,33625
225,1.067500,131.853256,33886
226,1.075000,132.868553,34147
227,1.082500,133.883850,34408
228,1.090000,134.899147,34669
229,1.097500,135.914444,34930
230,1.105000,136.929741,35191
231,1.112500,137.945039,35452
232,1.120000,138.960336,35713
233,1.128750,140.144849,36017
234,1.137500,141.329362,36322
235,1.146250,142.513876,36626
236,1.155000,143.698389,36930
237,1.163750,144.882902,37235
