Input,Quad_Value,Baseline,Density,Quad_Diff,Source
0,0,0.000000,0.093500,0,v18
1,0,0.000000,0.093500,0,v18
2,0,0.000000,0.093500,0,v18
3,0,0.000000,0.093500,0,v18
4,0,0.000000,0.093500,0,v18
5,0,0.000000,0.093500,0,v18
6,0,0.000000,0.093500,0,v18
7,96,0.373541,0.096259,96,v18
8,227,0.883268,0.100025,131,v18
9,444,1.727626,0.106262,217,v18
10,662,2.575875,0.112528,218,v18
11,879,3.420233,0.118765,217,v18
12,1097,4.268482,0.125031,218,v18
13,1314,5.112840,0.131269,217,v18
14,1532,5.961089,0.137535,218,v18
15,1749,6.805447,0.143772,217,v18
16,1966,7.649805,0.150009,217,v18
17,2097,8.159533,0.153774,131,v18
18,2227,8.665370,0.157511,130,v18
19,2358,9.175097,0.161276,131,v18
20,2488,9.680934,0.165013,130,v18
21,2619,10.190661,0.168778,131,v18
22,2749,10.696498,0.172515,130,v18
23,2880,11.206226,0.176280,131,v18
24,3010,11.712062,0.180017,130,v18
25,3097,12.050584,0.182518,87,v18
26,3184,12.389105,0.185018,87,v18
27,3271,12.727626,0.187519,87,v18
28,3358,13.066148,0.190020,87,v18
29,3445,13.404669,0.192520,87,v18
30,3532,13.743191,0.195021,87,v18
31,3619,14.081712,0.197522,87,v18
32,3706,14.420233,0.200022,87,v18
33,3793,14.758755,0.202523,87,v18
34,3880,15.097276,0.205024,87,v18
35,3967,15.435798,0.207524,87,v18
36,4054,15.774319,0.210025,87,v18
37,4141,16.112840,0.212526,87,v18
38,4228,16.451362,0.215026,87,v18
39,4315,16.789883,0.217527,87,v18
40,4402,17.128405,0.220028,87,v18
41,4576,17.805447,0.225029,174,v18
42,4749,18.478599,0.230001,173,v18
43,4923,19.155642,0.235003,174,v18
44,5097,19.832685,0.240004,174,v18
45,5271,20.509728,0.245005,174,v18
46,5445,21.186770,0.250007,174,v18
47,5619,21.863813,0.255008,174,v18
48,5793,22.540856,0.260009,174,v18
49,5945,23.132296,0.264378,152,v18
50,6098,23.727626,0.268776,153,v18
51,6250,24.319066,0.273145,152,v18
52,6402,24.910506,0.277514,152,v18
53,6554,25.501946,0.281883,152,v18
54,6706,26.093385,0.286252,152,v18
55,6859,26.688716,0.290650,153,v18
56,7011,27.280156,0.295019,152,v18
57,7149,27.817121,0.298985,138,v18
58,7287,28.354086,0.302952,138,v18
59,7425,28.891051,0.306918,138,v18
60,7564,29.431907,0.310913,139,v18
61,7702,29.968872,0.314880,138,v18
62,7840,30.505837,0.318847,138,v18
63,7978,31.042802,0.322813,138,v18
64,8117,31.583658,0.326808,139,v18
65,8249,32.097276,0.330603,132,v18
66,8381,32.610895,0.334397,132,v18
67,8513,33.124514,0.338191,132,v18
68,8645,33.638132,0.341985,132,v18
69,8777,34.151751,0.345779,132,v18
70,8909,34.665370,0.349573,132,v18
71,9041,35.178988,0.353367,132,v18
72,9173,35.692607,0.357161,132,v18
73,9306,36.210117,0.360984,133,v18
74,9440,36.731518,0.364836,134,v18
75,9573,37.249027,0.368659,133,v18
76,9707,37.770428,0.372510,134,v18
77,9840,38.287938,0.376333,133,v18
78,9974,38.809339,0.380185,134,v18
79,10108,39.330739,0.384036,134,v18
80,10241,39.848249,0.387859,133,v18
81,10384,40.404669,0.391969,143,v18
82,10527,40.961089,0.396080,143,v18
83,10670,41.517510,0.400190,143,v18
84,10813,42.073930,0.404300,143,v18
85,10956,42.630350,0.408410,143,v18
86,11098,43.182879,0.412492,142,v18
87,11241,43.739300,0.416602,143,v18
88,11384,44.295720,0.420712,143,v18
89,11544,44.918288,0.425311,160,v18
90,11704,45.540856,0.429910,160,v18
91,11864,46.163424,0.434509,160,v18
92,12024,46.785992,0.439108,160,v18
93,12184,47.408560,0.443707,160,v18
94,12344,48.031128,0.448306,160,v18
95,12504,48.653696,0.452905,160,v18
96,12664,49.276265,0.457504,160,v18
97,12849,49.996109,0.462821,185,v18
98,13034,50.715953,0.468139,185,v18
99,13218,51.431907,0.473427,184,v18
100,13403,52.151751,0.478745,185,v18
101,13588,52.871595,0.484062,185,v18
102,13773,53.591440,0.489380,185,v18
103,13958,54.311284,0.494697,185,v18
104,14143,55.031128,0.500015,185,v18
105,14360,55.875486,0.506252,217,v18
106,14577,56.719844,0.512489,217,v18
107,14795,57.568093,0.518756,218,v18
108,15012,58.412451,0.524993,217,v18
109,15230,59.260700,0.531259,218,v18
110,15447,60.105058,0.537496,217,v18
111,15665,60.953307,0.543762,218,v18
112,15882,61.797665,0.549999,217,v18
113,16084,62.583658,0.555805,202,v18
114,16285,63.365759,0.561583,201,v18
115,16487,64.151751,0.567389,202,v18
116,16688,64.933852,0.573166,201,v18
117,16890,65.719844,0.578972,202,v18
118,17091,66.501946,0.584750,201,v18
119,17293,67.287938,0.590556,202,v18
120,17494,68.070039,0.596333,201,v18
121,17683,68.805447,0.601766,189,v18
122,17871,69.536965,0.607170,188,v18
123,18060,70.272374,0.612602,189,v18
124,18248,71.003891,0.618006,188,v18
125,18437,71.739300,0.623438,189,v18
126,18625,72.470817,0.628842,188,v18
127,18814,73.206226,0.634274,189,v18
128,19002,73.937743,0.639678,188,v18
129,19181,74.634241,0.644823,179,v18
130,19359,75.326848,0.649939,178,v18
131,19537,76.019455,0.655056,178,v18
132,19716,76.715953,0.660201,179,v18
133,19894,77.408560,0.665317,178,v18
134,20072,78.101167,0.670433,178,v18
135,20251,78.797665,0.675578,179,v18
136,20429,79.490272,0.680695,178,v18
137,20600,80.155642,0.685610,171,v18
138,20771,80.821012,0.690525,171,v18
139,20942,81.486381,0.695440,171,v18
140,21112,82.147860,0.700326,170,v18
141,21283,82.813230,0.705241,171,v18
142,21454,83.478599,0.710156,171,v18
143,21625,84.143969,0.715071,171,v18
144,21796,84.809339,0.719987,171,v18
145,21962,85.455253,0.724758,166,v18
146,22128,86.101167,0.729529,166,v18
147,22294,86.747082,0.734301,166,v18
148,22459,87.389105,0.739043,165,v18
149,22625,88.035019,0.743815,166,v18
150,22791,88.680934,0.748586,166,v18
151,22957,89.326848,0.753357,166,v18
152,23123,89.972763,0.758129,166,v18
153,23284,90.599222,0.762756,161,v18
154,23444,91.221790,0.767355,160,v18
155,23605,91.848249,0.771983,161,v18
156,23766,92.474708,0.776611,161,v18
157,23927,93.101167,0.781238,161,v18
158,24088,93.727626,0.785866,161,v18
