input,v7_density,v9_density,v10_density,modification,change_from_v9
0.0,0.07,0.07,0.07,No change,0.0
8.0,0.08,0.08,0.08,No change,0.0
16.0,0.11,0.14,0.14,No change,0.0
24.0,0.14,0.16,0.16,No change,0.0
32.0,0.17,0.19,0.19,No change,0.0
40.0,0.2,0.22,0.22,No change,0.0
48.0,0.23,0.25,0.25,No change,0.0
56.0,0.25,0.28,0.28,No change,0.0
64.0,0.28,0.31,0.31,No change,0.0
72.0,0.3,0.33,0.33,No change,0.0
80.0,0.33,0.37,0.37,No change,0.0
88.0,0.37,0.41,0.41,No change,0.0
96.0,0.4,0.45,0.45,No change,0.0
104.0,0.44,0.51,0.47,V7[112] → 0.47D,-0.040000000000000036
112.0,0.47,0.52,0.5,V7[120] → 0.53D,-0.020000000000000018
120.0,0.5,0.56,0.56,Keep V9,0.0
128.0,0.53,0.52,0.57,V9[136.0] shift,0.04999999999999993
136.0,0.58,0.57,0.61,V9[144.0] shift,0.040000000000000036
144.0,0.62,0.61,0.63,V9[152.0] shift,0.020000000000000018
152.0,0.66,0.63,0.68,V9[160.0] shift,0.050000000000000044
160.0,0.7,0.68,0.73,V9[168.0] shift,0.04999999999999993
168.0,0.74,0.73,0.77,V9[176.0] shift,0.040000000000000036
176.0,0.78,0.77,0.82,V9[184.0] shift,0.04999999999999993
184.0,0.82,0.82,0.87,V9[192.0] shift,0.050000000000000044
192.0,0.87,0.87,0.91,V9[200.0] shift,0.040000000000000036
200.0,0.92,0.91,0.95,V9[208.0] shift,0.039999999999999925
208.0,0.96,0.95,1.01,V9[216.0] shift,0.06000000000000005
216.0,1.0,1.01,1.08,V9[224.0] shift,0.07000000000000006
224.0,1.07,1.08,1.12,V9[232.0] shift,0.040000000000000036
232.0,1.12,1.12,1.17,V9[240.0] shift,0.04999999999999982
240.0,1.17,1.17,1.23,V9[248.0] shift,0.06000000000000005
248.0,1.21,1.23,1.29,V20[255] → 1.29D,0.06000000000000005
255.0,1.69,1.73,1.73,Keep V9,0.0
