input,v18_density,v7_density,density_diff,percent_change
0,0.07,0.07,0.0,0.0
8,0.08,0.08,0.0,0.0
16,0.11,0.11,0.0,0.0
24,0.13,0.14,-0.010000000000000009,-7.14
32,0.16,0.17,-0.010000000000000009,-5.88
40,0.19,0.2,-0.010000000000000009,-5.0
48,0.22,0.23,-0.010000000000000009,-4.35
56,0.25,0.25,0.0,0.0
64,0.28,0.28,0.0,0.0
72,0.3,0.3,0.0,0.0
80,0.33,0.33,0.0,0.0
88,0.36,0.37,-0.010000000000000009,-2.7
96,0.39,0.4,-0.010000000000000009,-2.5
104,0.41,0.44,-0.030000000000000027,-6.82
112,0.44,0.47,-0.02999999999999997,-6.38
120,0.46,0.5,-0.03999999999999998,-8.0
128,0.49,0.53,-0.040000000000000036,-7.55
136,0.54,0.58,-0.039999999999999925,-6.9
144,0.57,0.62,-0.050000000000000044,-8.06
152,0.61,0.66,-0.050000000000000044,-7.58
160,0.65,0.7,-0.04999999999999993,-7.14
168,0.69,0.74,-0.050000000000000044,-6.76
176,0.74,0.78,-0.040000000000000036,-5.13
184,0.78,0.82,-0.039999999999999925,-4.88
192,0.82,0.87,-0.050000000000000044,-5.75
200,0.88,0.92,-0.040000000000000036,-4.35
208,0.91,0.96,-0.04999999999999993,-5.21
216,0.95,1.0,-0.050000000000000044,-5.0
224,1.02,1.07,-0.050000000000000044,-4.67
232,1.08,1.12,-0.040000000000000036,-3.57
240,1.16,1.17,-0.010000000000000009,-0.85
248,1.22,1.21,0.010000000000000009,0.83
255,1.72,1.69,0.030000000000000027,1.78
