input,v19_quad,v19_density,v21_quad,v21_density,quad_diff,density_diff
0,0,0.0000,0,0.0000,0,0.0000
1,28,0.0009,28,0.0009,0,0.0000
2,57,0.0018,57,0.0018,0,0.0000
3,85,0.0026,85,0.0026,0,0.0000
4,114,0.0035,114,0.0035,0,0.0000
5,142,0.0044,142,0.0044,0,0.0000
6,170,0.0053,170,0.0053,0,0.0000
7,199,0.0062,199,0.0062,0,0.0000
8,227,0.0070,227,0.0070,0,0.0000
9,363,0.0112,363,0.0112,0,0.0000
10,499,0.0154,499,0.0154,0,0.0000
11,635,0.0197,635,0.0197,0,0.0000
12,770,0.0238,770,0.0238,0,0.0000
13,906,0.0280,906,0.0280,0,0.0000
14,1042,0.0323,1042,0.0323,0,0.0000
15,1178,0.0365,1178,0.0365,0,0.0000
16,1314,0.0407,1314,0.0407,0,0.0000
17,1396,0.0432,1396,0.0432,0,0.0000
18,1477,0.0457,1477,0.0457,0,0.0000
19,1558,0.0482,1558,0.0482,0,0.0000
20,1640,0.0508,1640,0.0508,0,0.0000
21,1722,0.0533,1722,0.0533,0,0.0000
22,1803,0.0558,1803,0.0558,0,0.0000
23,1884,0.0583,1884,0.0583,0,0.0000
24,1966,0.0609,1966,0.0609,0,0.0000
25,2096,0.0649,2096,0.0649,0,0.0000
26,2227,0.0689,2227,0.0689,0,0.0000
27,2358,0.0730,2358,0.0730,0,0.0000
28,2488,0.0770,2488,0.0770,0,0.0000
29,2618,0.0810,2618,0.0810,0,0.0000
30,2749,0.0851,2749,0.0851,0,0.0000
31,2880,0.0891,2880,0.0891,0,0.0000
32,3010,0.0932,3010,0.0932,0,0.0000
33,3140,0.0972,3140,0.0972,0,0.0000
34,3271,0.1012,3271,0.1012,0,0.0000
35,3402,0.1053,3402,0.1053,0,0.0000
36,3532,0.1093,3532,0.1093,0,0.0000
37,3662,0.1134,3662,0.1134,0,0.0000
38,3793,0.1174,3793,0.1174,0,0.0000
39,3924,0.1215,3924,0.1215,0,0.0000
40,4054,0.1255,4054,0.1255,0,0.0000
41,4184,0.1295,4184,0.1295,0,0.0000
42,4315,0.1336,4315,0.1336,0,0.0000
43,4445,0.1376,4445,0.1376,0,0.0000
44,4576,0.1416,4576,0.1416,0,0.0000
45,4706,0.1457,4706,0.1457,0,0.0000
46,4836,0.1497,4836,0.1497,0,0.0000
47,4967,0.1537,4967,0.1537,0,0.0000
48,5097,0.1578,5097,0.1578,0,0.0000
49,5222,0.1616,5222,0.1616,0,0.0000
50,5347,0.1655,5347,0.1655,0,0.0000
