input,k_percent,adjustment_type,old_negative_density,adjustment,new_negative_density
128,50.0,Midtone correction,0.5,-0.015,0.485
10,96.1,Linear interpolation,0.091,-0.001,0.09
11,95.7,Linear interpolation,0.096,-0.001,0.095
12,95.3,Linear interpolation,0.101,-0.001,0.1
13,94.9,Linear interpolation,0.106,-0.001,0.105
36,85.9,Linear interpolation,0.186,-0.001,0.185
37,85.5,Linear interpolation,0.19,-0.001,0.189
51,80.0,Linear interpolation,0.23,0.001,0.231
83,67.5,Linear interpolation,0.34,0.002,0.341
84,67.1,Linear interpolation,0.343,0.002,0.345
85,66.7,Linear interpolation,0.346,0.002,0.349
86,66.3,Linear interpolation,0.35,0.002,0.353
87,65.9,Linear interpolation,0.355,0.001,0.356
98,61.6,Linear interpolation,0.399,-0.002,0.397
99,61.2,Linear interpolation,0.403,-0.002,0.401
100,60.8,Linear interpolation,0.407,-0.002,0.405
101,60.4,Linear interpolation,0.41,-0.002,0.409
102,60.0,Linear interpolation,0.414,-0.001,0.412
121,52.5,Linear interpolation,0.465,-0.001,0.463
122,52.2,Linear interpolation,0.469,-0.003,0.466
123,51.8,Linear interpolation,0.475,-0.005,0.469
124,51.4,Linear interpolation,0.48,-0.007,0.473
125,51.0,Linear interpolation,0.485,-0.009,0.476
126,50.6,Linear interpolation,0.49,-0.011,0.479
127,50.2,Linear interpolation,0.495,-0.013,0.482
129,49.4,Linear interpolation,0.507,-0.014,0.493
130,49.0,Linear interpolation,0.514,-0.013,0.501
131,48.6,Linear interpolation,0.521,-0.011,0.509
132,48.2,Linear interpolation,0.527,-0.009,0.518
133,47.8,Linear interpolation,0.532,-0.007,0.526
134,47.5,Linear interpolation,0.538,-0.004,0.534
135,47.1,Linear interpolation,0.544,-0.002,0.542
155,39.2,Linear interpolation,0.636,-0.001,0.635
178,30.2,Linear interpolation,0.751,0.002,0.752
179,29.8,Linear interpolation,0.756,0.002,0.759
180,29.4,Linear interpolation,0.762,0.003,0.765
181,29.0,Linear interpolation,0.768,0.003,0.771
182,28.6,Linear interpolation,0.775,0.003,0.778
183,28.2,Linear interpolation,0.782,0.002,0.784
194,23.9,Linear interpolation,0.854,-0.002,0.852
195,23.5,Linear interpolation,0.861,-0.002,0.859
196,23.1,Linear interpolation,0.867,-0.002,0.865
197,22.7,Linear interpolation,0.873,-0.002,0.871
198,22.4,Linear interpolation,0.879,-0.001,0.878
217,14.9,Linear interpolation,0.989,-0.001,0.988
218,14.5,Linear interpolation,0.997,-0.002,0.995
219,14.1,Linear interpolation,1.006,-0.003,1.003
220,13.7,Linear interpolation,1.014,-0.004,1.01
221,13.3,Linear interpolation,1.022,-0.004,1.018
222,12.9,Linear interpolation,1.029,-0.004,1.025
223,12.5,Linear interpolation,1.035,-0.002,1.032
225,11.8,Linear interpolation,1.044,0.001,1.045
226,11.4,Linear interpolation,1.047,0.003,1.05
227,11.0,Linear interpolation,1.051,0.004,1.055
228,10.6,Linear interpolation,1.054,0.006,1.06
229,10.2,Linear interpolation,1.059,0.006,1.065
230,9.8,Linear interpolation,1.064,0.006,1.07
231,9.4,Linear interpolation,1.071,0.004,1.075
233,8.6,Linear interpolation,1.089,0.002,1.091
234,8.2,Linear interpolation,1.1,0.003,1.103
235,7.8,Linear interpolation,1.111,0.003,1.114
236,7.5,Linear interpolation,1.123,0.002,1.125
237,7.1,Linear interpolation,1.135,0.001,1.136
241,5.5,Linear interpolation,1.18,-0.003,1.178
242,5.1,Linear interpolation,1.189,-0.004,1.185
243,4.7,Linear interpolation,1.197,-0.005,1.192
244,4.3,Linear interpolation,1.205,-0.005,1.2
245,3.9,Linear interpolation,1.212,-0.004,1.208
246,3.5,Linear interpolation,1.218,-0.003,1.215
247,3.1,Linear interpolation,1.224,-0.002,1.222
249,2.4,Linear interpolation,1.237,0.001,1.239
250,2.0,Linear interpolation,1.245,0.002,1.247
251,1.6,Linear interpolation,1.252,0.003,1.256
252,1.2,Linear interpolation,1.26,0.004,1.264
253,0.8,Linear interpolation,1.269,0.004,1.273
254,0.4,Linear interpolation,1.279,0.002,1.281
233,8.6,White extension,1.091,0.0,1.092
234,8.2,White extension,1.103,0.001,1.103
235,7.8,White extension,1.114,0.001,1.115
236,7.5,White extension,1.125,0.002,1.127
237,7.1,White extension,1.136,0.002,1.139
238,6.7,White extension,1.148,0.003,1.15
239,6.3,White extension,1.159,0.003,1.162
240,5.9,White extension,1.17,0.004,1.174
241,5.5,White extension,1.178,0.008,1.186
242,5.1,White extension,1.185,0.012,1.197
243,4.7,White extension,1.192,0.017,1.209
244,4.3,White extension,1.2,0.021,1.221
245,3.9,White extension,1.208,0.025,1.233
246,3.5,White extension,1.215,0.029,1.244
247,3.1,White extension,1.222,0.034,1.256
248,2.7,White extension,1.23,0.038,1.268
249,2.4,White extension,1.239,0.041,1.28
250,2.0,White extension,1.247,0.044,1.291
251,1.6,White extension,1.256,0.047,1.303
252,1.2,White extension,1.264,0.05,1.315
253,0.8,White extension,1.273,0.054,1.327
254,0.4,White extension,1.281,0.057,1.338
255,0.0,White extension,1.29,0.06,1.35
