input,target_density,selected_quad,selected_density,version,source_input,error
0,0.0700,0,0.0935,v21,0,0.0235
8,0.1000,227,0.1000,v21,8,0.0000
16,0.1300,1314,0.1313,v21,13,0.0013
24,0.1500,1966,0.1500,v21,16,0.0000
32,0.1800,3010,0.1800,v21,24,0.0000
40,0.2100,4054,0.2100,v21,36,0.0000
48,0.2400,5097,0.2400,v21,44,0.0000
56,0.2700,6098,0.2688,v21,50,-0.0012
64,0.3000,7149,0.2990,v21,57,-0.0010
72,0.3200,7840,0.3188,v21,62,-0.0012
80,0.3500,8909,0.3496,v21,70,-0.0004
88,0.3900,10384,0.3920,v21,81,0.0020
96,0.4200,11384,0.4207,v21,88,0.0007
104,0.4600,12664,0.4575,v21,96,-0.0025
112,0.4900,13773,0.4894,v21,102,-0.0006
120,0.5200,14795,0.5188,v21,107,-0.0012
128,0.5500,15882,0.5500,v21,112,-0.0000
136,0.6000,17683,0.6018,v21,121,0.0018
144,0.6300,18625,0.6288,v21,126,-0.0012
152,0.6600,19716,0.6602,v21,132,0.0002
160,0.7000,21112,0.7003,v21,140,0.0003
168,0.7400,22459,0.7390,v21,148,-0.0010
176,0.7800,23927,0.7812,v21,157,0.0012
184,0.8300,25654,0.8309,v21,168,0.0009
192,0.8700,27000,0.8696,v21,177,-0.0004
200,0.9100,28444,0.9111,v21,187,0.0011
208,0.9500,29790,0.9498,v21,195,-0.0002
216,1.0000,31560,1.0006,v21,203,0.0006
224,1.0600,33583,1.0588,v21,219,-0.0012
232,1.1200,35756,1.1212,v22,227,0.0012
240,1.1600,37134,1.1608,v22,240,0.0008
248,1.2300,38496,1.2000,v23,248,-0.0300
255,1.3500,41627,1.2900,v21,255,-0.0600
