Input,SP1v7_Predicted,SP1v7_Measured,SP1v7_Error,SP1v9_Predicted,SP1v9_Change
0.0,0.0,0.07,0.07,0.0,0.0
8.0,0.013855,0.08,0.06614500000000001,0.013855,0.0
16.0,0.080201,0.11,0.029799000000000006,0.13019,0.049989000000000006
24.0,0.119997,0.14,0.020003000000000007,0.173526,0.05352900000000001
32.0,0.183719,0.17,-0.013718999999999981,0.240848,0.05712900000000001
40.0,0.24744,0.2,-0.04743999999999998,0.30811,0.06067
48.0,0.311101,0.23,-0.081101,0.375372,0.06427099999999997
56.0,0.372198,0.25,-0.12219799999999997,0.440009,0.06781100000000001
64.0,0.436347,0.28,-0.15634699999999996,0.507759,0.07141199999999998
72.0,0.478523,0.3,-0.178523,0.553475,0.07495200000000007
80.0,0.543771,0.33,-0.213771,0.622324,0.07855299999999998
88.0,0.633799,0.37,-0.263799,0.715892,0.08209299999999997
96.0,0.694835,0.4,-0.29483499999999996,0.780529,0.08569400000000005
104.0,0.772961,0.44,-0.332961,0.862196,0.08923499999999995
112.0,0.84065,0.47,-0.37065000000000003,0.933486,0.09283600000000003
120.0,0.903029,0.5,-0.40302899999999997,0.999405,0.09637600000000002
128.0,0.969375,0.53,-0.43937499999999996,0.919326,-0.05004900000000001
136.0,1.079301,0.58,-0.4993010000000001,1.030655,-0.04864599999999997
144.0,1.136797,0.62,-0.5167970000000001,1.089555,-0.047242000000000006
152.0,1.203388,0.66,-0.5433879999999999,1.157488,-0.04589999999999983
160.0,1.288594,0.7,-0.5885940000000001,1.244099,-0.04449499999999995
168.0,1.370809,0.74,-0.630809,1.327657,-0.04315199999999986
176.0,1.46041,0.78,-0.68041,1.418662,-0.041747999999999896
184.0,1.56582,0.82,-0.74582,1.525475,-0.040345000000000075
192.0,1.63772,0.87,-0.7677200000000001,1.598718,-0.03900199999999998
200.0,1.725124,0.92,-0.8051240000000001,1.687526,-0.03759800000000002
208.0,1.808011,0.96,-0.8480110000000001,1.771756,-0.036254999999999926
216.0,1.91281,1.0,-0.9128099999999999,1.877958,-0.03485199999999988
224.0,2.049775,1.07,-0.9797749999999998,2.016266,-0.03350900000000001
232.0,2.182406,1.12,-1.0624059999999997,2.150301,-0.03210500000000005
240.0,2.256016,1.17,-1.0860159999999999,2.225315,-0.030700999999999645
248.0,2.349645,1.21,-1.1396450000000002,2.349645,0.0
255.0,3.411368,1.69,-1.721368,3.411368,0.0
