input,v9_density,v7_density,v9_ink,v7_ink,density_change,ink_change
0,0.07,0.07,0.0,0.0,0.0,0.0
8,0.08,0.08,0.009999999999999995,0.009999999999999995,0.0,0.0
16,0.14,0.11,0.07,0.039999999999999994,0.030000000000000013,0.030000000000000013
24,0.16,0.14,0.09,0.07,0.01999999999999999,0.01999999999999999
32,0.19,0.17,0.12,0.1,0.01999999999999999,0.01999999999999999
40,0.22,0.2,0.15,0.13,0.01999999999999999,0.01999999999999999
48,0.25,0.23,0.18,0.16,0.01999999999999999,0.01999999999999999
56,0.28,0.25,0.21000000000000002,0.18,0.030000000000000027,0.030000000000000027
64,0.31,0.28,0.24,0.21000000000000002,0.02999999999999997,0.02999999999999997
72,0.33,0.3,0.26,0.22999999999999998,0.030000000000000027,0.030000000000000027
80,0.37,0.33,0.3,0.26,0.03999999999999998,0.03999999999999998
88,0.41,0.37,0.33999999999999997,0.3,0.03999999999999998,0.03999999999999998
96,0.45,0.4,0.38,0.33,0.04999999999999999,0.04999999999999999
104,0.51,0.44,0.44,0.37,0.07,0.07
112,0.52,0.47,0.45,0.39999999999999997,0.050000000000000044,0.050000000000000044
120,0.56,0.5,0.49000000000000005,0.43,0.06000000000000005,0.06000000000000005
128,0.52,0.53,0.45,0.46,-0.010000000000000009,-0.010000000000000009
136,0.57,0.58,0.49999999999999994,0.51,-0.010000000000000009,-0.010000000000000064
144,0.61,0.62,0.54,0.55,-0.010000000000000009,-0.010000000000000009
152,0.63,0.66,0.56,0.5900000000000001,-0.030000000000000027,-0.030000000000000027
160,0.68,0.7,0.6100000000000001,0.6299999999999999,-0.019999999999999907,-0.019999999999999796
168,0.73,0.74,0.6599999999999999,0.6699999999999999,-0.010000000000000009,-0.010000000000000009
176,0.77,0.78,0.7,0.71,-0.010000000000000009,-0.010000000000000009
184,0.82,0.82,0.75,0.75,0.0,0.0
192,0.87,0.87,0.8,0.8,0.0,0.0
200,0.91,0.92,0.8400000000000001,0.8500000000000001,-0.010000000000000009,-0.010000000000000009
208,0.95,0.96,0.8799999999999999,0.8899999999999999,-0.010000000000000009,-0.010000000000000009
216,1.01,1.0,0.94,0.9299999999999999,0.010000000000000009,0.010000000000000009
224,1.08,1.07,1.01,1.0,0.010000000000000009,0.010000000000000009
232,1.12,1.12,1.05,1.05,0.0,0.0
240,1.17,1.17,1.0999999999999999,1.0999999999999999,0.0,0.0
248,1.23,1.21,1.16,1.14,0.020000000000000018,0.020000000000000018
255,1.73,1.69,1.66,1.6199999999999999,0.040000000000000036,0.040000000000000036
