input,k_value,notes
0,0,シャドウ
1,172,
2,345,
3,518,
4,691,
5,864,
6,1037,
7,1209,
8,1382,
9,1555,
10,1728,
11,1901,
12,2074,
13,2246,
14,2419,
15,2592,
16,2765,
17,2938,
18,3111,
19,3283,
20,3456,
21,3629,
22,3802,
23,3975,
24,4148,基準点 (Input 32のK値)
25,4272,
26,4397,
27,4521,
28,4646,
29,4771,
30,4895,
31,5020,
32,5145,
33,5269,
34,5394,
35,5518,
36,5643,
37,5768,
38,5892,
39,6017,
40,6142,
41,6266,
42,6391,
43,6515,
44,6640,
45,6765,
46,6889,
47,7014,
48,7139,
49,7263,
50,7388,
51,7512,
52,7637,
53,7762,
54,7886,
55,8011,
56,8136,
57,8260,
58,8385,
59,8509,
60,8634,
61,8759,
62,8883,
63,9008,
64,9133,
65,9257,
66,9382,
67,9506,
68,9631,
69,9756,
70,9880,
71,10005,
72,10130,
73,10254,
74,10379,
75,10503,
76,10628,
77,10753,
78,10877,
79,11002,
80,11127,
81,11251,
82,11376,
83,11500,
84,11625,
85,11750,
86,11874,
87,11999,
88,12124,
89,12248,
90,12373,
91,12497,
92,12622,
93,12747,
94,12871,
95,12996,
96,13121,
97,13245,
98,13370,
99,13494,
100,13619,
101,13744,
102,13868,
103,13993,
104,14118,
105,14242,
106,14367,
107,14491,
108,14616,
109,14741,
110,14865,
111,14990,
112,15115,
113,15239,
114,15364,
115,15488,
116,15613,
117,15738,
118,15862,
119,15987,
120,16112,
121,16236,
122,16361,
123,16485,
124,16610,
125,16735,
126,16859,
127,16984,
128,17109,
129,17233,
130,17358,
131,17482,
132,17607,
133,17732,
134,17856,
135,17981,
136,18106,
137,18230,
138,18355,
139,18479,
140,18604,
141,18729,
142,18853,
143,18978,
144,19103,
145,19227,
146,19352,
147,19476,
148,19601,
149,19726,
150,19850,
151,19975,
152,20100,
153,20224,
154,20349,
155,20473,
156,20598,
157,20723,
158,20847,
159,20972,
160,21097,
161,21221,
162,21346,
163,21470,
164,21595,
165,21720,
166,21844,
167,21969,
168,22094,
169,22218,
170,22343,
171,22467,
172,22592,
173,22717,
174,22841,
175,22966,
176,23091,
177,23215,
178,23340,
179,23464,
180,23589,
181,23714,
182,23838,
183,23963,
184,24088,
185,24212,
186,24337,
187,24461,
188,24586,
189,24711,
190,24835,
191,24960,
192,25085,
193,25209,
194,25334,
195,25458,
196,25583,
197,25708,
198,25832,
199,25957,
200,26082,
201,26206,
202,26331,
203,26455,
204,26580,
205,26705,
206,26829,
207,26954,
208,27079,
209,27203,
210,27328,
211,27452,
212,27577,
213,27702,
214,27826,
215,27951,
216,28076,
217,28200,
218,28325,
219,28449,
220,28574,
221,28699,
222,28823,
223,28948,
224,29073,
225,29197,
226,29322,
227,29446,
228,29571,
229,29696,
230,29820,
231,29945,
232,30070,ハイライト圧縮開始
233,30340,
234,30610,
235,30880,
236,31150,
237,31375,
238,31600,
239,31825,
240,32050,
241,32275,
242,32500,
243,32725,
244,32950,
245,33175,
246,33400,
247,33625,
248,33850,
249,34075,
250,34300,
251,34525,
252,34750,
253,35285,
254,35821,
255,36356,最大濃度
