input,k_value,gradient,density_est
231,29940,129,0.986
232,30070,130,0.990
233,30340,270,0.998
234,30610,270,1.006
235,30880,270,1.014
236,31150,270,1.022
237,31375,225,1.029
238,31600,225,1.036
239,31825,225,1.043
240,32050,225,1.050
241,32275,225,1.057
242,32500,225,1.063
243,32725,225,1.070
244,32950,225,1.077
245,33175,225,1.084
246,33400,225,1.091
247,33625,225,1.097
248,33850,225,1.104
249,34075,225,1.111
250,34300,225,1.118
251,34525,225,1.125
252,34750,225,1.131
253,35285,535,1.148
254,35821,536,1.164
255,36356,535,1.180
