input,v25_k_value,v25_negative_density,v25_print_density
0,0,0.08,
8,873,0.1,
16,2320,0.14,
24,3214,0.17,
32,3642,0.18,
40,5096,0.22,
48,5805,0.24,
56,6290,0.26,
64,7148,0.28,
72,8529,0.32,
80,9442,0.35,
88,10199,0.37,
96,10784,0.39,
104,11510,0.41,
112,12439,0.44,
120,13295,0.46,
128,13845,0.48,
136,14344,0.49,
144,14970,0.52,
152,15675,0.53,
160,16449,0.56,
168,17125,0.58,
176,18181,0.61,
184,18933,0.63,
192,19858,0.67,
200,20619,0.69,
208,22050,0.73,
216,23854,0.78,
224,25853,0.84,
232,29163,0.93,
240,33922,1.08,
248,35613,1.13,
255,38495,1.21,
