input,k_value,lk_value,llk_value,total_density,negative_density,print_density
0,0,0,0,0,0.08,
8,873,0,0,873,0.11,
16,2320,0,0,2320,0.15,
24,3214,0,0,3214,0.18,
32,4000,0,0,4000,0.2,
40,5096,0,0,5096,0.22,
48,3483,4975,3870,5804.8,0.25,
56,3885,5550,4317,6475.1,0.27,
60,4053,5790,4505,6754.1,,
64,4289,6126,4765,7147.9,0.31,
72,4747,6781,5274,7911.5,0.33,
80,5665,8093,6294,9441.6,0.38,
88,6119,8742,6799,10198.6,0.4,
96,6470,9243,7189,10783.4,0.44,
104,9208,4932,3836,11509.6,0.42,
112,9951,5331,4146,12438.8,0.45,
120,10636,5697,4431,13294.6,0.48,
128,11076,5933,4615,13843.8,0.5,
136,11475,6148,4781,14342.6,0.49,
144,11976,6415,4990,14969.8,0.53,
152,12540,6717,5223,15674,0.55,
160,13159,7049,5484,16447.7,0.57,
168,13700,7339,5708,17124.8,0.59,
176,14545,7791,6060,18180.4,0.62,
184,15146,8114,6311,18932.7,0.64,
192,15886,8510,6619,19857.3,0.69,
200,16495,8837,6874,20619.1,0.69,
208,17640,9451,7349,22050.3,0.73,
216,19083,10223,7951,23853.7,0.79,
224,20682,11079,8617,25852.2,0.84,
232,22086,11832,9202,27607.5,0.88,
240,24896,13337,10373,31119.9,1,
248,27705,14842,11544,34631.3,1.1,
255,29952,16046,12480,37440.1,1.18,
