input,k_value,negative_density（実測）,print_density,,negative_density（予想）
0,0,0.07,,,0.08
8,873,0.1,,,0.11
16,2320,0.14,,,0.15
24,3214,0.17,,,0.18
32,4000,0.19,,,0.2
40,5096,0.24,,,0.22
48,5805,0.26,,,0.25
56,6644,0.27,,,0.275
60,6879,,,,0.282
64,7148,0.28,,,0.29
72,7912,0.3,,,0.33
80,9442,0.34,,,0.38
88,10199,0.36,,,0.4
96,10784,0.38,,,0.44
104,11510,0.4,,,0.42
112,12439,0.43,,,0.45
120,13295,0.46,,,0.48
128,13845,0.47,,,0.5
136,14344,0.48,,,0.49
144,14970,0.5,,,0.53
152,15675,0.53,,,0.55
160,16449,0.55,,,0.57
168,17125,0.57,,,0.59
176,18181,0.59,,,0.62
184,18933,0.61,,,0.64
192,19858,0.65,,,0.69
200,20619,0.68,,,0.69
208,22050,0.72,,,0.73
216,23854,0.78,,,0.79
224,25853,0.83,,,0.84
232,27608,0.88,,,0.88
240,31120,0.9,,,1
248,34632,1.1,,,1.1
255,37441,1.18,,,1.18
