input,k_value,negative_density（実測）,print_density,,negative_density（理論）
0,0,,,,0.08
8,1037,,,,0.11
16,2074,,,,0.14
24,3111,,,,0.16
32,4148,,,,0.18
40,5185,,,,0.21
48,6222,,,,0.24
56,7259,,,,0.26
64,8295,,,,0.28
72,9332,,,,0.31
80,10369,,,,0.33
88,11406,,,,0.37
96,12443,,,,0.4
104,13480,,,,0.43
112,14517,,,,0.45
120,15554,,,,0.48
128,16590,,,,0.52
136,17627,,,,0.55
144,18664,,,,0.59
152,19701,,,,0.62
160,20738,,,,0.65
168,21775,,,,0.69
176,22812,,,,0.73
184,23848,,,,0.78
192,24885,,,,0.81
200,25922,,,,0.85
208,26959,,,,0.89
216,27996,,,,0.94
224,29033,,,,0.99
232,30070,,,,1.02
240,31107,,,,1.05
248,32144,,,,1.08
255,33051,,,,1.08
