input,negative_density,print_density,
0,0.08,2.21,
8,0.08,2.19,
16,0.14,2.09,
24,0.17,2.08,
32,0.19,2.11,
40,0.2,2.08,
48,0.24,2.07,
56,0.28,2.01,
64,0.31,1.93,
72,0.34,1.88,
80,0.38,1.82,
88,0.4,1.77,
96,0.45,1.75,
104,0.5,1.68,
112,0.55,1.56,
120,0.6,1.5,
128,0.65,1.41,
136,0.68,1.39,
144,0.73,1.36,
152,0.78,1.34,
160,0.81,1.25,
168,0.85,1.24,
176,0.88,1.21,
184,0.9,1.2,
192,0.97,1.16,
200,1.02,1.15,
208,1.07,1.1,
216,1.09,1.1,M
224,1.13,1.08,
232,1.14,1.08,
240,1.2,1.09,
248,1.23,1.09,
255,1.27,1.09,
