input,negative_density,print_density
0,0.08,2.11
8,0.09,2.08
16,0.1,2.04
24,0.12,2.03
32,0.13,1.99
40,0.14,1.96
48,0.15,1.96
56,0.18,1.97
64,0.2,1.87
72,0.22,1.81
80,0.26,1.75
88,0.29,1.67
96,0.34,1.66
104,0.39,1.58
112,0.46,1.48
120,0.56,1.37
128,0.59,1.3
136,0.62,1.26
144,0.64,1.26
152,0.67,1.23
160,0.69,1.22
168,0.72,1.18
176,0.74,1.14
184,0.76,1.15
192,0.78,1.16
200,0.82,1.14
208,0.86,1.13
216,0.92,1.11
224,0.98,1.05
232,1.07,1.08
240,1.18,1.08
248,1.43,1.08
255,1.51,1.08
