input,negative_density,print_density
0,0.07,1.99
8,0.09,1.95
16,0.1,1.93
24,0.11,1.92
32,0.13,1.89
40,0.15,1.88
48,0.17,1.87
56,0.18,1.9
64,0.2,1.84
72,0.23,1.76
80,0.25,1.75
88,0.27,1.7
96,0.28,1.71
104,0.31,1.67
112,0.33,1.65
120,0.35,1.61
128,0.38,1.59
136,0.41,1.56
144,0.45,1.5
152,0.48,1.48
160,0.52,1.43
168,0.57,1.4
176,0.62,1.36
184,0.68,1.35
192,0.7,1.25
200,0.81,1.23
208,0.89,1.2
216,0.98,1.15
224,1.08,1.11
232,1.18,1.1
240,1.27,1.09
248,1.46,1.09
255,1.56,1.09
