curve_name,input_value,k_value,negative_density_transmission,print_density_reflection_6_75min
v14,0,0,0.08,
v14,8,1383,0.12,
v14,16,2765,0.16,
v14,24,4148,0.2,
v14,32,5068,0.23,
v14,40,5988,0.26,
v14,48,6908,0.28,
v14,56,7828,0.31,
v14,64,8748,0.34,
v14,72,9668,0.36,
v14,80,10588,0.39,
v14,88,11508,0.43,
v14,96,12428,0.45,
v14,104,13348,0.48,
v14,112,14268,0.5,
v14,120,15188,0.53,
v14,128,16108,0.56,
v14,136,17028,0.6,
v14,144,17948,0.62,
v14,152,18868,0.65,
v14,160,19788,0.68,
v14,168,20708,0.71,
v14,176,21628,0.74,
v14,184,22548,0.77,
v14,192,23468,0.79,
v14,200,24388,0.82,
v14,208,25308,0.85,
v14,216,26228,0.87,
v14,224,27148,0.9,
v14,232,28068,0.94,
v14,240,29400,0.97,
v14,248,31900,1.05,
v14,255,33800,1.11,
