Input,K,GY,Total,K_percent,GY_percent
0,0,0,0,0.00,0.00
1,50,175,225,22.22,77.78
2,100,350,450,22.22,77.78
3,150,525,675,22.22,77.78
4,200,700,900,22.22,77.78
5,250,875,1125,22.22,77.78
6,300,1050,1350,22.22,77.78
7,350,1225,1575,22.22,77.78
8,400,1400,1800,22.22,77.78
9,450,1575,2025,22.22,77.78
10,500,1750,2250,22.22,77.78
11,550,1925,2475,22.22,77.78
12,600,2100,2700,22.22,77.78
13,650,2275,2925,22.22,77.78
14,700,2450,3150,22.22,77.78
15,750,2625,3375,22.22,77.78
16,800,2800,3600,22.22,77.78
17,850,2975,3825,22.22,77.78
18,900,3150,4050,22.22,77.78
19,950,3325,4275,22.22,77.78
20,1000,3500,4500,22.22,77.78
21,1050,3675,4725,22.22,77.78
22,1100,3850,4950,22.22,77.78
23,1150,4025,5175,22.22,77.78
24,1200,4200,5400,22.22,77.78
25,1250,4315,5565,22.46,77.54
26,1300,4430,5730,22.69,77.31
27,1350,4545,5895,22.90,77.10
28,1400,4660,6060,23.10,76.90
29,1450,4775,6225,23.29,76.71
30,1500,4890,6390,23.47,76.53
31,1550,5005,6555,23.65,76.35
32,1600,5120,6720,23.81,76.19
33,1650,5235,6885,23.97,76.03
34,1700,5350,7050,24.11,75.89
35,1750,5465,7215,24.26,75.74
36,1800,5580,7380,24.39,75.61
37,1850,5695,7545,24.52,75.48
38,1900,5810,7710,24.64,75.36
39,1950,5925,7875,24.76,75.24
40,2000,6040,8040,24.88,75.12
41,2050,6155,8205,24.98,75.02
42,2100,6270,8370,25.09,74.91
43,2150,6385,8535,25.19,74.81
44,2200,6500,8700,25.29,74.71
45,2250,6615,8865,25.38,74.62
46,2300,6730,9030,25.47,74.53
47,2350,6845,9195,25.56,74.44
48,2400,6960,9360,25.64,74.36
49,2450,7075,9525,25.72,74.28
50,2500,7190,9690,25.80,74.20
51,2550,7305,9855,25.88,74.12
52,2600,7420,10020,25.95,74.05
53,2650,7535,10185,26.02,73.98
54,2700,7650,10350,26.09,73.91
55,2750,7765,10515,26.15,73.85
56,2800,7880,10680,26.22,73.78
57,2850,7995,10845,26.28,73.72
58,2900,8110,11010,26.34,73.66
59,2950,8225,11175,26.40,73.60
60,3000,8340,11340,26.46,73.54
61,3050,8455,11505,26.51,73.49
62,3100,8570,11670,26.56,73.44
63,3150,8685,11835,26.62,73.38
64,3200,8800,12000,26.67,73.33
65,3250,8915,12165,26.72,73.28
66,3300,9030,12330,26.76,73.24
67,3350,9145,12495,26.81,73.19
68,3400,9260,12660,26.86,73.14
69,3450,9375,12825,26.90,73.10
70,3500,9490,12990,26.94,73.06
71,3550,9605,13155,26.99,73.01
72,3600,9720,13320,27.03,72.97
73,3650,9835,13485,27.07,72.93
74,3700,9950,13650,27.11,72.89
75,3750,10065,13815,27.14,72.86
76,3800,10180,13980,27.18,72.82
77,3850,10295,14145,27.22,72.78
78,3900,10410,14310,27.25,72.75
79,3950,10525,14475,27.29,72.71
80,4000,10640,14640,27.32,72.68
81,4050,10755,14805,27.36,72.64
82,4100,10870,14970,27.39,72.61
83,4150,10985,15135,27.42,72.58
84,4200,11100,15300,27.45,72.55
85,4250,11215,15465,27.48,72.52
86,4300,11330,15630,27.51,72.49
87,4350,11445,15795,27.54,72.46
88,4400,11560,15960,27.57,72.43
89,4450,11675,16125,27.60,72.40
90,4500,11790,16290,27.62,72.38
91,4550,11905,16455,27.65,72.35
92,4600,12020,16620,27.68,72.32
93,4650,12135,16785,27.70,72.30
94,4700,12250,16950,27.73,72.27
95,4750,12365,17115,27.75,72.25
96,4800,12480,17280,27.78,72.22
97,4850,12595,17445,27.80,72.20
98,4900,12710,17610,27.83,72.17
99,4950,12825,17775,27.85,72.15
100,5000,12940,17940,27.87,72.13
101,5050,13055,18105,27.89,72.11
102,5100,13170,18270,27.91,72.09
103,5150,13285,18435,27.94,72.06
104,5200,13400,18600,27.96,72.04
105,5250,13515,18765,27.98,72.02
106,5300,13630,18930,28.00,72.00
107,5350,13745,19095,28.02,71.98
108,5400,13860,19260,28.04,71.96
109,5450,13975,19425,28.06,71.94
110,5500,14090,19590,28.08,71.92
111,5550,14205,19755,28.09,71.91
112,5600,14320,19920,28.11,71.89
113,5650,14435,20085,28.13,71.87
114,5700,14550,20250,28.15,71.85
115,5750,14665,20415,28.17,71.83
116,5800,14780,20580,28.18,71.82
117,5850,14895,20745,28.20,71.80
118,5900,15010,20910,28.22,71.78
119,5950,15125,21075,28.23,71.77
120,6000,15240,21240,28.25,71.75
121,6050,15355,21405,28.26,71.74
122,6100,15470,21570,28.28,71.72
123,6150,15585,21735,28.30,71.70
124,6200,15700,21900,28.31,71.69
125,6250,15815,22065,28.33,71.67
126,6300,15930,22230,28.34,71.66
127,6350,16045,22395,28.35,71.65
128,6400,16160,22560,28.37,71.63
129,6450,16275,22725,28.38,71.62
130,6500,16390,22890,28.40,71.60
131,6550,16505,23055,28.41,71.59
132,6600,16620,23220,28.42,71.58
133,6650,16735,23385,28.44,71.56
134,6700,16850,23550,28.45,71.55
135,6750,16965,23715,28.46,71.54
136,6800,17080,23880,28.48,71.52
137,6850,17195,24045,28.49,71.51
138,6900,17310,24210,28.50,71.50
139,6950,17425,24375,28.51,71.49
140,7000,17540,24540,28.52,71.48
141,7050,17655,24705,28.54,71.46
142,7100,17770,24870,28.55,71.45
143,7150,17885,25035,28.56,71.44
144,7200,18000,25200,28.57,71.43
145,7250,18115,25365,28.58,71.42
146,7300,18230,25530,28.59,71.41
147,7350,18345,25695,28.60,71.40
148,7400,18460,25860,28.62,71.38
149,7450,18575,26025,28.63,71.37
150,7500,18690,26190,28.64,71.36
151,7550,18805,26355,28.65,71.35
152,7600,18920,26520,28.66,71.34
153,7650,19035,26685,28.67,71.33
154,7700,19150,26850,28.68,71.32
155,7750,19265,27015,28.69,71.31
156,7800,19380,27180,28.70,71.30
157,7850,19495,27345,28.71,71.29
158,7900,19610,27510,28.72,71.28
159,7950,19725,27675,28.73,71.27
160,8000,19840,27840,28.74,71.26
161,8050,19955,28005,28.74,71.26
162,8100,20070,28170,28.75,71.25
163,8150,20185,28335,28.76,71.24
164,8200,20300,28500,28.77,71.23
165,8250,20415,28665,28.78,71.22
166,8300,20530,28830,28.79,71.21
167,8350,20645,28995,28.80,71.20
168,8400,20760,29160,28.81,71.19
169,8450,20875,29325,28.82,71.18
170,8500,20990,29490,28.82,71.18
171,8550,21105,29655,28.83,71.17
172,8600,21220,29820,28.84,71.16
173,8650,21335,29985,28.85,71.15
174,8700,21450,30150,28.86,71.14
175,8750,21565,30315,28.86,71.14
176,8800,21680,30480,28.87,71.13
177,8850,21795,30645,28.88,71.12
178,8900,21910,30810,28.89,71.11
179,8950,22025,30975,28.89,71.11
180,9000,22140,31140,28.90,71.10
181,9050,22255,31305,28.91,71.09
182,9100,22370,31470,28.92,71.08
183,9150,22485,31635,28.92,71.08
184,9200,22600,31800,28.93,71.07
185,9250,22715,31965,28.94,71.06
186,9300,22830,32130,28.94,71.06
187,9350,22945,32295,28.95,71.05
188,9400,23060,32460,28.96,71.04
189,9450,23175,32625,28.97,71.03
190,9500,23290,32790,28.97,71.03
191,9550,23405,32955,28.98,71.02
192,9600,23520,33120,28.99,71.01
193,9650,23635,33285,28.99,71.01
194,9700,23750,33450,29.00,71.00
195,9750,23865,33615,29.00,71.00
196,9800,23980,33780,29.01,70.99
