Input,K,GY,LGY,Total,K_percent,GY_percent,LGY_percent
0,0,0,0,0,0.00,0.00,0.00
1,40,175,10,225,17.78,77.78,4.44
2,80,350,20,450,17.78,77.78,4.44
3,120,525,30,675,17.78,77.78,4.44
4,160,700,40,900,17.78,77.78,4.44
5,200,875,50,1125,17.78,77.78,4.44
6,240,1050,60,1350,17.78,77.78,4.44
7,280,1225,70,1575,17.78,77.78,4.44
8,320,1400,80,1800,17.78,77.78,4.44
9,360,1575,90,2025,17.78,77.78,4.44
10,400,1750,100,2250,17.78,77.78,4.44
11,440,1925,110,2475,17.78,77.78,4.44
12,480,2100,120,2700,17.78,77.78,4.44
13,520,2275,130,2925,17.78,77.78,4.44
14,560,2450,140,3150,17.78,77.78,4.44
15,600,2625,150,3375,17.78,77.78,4.44
16,640,2800,160,3600,17.78,77.78,4.44
17,680,2975,170,3825,17.78,77.78,4.44
18,720,3150,180,4050,17.78,77.78,4.44
19,760,3325,190,4275,17.78,77.78,4.44
20,800,3500,200,4500,17.78,77.78,4.44
21,840,3675,210,4725,17.78,77.78,4.44
22,880,3850,220,4950,17.78,77.78,4.44
23,920,4025,230,5175,17.78,77.78,4.44
24,960,4200,240,5400,17.78,77.78,4.44
25,1000,4315,250,5565,17.97,77.54,4.49
26,1040,4430,260,5730,18.15,77.31,4.54
27,1080,4545,270,5895,18.32,77.10,4.58
28,1120,4660,280,6060,18.48,76.90,4.62
29,1160,4775,290,6225,18.63,76.71,4.66
30,1200,4890,300,6390,18.78,76.53,4.69
31,1240,5005,310,6555,18.92,76.35,4.73
32,1280,5120,320,6720,19.05,76.19,4.76
33,1320,5235,330,6885,19.17,76.03,4.79
34,1360,5350,340,7050,19.29,75.89,4.82
35,1400,5465,350,7215,19.40,75.74,4.85
36,1440,5580,360,7380,19.51,75.61,4.88
37,1480,5695,370,7545,19.62,75.48,4.90
38,1520,5810,380,7710,19.71,75.36,4.93
39,1560,5925,390,7875,19.81,75.24,4.95
40,1600,6040,400,8040,19.90,75.12,4.98
41,1640,6155,410,8205,19.99,75.02,5.00
42,1680,6270,420,8370,20.07,74.91,5.02
43,1720,6385,430,8535,20.15,74.81,5.04
44,1760,6500,440,8700,20.23,74.71,5.06
45,1800,6615,450,8865,20.30,74.62,5.08
46,1840,6730,460,9030,20.38,74.53,5.09
47,1880,6845,470,9195,20.45,74.44,5.11
48,1920,6960,480,9360,20.51,74.36,5.13
49,1960,7075,490,9525,20.58,74.28,5.14
50,2000,7190,500,9690,20.64,74.20,5.16
51,2040,7305,510,9855,20.70,74.12,5.18
52,2080,7420,520,10020,20.76,74.05,5.19
53,2120,7535,530,10185,20.81,73.98,5.20
54,2160,7650,540,10350,20.87,73.91,5.22
55,2200,7765,550,10515,20.92,73.85,5.23
56,2240,7880,560,10680,20.97,73.78,5.24
57,2280,7995,570,10845,21.02,73.72,5.26
58,2320,8110,580,11010,21.07,73.66,5.27
59,2360,8225,590,11175,21.12,73.60,5.28
60,2400,8340,600,11340,21.16,73.54,5.29
61,2440,8455,610,11505,21.21,73.49,5.30
62,2480,8570,620,11670,21.25,73.44,5.31
63,2520,8685,630,11835,21.29,73.38,5.32
64,2560,8800,640,12000,21.33,73.33,5.33
65,2600,8915,650,12165,21.37,73.28,5.34
66,2640,9030,660,12330,21.41,73.24,5.35
67,2680,9145,670,12495,21.45,73.19,5.36
68,2720,9260,680,12660,21.48,73.14,5.37
69,2760,9375,690,12825,21.52,73.10,5.38
70,2800,9490,700,12990,21.56,73.06,5.39
71,2840,9605,710,13155,21.59,73.01,5.40
72,2880,9720,720,13320,21.62,72.97,5.41
73,2920,9835,730,13485,21.65,72.93,5.41
74,2960,9950,740,13650,21.68,72.89,5.42
75,3000,10065,750,13815,21.72,72.86,5.43
76,3040,10180,760,13980,21.75,72.82,5.44
77,3080,10295,770,14145,21.77,72.78,5.44
78,3120,10410,780,14310,21.80,72.75,5.45
79,3160,10525,790,14475,21.83,72.71,5.46
80,3200,10640,800,14640,21.86,72.68,5.46
81,3240,10755,810,14805,21.88,72.64,5.47
82,3280,10870,820,14970,21.91,72.61,5.48
83,3320,10985,830,15135,21.94,72.58,5.48
84,3360,11100,840,15300,21.96,72.55,5.49
85,3400,11215,850,15465,21.99,72.52,5.50
86,3440,11330,860,15630,22.01,72.49,5.50
87,3480,11445,870,15795,22.03,72.46,5.51
88,3520,11560,880,15960,22.06,72.43,5.51
89,3560,11675,890,16125,22.08,72.40,5.52
90,3600,11790,900,16290,22.10,72.38,5.52
