Input,K_value,Diff_from_prev,Zone
0,0,0,Shadow (Zone 1)
1,173,173,Shadow (Zone 1)
2,346,173,Shadow (Zone 1)
3,518,172,Shadow (Zone 1)
4,691,173,Shadow (Zone 1)
5,864,173,Shadow (Zone 1)
6,1037,173,Shadow (Zone 1)
7,1210,173,Shadow (Zone 1)
8,1383,173,Shadow (Zone 1)
9,1556,173,Shadow (Zone 1)
10,1728,172,Shadow (Zone 1)
11,1901,173,Shadow (Zone 1)
12,2074,173,Shadow (Zone 1)
13,2247,173,Shadow (Zone 1)
14,2420,173,Shadow (Zone 1)
15,2592,172,Shadow (Zone 1)
16,2765,173,Shadow (Zone 1)
17,2938,173,Shadow (Zone 1)
18,3111,173,Shadow (Zone 1)
19,3284,173,Shadow (Zone 1)
20,3457,173,Shadow (Zone 1)
21,3630,173,Shadow (Zone 1)
22,3802,172,Shadow (Zone 1)
23,3975,173,Shadow (Zone 1)
24,4148,173,Shadow (Zone 1)
25,4263,115,Midtone (Zone 2)
26,4378,115,Midtone (Zone 2)
27,4493,115,Midtone (Zone 2)
28,4608,115,Midtone (Zone 2)
29,4723,115,Midtone (Zone 2)
30,4838,115,Midtone (Zone 2)
31,4953,115,Midtone (Zone 2)
32,5068,115,Midtone (Zone 2)
33,5183,115,Midtone (Zone 2)
34,5298,115,Midtone (Zone 2)
35,5413,115,Midtone (Zone 2)
36,5528,115,Midtone (Zone 2)
37,5643,115,Midtone (Zone 2)
38,5758,115,Midtone (Zone 2)
39,5873,115,Midtone (Zone 2)
40,5988,115,Midtone (Zone 2)
41,6103,115,Midtone (Zone 2)
42,6218,115,Midtone (Zone 2)
43,6333,115,Midtone (Zone 2)
44,6448,115,Midtone (Zone 2)
45,6563,115,Midtone (Zone 2)
46,6678,115,Midtone (Zone 2)
47,6793,115,Midtone (Zone 2)
48,6908,115,Midtone (Zone 2)
49,7023,115,Midtone (Zone 2)
50,7138,115,Midtone (Zone 2)
51,7253,115,Midtone (Zone 2)
52,7368,115,Midtone (Zone 2)
53,7483,115,Midtone (Zone 2)
54,7598,115,Midtone (Zone 2)
55,7713,115,Midtone (Zone 2)
56,7828,115,Midtone (Zone 2)
57,7943,115,Midtone (Zone 2)
58,8058,115,Midtone (Zone 2)
59,8173,115,Midtone (Zone 2)
60,8288,115,Midtone (Zone 2)
61,8403,115,Midtone (Zone 2)
62,8518,115,Midtone (Zone 2)
63,8633,115,Midtone (Zone 2)
64,8748,115,Midtone (Zone 2)
65,8863,115,Midtone (Zone 2)
66,8978,115,Midtone (Zone 2)
67,9093,115,Midtone (Zone 2)
68,9208,115,Midtone (Zone 2)
69,9323,115,Midtone (Zone 2)
70,9438,115,Midtone (Zone 2)
71,9553,115,Midtone (Zone 2)
72,9668,115,Midtone (Zone 2)
73,9783,115,Midtone (Zone 2)
74,9898,115,Midtone (Zone 2)
75,10013,115,Midtone (Zone 2)
76,10128,115,Midtone (Zone 2)
77,10243,115,Midtone (Zone 2)
78,10358,115,Midtone (Zone 2)
79,10473,115,Midtone (Zone 2)
80,10588,115,Midtone (Zone 2)
81,10703,115,Midtone (Zone 2)
82,10818,115,Midtone (Zone 2)
83,10933,115,Midtone (Zone 2)
84,11048,115,Midtone (Zone 2)
85,11163,115,Midtone (Zone 2)
86,11278,115,Midtone (Zone 2)
87,11393,115,Midtone (Zone 2)
88,11508,115,Midtone (Zone 2)
89,11623,115,Midtone (Zone 2)
90,11738,115,Midtone (Zone 2)
91,11853,115,Midtone (Zone 2)
92,11968,115,Midtone (Zone 2)
93,12083,115,Midtone (Zone 2)
94,12198,115,Midtone (Zone 2)
95,12313,115,Midtone (Zone 2)
96,12428,115,Midtone (Zone 2)
97,12543,115,Midtone (Zone 2)
98,12658,115,Midtone (Zone 2)
99,12773,115,Midtone (Zone 2)
100,12888,115,Midtone (Zone 2)
101,13003,115,Midtone (Zone 2)
102,13118,115,Midtone (Zone 2)
103,13233,115,Midtone (Zone 2)
104,13348,115,Midtone (Zone 2)
105,13463,115,Midtone (Zone 2)
106,13578,115,Midtone (Zone 2)
107,13693,115,Midtone (Zone 2)
108,13808,115,Midtone (Zone 2)
109,13923,115,Midtone (Zone 2)
110,14038,115,Midtone (Zone 2)
111,14153,115,Midtone (Zone 2)
112,14268,115,Midtone (Zone 2)
113,14383,115,Midtone (Zone 2)
114,14498,115,Midtone (Zone 2)
115,14613,115,Midtone (Zone 2)
116,14728,115,Midtone (Zone 2)
117,14843,115,Midtone (Zone 2)
118,14958,115,Midtone (Zone 2)
119,15073,115,Midtone (Zone 2)
120,15188,115,Midtone (Zone 2)
121,15303,115,Midtone (Zone 2)
122,15418,115,Midtone (Zone 2)
123,15533,115,Midtone (Zone 2)
124,15648,115,Midtone (Zone 2)
125,15763,115,Midtone (Zone 2)
126,15878,115,Midtone (Zone 2)
127,15993,115,Midtone (Zone 2)
128,16108,115,Midtone (Zone 2)
129,16223,115,Midtone (Zone 2)
130,16338,115,Midtone (Zone 2)
131,16453,115,Midtone (Zone 2)
132,16568,115,Midtone (Zone 2)
133,16683,115,Midtone (Zone 2)
134,16798,115,Midtone (Zone 2)
135,16913,115,Midtone (Zone 2)
136,17028,115,Midtone (Zone 2)
137,17143,115,Midtone (Zone 2)
138,17258,115,Midtone (Zone 2)
139,17373,115,Midtone (Zone 2)
140,17488,115,Midtone (Zone 2)
141,17603,115,Midtone (Zone 2)
142,17718,115,Midtone (Zone 2)
143,17833,115,Midtone (Zone 2)
144,17948,115,Midtone (Zone 2)
145,18063,115,Midtone (Zone 2)
146,18178,115,Midtone (Zone 2)
147,18293,115,Midtone (Zone 2)
148,18408,115,Midtone (Zone 2)
149,18523,115,Midtone (Zone 2)
150,18638,115,Midtone (Zone 2)
151,18753,115,Midtone (Zone 2)
152,18868,115,Midtone (Zone 2)
153,18983,115,Midtone (Zone 2)
154,19098,115,Midtone (Zone 2)
155,19213,115,Midtone (Zone 2)
156,19328,115,Midtone (Zone 2)
157,19443,115,Midtone (Zone 2)
158,19558,115,Midtone (Zone 2)
159,19673,115,Midtone (Zone 2)
160,19788,115,Midtone (Zone 2)
161,19903,115,Midtone (Zone 2)
162,20018,115,Midtone (Zone 2)
163,20133,115,Midtone (Zone 2)
164,20248,115,Midtone (Zone 2)
165,20363,115,Midtone (Zone 2)
166,20478,115,Midtone (Zone 2)
167,20593,115,Midtone (Zone 2)
168,20708,115,Midtone (Zone 2)
169,20823,115,Midtone (Zone 2)
170,20938,115,Midtone (Zone 2)
171,21053,115,Midtone (Zone 2)
172,21168,115,Midtone (Zone 2)
173,21283,115,Midtone (Zone 2)
174,21398,115,Midtone (Zone 2)
175,21513,115,Midtone (Zone 2)
176,21628,115,Midtone (Zone 2)
177,21743,115,Midtone (Zone 2)
178,21858,115,Midtone (Zone 2)
179,21973,115,Midtone (Zone 2)
180,22088,115,Midtone (Zone 2)
181,22203,115,Midtone (Zone 2)
182,22318,115,Midtone (Zone 2)
183,22433,115,Midtone (Zone 2)
184,22548,115,Midtone (Zone 2)
185,22663,115,Midtone (Zone 2)
186,22778,115,Midtone (Zone 2)
