Input,K_value,Diff_from_v14,Diff_percent
0,0,0,0.00
1,173,0,0.00
2,346,0,0.00
3,518,0,0.00
4,691,0,0.00
5,864,0,0.00
6,1037,0,0.00
7,1210,0,0.00
8,1383,0,0.00
9,1556,0,0.00
10,1728,0,0.00
11,1901,0,0.00
12,2074,0,0.00
13,2247,0,0.00
14,2420,0,0.00
15,2592,0,0.00
16,2765,0,0.00
17,2938,0,0.00
18,3111,0,0.00
19,3284,0,0.00
20,3457,0,0.00
21,3630,0,0.00
22,3802,0,0.00
23,3975,0,0.00
24,4148,0,0.00
25,4263,0,0.00
26,4378,0,0.00
27,4493,0,0.00
28,4608,0,0.00
29,4723,0,0.00
30,4838,0,0.00
31,4953,0,0.00
32,5068,0,0.00
33,5183,0,0.00
34,5298,0,0.00
35,5413,0,0.00
36,5528,0,0.00
37,5643,0,0.00
38,5758,0,0.00
39,5873,0,0.00
40,5988,0,0.00
41,6103,0,0.00
42,6218,0,0.00
43,6333,0,0.00
44,6448,0,0.00
45,6563,0,0.00
46,6678,0,0.00
47,6793,0,0.00
48,6908,0,0.00
49,7023,0,0.00
50,7138,0,0.00
51,7253,0,0.00
52,7368,0,0.00
53,7483,0,0.00
54,7598,0,0.00
55,7713,0,0.00
56,7828,0,0.00
57,7943,0,0.00
58,8058,0,0.00
59,8173,0,0.00
60,8288,0,0.00
61,8403,0,0.00
62,8518,0,0.00
63,8633,0,0.00
64,8748,0,0.00
65,8863,0,0.00
66,8978,0,0.00
67,9093,0,0.00
68,9208,0,0.00
69,9323,0,0.00
70,9438,0,0.00
71,9553,0,0.00
72,9668,0,0.00
73,9783,0,0.00
74,9898,0,0.00
75,10013,0,0.00
76,10128,0,0.00
77,10243,0,0.00
78,10358,0,0.00
79,10473,0,0.00
80,10588,0,0.00
81,10703,0,0.00
82,10818,0,0.00
83,10933,0,0.00
84,11048,0,0.00
85,11163,0,0.00
86,11278,0,0.00
87,11393,0,0.00
88,11508,0,0.00
89,11623,0,0.00
90,11738,0,0.00
91,11853,0,0.00
92,11968,0,0.00
93,12083,0,0.00
94,12198,0,0.00
95,12313,0,0.00
96,12428,0,0.00
97,12543,0,0.00
98,12658,0,0.00
99,12773,0,0.00
100,12888,0,0.00
101,13003,0,0.00
102,13118,0,0.00
103,13233,0,0.00
104,13348,0,0.00
105,13463,0,0.00
106,13578,0,0.00
107,13693,0,0.00
108,13808,0,0.00
109,13923,0,0.00
110,14038,0,0.00
111,14153,0,0.00
112,14268,0,0.00
113,14383,0,0.00
114,14498,0,0.00
115,14613,0,0.00
116,14728,0,0.00
117,14843,0,0.00
118,14958,0,0.00
119,15073,0,0.00
120,15188,0,0.00
121,15303,0,0.00
122,15418,0,0.00
123,15533,0,0.00
124,15648,0,0.00
125,15763,0,0.00
126,15878,0,0.00
127,15993,0,0.00
128,16108,0,0.00
129,16223,0,0.00
130,16338,0,0.00
131,16453,0,0.00
132,16568,0,0.00
133,16683,0,0.00
134,16798,0,0.00
135,16913,0,0.00
136,17028,0,0.00
137,17143,0,0.00
138,17258,0,0.00
139,17373,0,0.00
140,17488,0,0.00
141,17603,0,0.00
142,17718,0,0.00
143,17833,0,0.00
144,17948,0,0.00
145,18063,0,0.00
