Input,K_v20,K_v18,Diff
0,0,0,0
8,2400,2400,0
16,3048,3372,-324
24,4118,4864,-746
32,5131,5264,-133
40,6197,6197,0
48,7086,7531,-445
56,7864,9031,-1167
64,8698,9864,-1166
72,9864,10864,-1000
80,10697,11364,-667
88,11364,11864,-500
96,12333,12489,-156
104,13364,13364,0
112,13945,14293,-348
120,15096,15007,89
128,15542,15721,-179
136,16149,16435,-286
144,16923,17086,-163
152,17885,17642,243
160,18847,18614,233
168,19431,19664,-233
176,20531,20531,0
184,21531,21364,167
192,22198,22531,-333
200,23364,23364,0
208,24614,23864,750
216,25287,24864,423
224,26264,25499,765
232,27128,26264,864
240,28304,27128,1176
248,29028,28304,724
255,29752,29752,0
