Input,K_v21,K_v18,K_v20,Diff_v18,Diff_v20
0,0,0,0,0,0
8,2520,2400,2400,120,120
16,2960,3372,3048,-412,-88
24,3400,4864,4118,-1464,-718
32,4060,5264,5131,-1204,-1071
40,4500,6197,6197,-1697,-1697
48,5160,7531,7086,-2371,-1926
56,6040,9031,7864,-2991,-1824
64,7140,9864,8698,-2724,-1558
72,8240,10864,9864,-2624,-1624
80,9340,11364,10697,-2024,-1357
88,10440,11864,11364,-1424,-924
96,11540,12489,12333,-949,-793
104,12640,13364,13364,-724,-724
112,13740,14293,13945,-553,-205
120,14840,15007,15096,-167,-256
128,15940,15721,15542,219,398
136,17040,16435,16149,605,891
144,18140,17086,16923,1054,1217
152,19240,17642,17885,1598,1355
160,20340,18614,18847,1726,1493
168,21440,19664,19431,1776,2009
176,22540,20531,20531,2009,2009
184,23640,21364,21531,2276,2109
192,24740,22531,22198,2209,2542
200,25840,23364,23364,2476,2476
208,26940,23864,24614,3076,2326
216,27820,24864,25287,2956,2533
224,28480,25499,26264,2981,2216
232,29140,26264,27128,2876,2012
240,29800,27128,28304,2672,1496
248,30460,28304,29028,2156,1432
255,31120,29752,29752,1368,1368
