Input,K,GY,LGY,GY_percent,LGY_percent
0,0,0,0,0.00,0.00
1,517,52,52,10.06,10.06
2,965,96,96,9.95,9.95
3,1352,135,135,9.99,9.99
4,1681,168,168,9.99,9.99
5,1957,196,196,10.02,10.02
6,2185,218,218,9.98,9.98
7,2371,237,237,10.00,10.00
8,2520,252,252,10.00,10.00
9,2636,264,264,10.02,10.02
10,2725,272,272,9.98,9.98
11,2791,279,279,10.00,10.00
12,2839,284,284,10.00,10.00
13,2876,288,288,10.01,10.01
14,2905,290,290,9.98,9.98
15,2931,293,293,10.00,10.00
16,2960,296,296,10.00,10.00
17,2996,300,300,10.01,10.01
18,3038,304,304,10.01,10.01
19,3087,309,309,10.01,10.01
20,3142,314,314,9.99,9.99
21,3201,320,320,10.00,10.00
22,3264,326,326,9.99,9.99
23,3331,333,333,10.00,10.00
24,3400,340,340,10.00,10.00
25,3472,347,347,9.99,9.99
26,3545,354,354,9.99,9.99
27,3622,362,362,9.99,9.99
28,3702,370,370,9.99,9.99
29,3785,378,378,9.99,9.99
30,3872,387,387,9.99,9.99
31,3964,396,396,9.99,9.99
32,4060,406,406,10.00,10.00
33,4161,416,416,10.00,10.00
34,4266,427,427,10.01,10.01
35,4375,438,438,10.01,10.01
36,4486,449,449,10.01,10.01
37,4599,460,460,10.00,10.00
38,4713,471,471,9.99,9.99
39,4827,483,483,10.01,10.01
40,4940,494,494,10.00,10.00
41,5052,505,505,10.00,10.00
42,5163,516,516,9.99,9.99
43,5273,527,527,9.99,9.99
44,5383,538,538,9.99,9.99
45,5492,549,549,10.00,10.00
46,5601,560,560,10.00,10.00
47,5710,571,571,10.00,10.00
48,5820,582,582,10.00,10.00
49,5931,593,593,10.00,10.00
50,6041,604,604,10.00,10.00
51,6153,615,615,10.00,10.00
52,6264,626,626,9.99,9.99
53,6374,637,637,9.99,9.99
54,6484,648,648,9.99,9.99
55,6593,659,659,10.00,10.00
56,6700,670,670,10.00,10.00
57,6806,681,681,10.01,10.01
58,6911,691,691,10.00,10.00
59,7016,702,702,10.01,10.01
60,7123,712,712,10.00,10.00
61,7232,723,723,10.00,10.00
62,7343,734,734,10.00,10.00
63,7459,746,746,10.00,10.00
64,7580,758,758,10.00,10.00
65,7707,771,771,10.00,10.00
66,7838,784,784,10.00,10.00
67,7974,797,797,9.99,9.99
68,8112,811,811,10.00,10.00
69,8253,825,825,10.00,10.00
70,8396,840,840,10.00,10.00
71,8538,854,854,10.00,10.00
72,8680,868,868,10.00,10.00
73,8820,882,882,10.00,10.00
74,8960,896,896,10.00,10.00
75,9098,910,910,10.00,10.00
76,9235,924,924,10.01,10.01
77,9371,937,937,10.00,10.00
78,9508,951,951,10.00,10.00
79,9644,964,964,10.00,10.00
80,9780,978,978,10.00,10.00
81,9917,992,992,10.00,10.00
82,10054,1005,1005,10.00,10.00
83,10191,1019,1019,10.00,10.00
84,10329,1033,1033,10.00,10.00
85,10466,1047,1047,10.00,10.00
86,10604,1060,1060,10.00,10.00
87,10742,1074,1074,10.00,10.00
88,10880,1088,1088,10.00,10.00
89,11018,1102,1102,10.00,10.00
90,11155,1116,1116,10.00,10.00
91,11293,1129,1129,10.00,10.00
92,11430,1143,1143,10.00,10.00
93,11568,1157,1157,10.00,10.00
94,11705,1170,1170,10.00,10.00
95,11843,1184,1184,10.00,10.00
96,11980,1198,1198,10.00,10.00
97,12117,1212,1212,10.00,10.00
98,12255,1226,1226,10.00,10.00
99,12392,1239,1239,10.00,10.00
100,12530,1253,1253,10.00,10.00
101,12667,1267,1267,10.00,10.00
102,12805,1280,1280,10.00,10.00
103,12942,1294,1294,10.00,10.00
104,13080,1308,1308,10.00,10.00
105,13218,1322,1322,10.00,10.00
106,13355,1336,1336,10.00,10.00
107,13493,1349,1349,10.00,10.00
108,13630,1363,1363,10.00,10.00
109,13768,1377,1377,10.00,10.00
110,13905,1390,1390,10.00,10.00
111,14043,1404,1404,10.00,10.00
112,14180,1418,1418,10.00,10.00
113,14317,1432,1432,10.00,10.00
114,14455,1446,1446,10.00,10.00
115,14592,1459,1459,10.00,10.00
116,14730,1473,1473,10.00,10.00
117,14867,1487,1487,10.00,10.00
118,15005,1500,1500,10.00,10.00
119,15142,1514,1514,10.00,10.00
120,15280,1528,1528,10.00,10.00
121,15418,1542,1542,10.00,10.00
122,15555,1556,1556,10.00,10.00
123,15693,1569,1569,10.00,10.00
124,15830,1583,1583,10.00,10.00
125,15968,1597,1597,10.00,10.00
126,16105,1610,1610,10.00,10.00
127,16243,1624,1624,10.00,10.00
128,16380,1638,1638,10.00,10.00
129,16517,1652,1652,10.00,10.00
130,16655,1666,1666,10.00,10.00
131,16792,1679,1679,10.00,10.00
132,16930,1693,1693,10.00,10.00
133,17067,1707,1707,10.00,10.00
134,17205,1720,1720,10.00,10.00
135,17343,1734,1734,10.00,10.00
136,17480,1748,1748,10.00,10.00
137,17617,1762,1762,10.00,10.00
138,17755,1776,1776,10.00,10.00
139,17892,1789,1789,10.00,10.00
140,18030,1803,1803,10.00,10.00
141,18167,1817,1817,10.00,10.00
142,18305,1830,1830,10.00,10.00
143,18442,1844,1844,10.00,10.00
144,18580,1858,1858,10.00,10.00
145,18718,1872,1872,10.00,10.00
146,18855,1886,1886,10.00,10.00
147,18993,1899,1899,10.00,10.00
148,19130,1913,1913,10.00,10.00
149,19268,1927,1927,10.00,10.00
150,19405,1940,1940,10.00,10.00
151,19543,1954,1954,10.00,10.00
152,19680,1968,1968,10.00,10.00
153,19817,1982,1982,10.00,10.00
154,19955,1996,1996,10.00,10.00
155,20092,2009,2009,10.00,10.00
156,20230,2023,2023,10.00,10.00
157,20367,2037,2037,10.00,10.00
158,20505,2050,2050,10.00,10.00
159,20642,2064,2064,10.00,10.00
160,20780,2078,2078,10.00,10.00
161,20918,2092,2092,10.00,10.00
162,21055,2106,2106,10.00,10.00
163,21193,2119,2119,10.00,10.00
164,21330,2133,2133,10.00,10.00
165,21468,2147,2147,10.00,10.00
166,21605,2160,2160,10.00,10.00
167,21743,2174,2174,10.00,10.00
168,21880,2188,2188,10.00,10.00
169,22017,2202,2202,10.00,10.00
170,22155,2216,2216,10.00,10.00
171,22292,2229,2229,10.00,10.00
172,22430,2243,2243,10.00,10.00
173,22567,2257,2257,10.00,10.00
174,22705,2270,2270,10.00,10.00
175,22842,2284,2284,10.00,10.00
176,22980,2298,2298,10.00,10.00
177,23118,2312,2312,10.00,10.00
178,23255,2326,2326,10.00,10.00
179,23393,2339,2339,10.00,10.00
180,23531,2353,2353,10.00,10.00
181,23668,2367,2367,10.00,10.00
182,23806,2381,2381,10.00,10.00
183,23943,2394,2394,10.00,10.00
184,24080,2408,2408,10.00,10.00
185,24217,2422,2422,10.00,10.00
186,24353,2435,2435,10.00,10.00
187,24490,2449,2449,10.00,10.00
188,24627,2463,2463,10.00,10.00
189,24764,2476,2476,10.00,10.00
190,24902,2490,2490,10.00,10.00
191,25040,2504,2504,10.00,10.00
192,25180,2518,2518,10.00,10.00
193,25321,2532,2532,10.00,10.00
194,25462,2546,2546,10.00,10.00
195,25603,2560,2560,10.00,10.00
196,25743,2574,2574,10.00,10.00
197,25881,2588,2588,10.00,10.00
198,26017,2602,2602,10.00,10.00
199,26151,2615,2615,10.00,10.00
200,26280,2628,2628,10.00,10.00
201,26405,2640,2640,10.00,10.00
202,26526,2653,2653,10.00,10.00
203,26642,2664,2664,10.00,10.00
204,26755,2676,2676,10.00,10.00
205,26862,2686,2686,10.00,10.00
206,26966,2697,2697,10.00,10.00
207,27065,2706,2706,10.00,10.00
208,27160,2716,2716,10.00,10.00
209,27251,2725,2725,10.00,10.00
210,27338,2734,2734,10.00,10.00
211,27422,2742,2742,10.00,10.00
212,27504,2750,2750,10.00,10.00
213,27584,2758,2758,10.00,10.00
214,27663,2766,2766,10.00,10.00
215,27741,2774,2774,10.00,10.00
216,27820,2782,2782,10.00,10.00
217,27899,2790,2790,10.00,10.00
218,27979,2798,2798,10.00,10.00
219,28060,2806,2806,10.00,10.00
220,28142,2814,2814,10.00,10.00
221,28225,2822,2822,10.00,10.00
222,28309,2831,2831,10.00,10.00
223,28394,2839,2839,10.00,10.00
224,28480,2848,2848,10.00,10.00
225,28567,2857,2857,10.00,10.00
226,28655,2866,2866,10.00,10.00
227,28741,2874,2874,10.00,10.00
228,28827,2883,2883,10.00,10.00
229,28911,2891,2891,10.00,10.00
230,28991,2899,2899,10.00,10.00
231,29068,2907,2907,10.00,10.00
232,29140,2914,2914,10.00,10.00
233,29207,2921,2921,10.00,10.00
234,29269,2927,2927,10.00,10.00
235,29327,2933,2933,10.00,10.00
236,29382,2938,2938,10.00,10.00
237,29434,2943,2943,10.00,10.00
238,29484,2948,2948,10.00,10.00
239,29532,2953,2953,10.00,10.00
240,29580,2958,2958,10.00,10.00
241,29628,2963,2963,10.00,10.00
242,29676,2968,2968,10.00,10.00
243,29726,2973,2973,10.00,10.00
244,29778,2978,2978,10.00,10.00
245,29833,2983,2983,10.00,10.00
246,29891,2989,2989,10.00,10.00
247,29953,2995,2995,10.00,10.00
248,30020,3002,3002,10.00,10.00
249,30517,3052,3052,10.00,10.00
250,31014,3101,3101,10.00,10.00
251,31511,3151,3151,10.00,10.00
252,32009,3201,3201,10.00,10.00
253,32506,3251,3251,10.00,10.00
254,33003,3300,3300,10.00,10.00
255,40000,4000,4000,10.00,10.00
