Input,K,GY,LGY,GY_percent,LGY_percent
0,0,0,0,0.00,0.00
1,517,16,16,3.09,3.09
2,965,29,29,3.01,3.01
3,1352,41,41,3.03,3.03
4,1681,50,50,2.97,2.97
5,1957,59,59,3.01,3.01
6,2185,66,66,3.02,3.02
7,2371,71,71,2.99,2.99
8,2520,76,76,3.02,3.02
9,2636,79,79,3.00,3.00
10,2725,82,82,3.01,3.01
11,2791,84,84,3.01,3.01
12,2839,85,85,2.99,2.99
13,2876,86,86,2.99,2.99
14,2905,87,87,2.99,2.99
15,2931,88,88,3.00,3.00
16,2960,89,89,3.01,3.01
17,2996,90,90,3.00,3.00
18,3038,91,91,3.00,3.00
19,3087,93,93,3.01,3.01
20,3142,94,94,2.99,2.99
21,3201,96,96,3.00,3.00
22,3264,98,98,3.00,3.00
23,3331,100,100,3.00,3.00
24,3400,102,102,3.00,3.00
25,3472,104,104,3.00,3.00
26,3545,106,106,2.99,2.99
27,3622,109,109,3.01,3.01
28,3702,111,111,3.00,3.00
29,3785,114,114,3.01,3.01
30,3872,116,116,3.00,3.00
31,3964,119,119,3.00,3.00
32,4060,122,122,3.00,3.00
33,4161,125,125,3.00,3.00
34,4266,128,128,3.00,3.00
35,4375,131,131,2.99,2.99
36,4486,135,135,3.01,3.01
37,4599,138,138,3.00,3.00
38,4713,141,141,2.99,2.99
39,4827,145,145,3.00,3.00
40,4940,148,148,3.00,3.00
41,5052,152,152,3.01,3.01
42,5163,155,155,3.00,3.00
43,5273,158,158,3.00,3.00
44,5383,161,161,2.99,2.99
45,5492,165,165,3.00,3.00
46,5601,168,168,3.00,3.00
47,5710,171,171,2.99,2.99
48,5820,175,175,3.01,3.01
49,5931,178,178,3.00,3.00
50,6041,181,181,3.00,3.00
51,6153,185,185,3.01,3.01
52,6264,188,188,3.00,3.00
53,6374,191,191,3.00,3.00
54,6484,195,195,3.01,3.01
55,6593,198,198,3.00,3.00
56,6700,201,201,3.00,3.00
57,6806,204,204,3.00,3.00
58,6911,207,207,3.00,3.00
59,7016,210,210,2.99,2.99
60,7123,214,214,3.00,3.00
61,7232,217,217,3.00,3.00
62,7343,220,220,3.00,3.00
63,7459,224,224,3.00,3.00
64,7580,227,227,2.99,2.99
65,7707,231,231,3.00,3.00
66,7838,235,235,3.00,3.00
67,7974,239,239,3.00,3.00
68,8112,243,243,3.00,3.00
69,8253,248,248,3.00,3.00
70,8396,252,252,3.00,3.00
71,8538,256,256,3.00,3.00
72,8680,260,260,3.00,3.00
73,8820,265,265,3.00,3.00
74,8960,269,269,3.00,3.00
75,9098,273,273,3.00,3.00
76,9235,277,277,3.00,3.00
77,9371,281,281,3.00,3.00
78,9508,285,285,3.00,3.00
79,9644,289,289,3.00,3.00
80,9780,293,293,3.00,3.00
81,9917,298,298,3.00,3.00
82,10054,302,302,3.00,3.00
83,10191,306,306,3.00,3.00
84,10329,310,310,3.00,3.00
85,10466,314,314,3.00,3.00
86,10604,318,318,3.00,3.00
87,10742,322,322,3.00,3.00
88,10880,326,326,3.00,3.00
89,11018,331,331,3.00,3.00
90,11155,335,335,3.00,3.00
91,11293,339,339,3.00,3.00
92,11430,343,343,3.00,3.00
93,11568,347,347,3.00,3.00
94,11705,351,351,3.00,3.00
95,11843,355,355,3.00,3.00
96,11980,359,359,3.00,3.00
97,12117,364,364,3.00,3.00
98,12255,368,368,3.00,3.00
99,12392,372,372,3.00,3.00
100,12530,376,376,3.00,3.00
101,12667,380,380,3.00,3.00
102,12805,384,384,3.00,3.00
103,12942,388,388,3.00,3.00
104,13080,392,392,3.00,3.00
105,13218,397,397,3.00,3.00
106,13355,401,401,3.00,3.00
107,13493,405,405,3.00,3.00
108,13630,409,409,3.00,3.00
109,13768,413,413,3.00,3.00
110,13905,417,417,3.00,3.00
111,14043,421,421,3.00,3.00
112,14180,425,425,3.00,3.00
113,14317,430,430,3.00,3.00
114,14455,434,434,3.00,3.00
115,14592,438,438,3.00,3.00
116,14730,442,442,3.00,3.00
117,14867,446,446,3.00,3.00
118,15005,450,450,3.00,3.00
119,15142,454,454,3.00,3.00
