Input,K,GY,Total,K_percent,GY_percent,K_step_size
0,0,0,0,0.00,0.00,30/step
1,30,175,205,14.63,85.37,30/step
2,60,350,410,14.63,85.37,30/step
3,90,525,615,14.63,85.37,30/step
4,120,700,820,14.63,85.37,30/step
5,150,875,1025,14.63,85.37,30/step
6,180,1050,1230,14.63,85.37,30/step
7,210,1225,1435,14.63,85.37,30/step
8,240,1400,1640,14.63,85.37,30/step
9,270,1575,1845,14.63,85.37,30/step
10,300,1750,2050,14.63,85.37,30/step
11,330,1925,2255,14.63,85.37,30/step
12,360,2100,2460,14.63,85.37,30/step
13,390,2275,2665,14.63,85.37,30/step
14,420,2450,2870,14.63,85.37,30/step
15,450,2625,3075,14.63,85.37,30/step
16,480,2800,3280,14.63,85.37,30/step
17,510,2975,3485,14.63,85.37,30/step
18,540,3150,3690,14.63,85.37,30/step
19,570,3325,3895,14.63,85.37,30/step
20,600,3500,4100,14.63,85.37,30/step
21,630,3675,4305,14.63,85.37,30/step
22,660,3850,4510,14.63,85.37,30/step
23,690,4025,4715,14.63,85.37,30/step
24,720,4200,4920,14.63,85.37,30/step
25,750,4315,5065,14.81,85.19,30/step
26,780,4430,5210,14.97,85.03,30/step
27,810,4545,5355,15.13,84.87,30/step
28,840,4660,5500,15.27,84.73,30/step
29,870,4775,5645,15.41,84.59,30/step
30,900,4890,5790,15.54,84.46,30/step
31,930,5005,5935,15.67,84.33,30/step
32,960,5120,6080,15.79,84.21,30/step
33,990,5235,6225,15.90,84.10,30/step
34,1020,5350,6370,16.01,83.99,30/step
35,1050,5465,6515,16.12,83.88,30/step
36,1080,5580,6660,16.22,83.78,30/step
37,1110,5695,6805,16.31,83.69,30/step
38,1140,5810,6950,16.40,83.60,30/step
39,1170,5925,7095,16.49,83.51,30/step
40,1200,6040,7240,16.57,83.43,30/step
41,1230,6155,7385,16.66,83.34,30/step
42,1260,6270,7530,16.73,83.27,30/step
43,1290,6385,7675,16.81,83.19,30/step
44,1320,6500,7820,16.88,83.12,30/step
45,1350,6615,7965,16.95,83.05,30/step
46,1380,6730,8110,17.02,82.98,30/step
47,1410,6845,8255,17.08,82.92,30/step
48,1440,6960,8400,17.14,82.86,30/step
49,1470,7075,8545,17.20,82.80,30/step
50,1500,7190,8690,17.26,82.74,30/step
51,1530,7305,8835,17.32,82.68,30/step
52,1560,7420,8980,17.37,82.63,30/step
53,1590,7535,9125,17.42,82.58,30/step
54,1620,7650,9270,17.48,82.52,30/step
55,1650,7765,9415,17.53,82.47,30/step
56,1680,7880,9560,17.57,82.43,30/step
57,1710,7995,9705,17.62,82.38,30/step
58,1740,8110,9850,17.66,82.34,30/step
59,1770,8225,9995,17.71,82.29,30/step
60,1800,8340,10140,17.75,82.25,30/step
61,1830,8455,10285,17.79,82.21,30/step
62,1860,8570,10430,17.83,82.17,30/step
63,1890,8685,10575,17.87,82.13,30/step
64,1920,8800,10720,17.91,82.09,30/step
65,1950,8915,10865,17.95,82.05,30/step
66,1980,9030,11010,17.98,82.02,30/step
67,2010,9145,11155,18.02,81.98,30/step
68,2040,9260,11300,18.05,81.95,30/step
69,2070,9375,11445,18.09,81.91,30/step
70,2100,9490,11590,18.12,81.88,30/step
71,2130,9605,11735,18.15,81.85,30/step
72,2160,9720,11880,18.18,81.82,30/step
73,2190,9835,12025,18.21,81.79,30/step
74,2220,9950,12170,18.24,81.76,30/step
75,2250,10065,12315,18.27,81.73,30/step
76,2280,10180,12460,18.30,81.70,30/step
77,2310,10295,12605,18.33,81.67,30/step
78,2340,10410,12750,18.35,81.65,30/step
79,2370,10525,12895,18.38,81.62,30/step
80,2400,10640,13040,18.40,81.60,30/step
81,2430,10755,13185,18.43,81.57,30/step
82,2460,10870,13330,18.45,81.55,30/step
83,2490,10985,13475,18.48,81.52,30/step
84,2520,11100,13620,18.50,81.50,30/step
85,2550,11215,13765,18.53,81.47,30/step
86,2580,11330,13910,18.55,81.45,30/step
87,2610,11445,14055,18.57,81.43,30/step
88,2640,11560,14200,18.59,81.41,30/step
89,2670,11675,14345,18.61,81.39,30/step
90,2700,11790,14490,18.63,81.37,30/step
91,2730,11905,14635,18.65,81.35,30/step
92,2760,12020,14780,18.67,81.33,30/step
93,2790,12135,14925,18.69,81.31,30/step
94,2820,12250,15070,18.71,81.29,30/step
95,2850,12365,15215,18.73,81.27,30/step
96,2880,12480,15360,18.75,81.25,30/step
97,2910,12595,15505,18.77,81.23,30/step
98,2940,12710,15650,18.79,81.21,30/step
99,2970,12825,15795,18.80,81.20,30/step
100,3000,12940,15940,18.82,81.18,30/step
101,3030,13055,16085,18.84,81.16,30/step
102,3060,13170,16230,18.85,81.15,30/step
103,3090,13285,16375,18.87,81.13,30/step
104,3120,13400,16520,18.89,81.11,30/step
105,3150,13515,16665,18.90,81.10,30/step
106,3180,13630,16810,18.92,81.08,30/step
107,3210,13745,16955,18.93,81.07,30/step
108,3240,13860,17100,18.95,81.05,30/step
109,3270,13975,17245,18.96,81.04,30/step
110,3300,14090,17390,18.98,81.02,30/step
111,3330,14205,17535,18.99,81.01,30/step
112,3360,14320,17680,19.00,81.00,30/step
113,3390,14435,17825,19.02,80.98,30/step
114,3420,14550,17970,19.03,80.97,30/step
115,3450,14665,18115,19.04,80.96,30/step
116,3480,14780,18260,19.06,80.94,30/step
117,3510,14895,18405,19.07,80.93,30/step
118,3540,15010,18550,19.08,80.92,30/step
119,3570,15125,18695,19.10,80.90,30/step
120,3600,15240,18840,19.11,80.89,30/step
121,3630,15355,18985,19.12,80.88,30/step
122,3660,15470,19130,19.13,80.87,30/step
123,3690,15585,19275,19.14,80.86,30/step
124,3720,15700,19420,19.16,80.84,30/step
125,3750,15815,19565,19.17,80.83,30/step
126,3780,15930,19710,19.18,80.82,30/step
127,3810,16045,19855,19.19,80.81,30/step
128,3840,16160,20000,19.20,80.80,30/step
129,3870,16275,20145,19.21,80.79,30/step
130,3900,16390,20290,19.22,80.78,30/step
131,3930,16505,20435,19.23,80.77,30/step
132,3960,16620,20580,19.24,80.76,30/step
133,3990,16735,20725,19.25,80.75,30/step
134,4020,16850,20870,19.26,80.74,30/step
135,4050,16965,21015,19.27,80.73,30/step
136,4080,17080,21160,19.28,80.72,30/step
137,4110,17195,21305,19.29,80.71,30/step
138,4140,17310,21450,19.30,80.70,30/step
139,4170,17425,21595,19.31,80.69,30/step
140,4200,17540,21740,19.32,80.68,30/step
141,4230,17655,21885,19.33,80.67,30/step
142,4260,17770,22030,19.34,80.66,30/step
143,4290,17885,22175,19.35,80.65,30/step
144,4320,18000,22320,19.35,80.65,30/step
145,4350,18115,22465,19.36,80.64,30/step
146,4380,18230,22610,19.37,80.63,30/step
147,4410,18345,22755,19.38,80.62,30/step
148,4440,18460,22900,19.39,80.61,30/step
149,4470,18575,23045,19.40,80.60,30/step
150,4500,18690,23190,19.40,80.60,30/step
151,4530,18805,23335,19.41,80.59,30/step
152,4560,18920,23480,19.42,80.58,30/step
153,4590,19035,23625,19.43,80.57,30/step
154,4620,19150,23770,19.44,80.56,30/step
155,4650,19265,23915,19.44,80.56,30/step
156,4680,19380,24060,19.45,80.55,30/step
157,4710,19495,24205,19.46,80.54,30/step
158,4740,19610,24350,19.47,80.53,30/step
159,4770,19725,24495,19.47,80.53,30/step
160,4800,19840,24640,19.48,80.52,30/step
161,4830,19955,24785,19.49,80.51,30/step
162,4860,20070,24930,19.49,80.51,30/step
163,4890,20185,25075,19.50,80.50,30/step
164,4920,20300,25220,19.51,80.49,30/step
165,4950,20415,25365,19.52,80.48,30/step
166,4980,20530,25510,19.52,80.48,30/step
167,5010,20645,25655,19.53,80.47,30/step
168,5040,20760,25800,19.53,80.47,30/step
169,5070,20875,25945,19.54,80.46,30/step
170,5100,20990,26090,19.55,80.45,30/step
171,5130,21105,26235,19.55,80.45,30/step
172,5160,21220,26380,19.56,80.44,30/step
173,5190,21335,26525,19.57,80.43,30/step
174,5220,21450,26670,19.57,80.43,30/step
175,5250,21565,26815,19.58,80.42,30/step
176,5280,21680,26960,19.58,80.42,30/step
177,5310,21795,27105,19.59,80.41,30/step
178,5340,21910,27250,19.60,80.40,30/step
179,5370,22025,27395,19.60,80.40,30/step
180,5400,22140,27540,19.61,80.39,30/step
181,5430,22255,27685,19.61,80.39,30/step
182,5460,22370,27830,19.62,80.38,30/step
183,5490,22485,27975,19.62,80.38,30/step
184,5520,22600,28120,19.63,80.37,30/step
