Input,K_value,Diff_from_prev,Zone
0,0,0,Shadow (Zone 1)
1,175,175,Shadow (Zone 1)
2,350,175,Shadow (Zone 1)
3,525,175,Shadow (Zone 1)
4,700,175,Shadow (Zone 1)
5,875,175,Shadow (Zone 1)
6,1050,175,Shadow (Zone 1)
7,1225,175,Shadow (Zone 1)
8,1400,175,Shadow (Zone 1)
9,1575,175,Shadow (Zone 1)
10,1750,175,Shadow (Zone 1)
11,1925,175,Shadow (Zone 1)
12,2100,175,Shadow (Zone 1)
13,2275,175,Shadow (Zone 1)
14,2450,175,Shadow (Zone 1)
15,2625,175,Shadow (Zone 1)
16,2800,175,Shadow (Zone 1)
17,2975,175,Shadow (Zone 1)
18,3150,175,Shadow (Zone 1)
19,3325,175,Shadow (Zone 1)
20,3500,175,Shadow (Zone 1)
21,3675,175,Shadow (Zone 1)
22,3850,175,Shadow (Zone 1)
23,4025,175,Shadow (Zone 1)
24,4200,175,Shadow (Zone 1)
25,4315,115,Midtone (Zone 2)
26,4430,115,Midtone (Zone 2)
27,4545,115,Midtone (Zone 2)
28,4660,115,Midtone (Zone 2)
29,4775,115,Midtone (Zone 2)
30,4890,115,Midtone (Zone 2)
31,5005,115,Midtone (Zone 2)
32,5120,115,Midtone (Zone 2)
33,5235,115,Midtone (Zone 2)
34,5350,115,Midtone (Zone 2)
35,5465,115,Midtone (Zone 2)
36,5580,115,Midtone (Zone 2)
37,5695,115,Midtone (Zone 2)
38,5810,115,Midtone (Zone 2)
39,5925,115,Midtone (Zone 2)
40,6040,115,Midtone (Zone 2)
41,6155,115,Midtone (Zone 2)
42,6270,115,Midtone (Zone 2)
43,6385,115,Midtone (Zone 2)
44,6500,115,Midtone (Zone 2)
45,6615,115,Midtone (Zone 2)
46,6730,115,Midtone (Zone 2)
47,6845,115,Midtone (Zone 2)
48,6960,115,Midtone (Zone 2)
49,7075,115,Midtone (Zone 2)
50,7190,115,Midtone (Zone 2)
51,7305,115,Midtone (Zone 2)
52,7420,115,Midtone (Zone 2)
53,7535,115,Midtone (Zone 2)
54,7650,115,Midtone (Zone 2)
55,7765,115,Midtone (Zone 2)
56,7880,115,Midtone (Zone 2)
57,7995,115,Midtone (Zone 2)
58,8110,115,Midtone (Zone 2)
59,8225,115,Midtone (Zone 2)
60,8340,115,Midtone (Zone 2)
61,8455,115,Midtone (Zone 2)
62,8570,115,Midtone (Zone 2)
63,8685,115,Midtone (Zone 2)
64,8800,115,Midtone (Zone 2)
65,8915,115,Midtone (Zone 2)
66,9030,115,Midtone (Zone 2)
67,9145,115,Midtone (Zone 2)
68,9260,115,Midtone (Zone 2)
69,9375,115,Midtone (Zone 2)
70,9490,115,Midtone (Zone 2)
71,9605,115,Midtone (Zone 2)
72,9720,115,Midtone (Zone 2)
73,9835,115,Midtone (Zone 2)
74,9950,115,Midtone (Zone 2)
75,10065,115,Midtone (Zone 2)
76,10180,115,Midtone (Zone 2)
77,10295,115,Midtone (Zone 2)
78,10410,115,Midtone (Zone 2)
79,10525,115,Midtone (Zone 2)
80,10640,115,Midtone (Zone 2)
81,10755,115,Midtone (Zone 2)
82,10870,115,Midtone (Zone 2)
83,10985,115,Midtone (Zone 2)
84,11100,115,Midtone (Zone 2)
85,11215,115,Midtone (Zone 2)
86,11330,115,Midtone (Zone 2)
87,11445,115,Midtone (Zone 2)
88,11560,115,Midtone (Zone 2)
89,11675,115,Midtone (Zone 2)
90,11790,115,Midtone (Zone 2)
91,11905,115,Midtone (Zone 2)
92,12020,115,Midtone (Zone 2)
93,12135,115,Midtone (Zone 2)
94,12250,115,Midtone (Zone 2)
95,12365,115,Midtone (Zone 2)
96,12480,115,Midtone (Zone 2)
97,12595,115,Midtone (Zone 2)
98,12710,115,Midtone (Zone 2)
99,12825,115,Midtone (Zone 2)
100,12940,115,Midtone (Zone 2)
101,13055,115,Midtone (Zone 2)
102,13170,115,Midtone (Zone 2)
103,13285,115,Midtone (Zone 2)
104,13400,115,Midtone (Zone 2)
105,13515,115,Midtone (Zone 2)
106,13630,115,Midtone (Zone 2)
107,13745,115,Midtone (Zone 2)
108,13860,115,Midtone (Zone 2)
109,13975,115,Midtone (Zone 2)
110,14090,115,Midtone (Zone 2)
111,14205,115,Midtone (Zone 2)
112,14320,115,Midtone (Zone 2)
113,14435,115,Midtone (Zone 2)
114,14550,115,Midtone (Zone 2)
115,14665,115,Midtone (Zone 2)
116,14780,115,Midtone (Zone 2)
117,14895,115,Midtone (Zone 2)
