Input,K,Density_measured,Target_Density,Density_diff
0,0,1.36,1.38,-0.02
8,2400,1.34,1.36,-0.02
16,3372,1.31,1.34,-0.03
24,4864,1.29,1.32,-0.03
32,5264,1.26,1.30,-0.04
40,6197,1.24,1.26,-0.02
48,7531,1.18,1.22,-0.04
56,9031,1.09,1.17,-0.08
64,9864,1.06,1.12,-0.06
72,10864,1.00,1.07,-0.07
80,11364,0.96,1.02,-0.06
88,11864,0.94,0.97,-0.03
96,12489,0.90,0.92,-0.02
104,13364,0.86,0.87,-0.01
112,14293,0.78,0.82,-0.04
120,15007,0.77,0.77,0.00
128,15721,0.69,0.72,-0.03
136,16435,0.64,0.67,-0.03
144,17086,0.60,0.62,-0.02
152,17642,0.57,0.57,0.00
160,18614,0.53,0.52,+0.01
168,19664,0.44,0.47,-0.03
176,20531,0.41,0.42,-0.01
184,21364,0.37,0.37,0.00
192,22531,0.30,0.32,-0.02
200,23364,0.28,0.28,0.00
208,23864,0.27,0.25,+0.02
216,24864,0.23,0.23,0.00
224,25499,0.20,0.21,-0.01
232,26264,0.18,0.19,-0.01
240,27128,0.15,0.17,-0.02
248,28304,0.13,0.15,-0.02
255,29752,0.09,0.13,-0.04
