Input,K,Density_measured,Target_Density_v2,Density_diff
0,0,1.42,1.36,+0.06
8,2400,1.40,1.34,-0.06
16,3372,1.37,1.32,-0.05
24,4864,1.35,1.30,-0.05
32,5264,1.32,1.27,-0.05
40,6197,1.30,1.24,-0.06
48,7531,1.24,1.20,-0.04
56,9031,1.15,1.16,+0.01
64,9864,1.12,1.11,-0.01
72,10864,1.06,1.06,0.00
80,11364,1.02,1.01,-0.01
88,11864,1.00,0.96,-0.04
96,12489,0.96,0.91,-0.05
104,13364,0.92,0.86,-0.06
112,14293,0.84,0.81,-0.03
120,15007,0.83,0.76,-0.07
128,15721,0.75,0.71,-0.04
136,16435,0.70,0.66,-0.04
144,17086,0.66,0.61,-0.05
152,17642,0.63,0.56,-0.07
160,18614,0.59,0.51,-0.08
168,19664,0.50,0.46,-0.04
176,20531,0.47,0.41,-0.06
184,21364,0.43,0.36,-0.07
192,22531,0.36,0.32,-0.04
200,23364,0.34,0.28,-0.06
208,23864,0.33,0.24,-0.09
216,24864,0.29,0.21,-0.08
224,25499,0.26,0.18,-0.08
232,26264,0.24,0.15,-0.09
240,27128,0.21,0.13,-0.08
248,28304,0.19,0.11,-0.08
255,29752,0.15,0.09,-0.06
