Input,Target_Density,V20_K,V18_K,V19_K,K_diff_v18,K_diff_v19
0,1.36,0,0,0,0,0
8,1.34,2400,2400,2400,0,0
16,1.32,3048,3372,3372,-324,-324
24,1.3,4118,4864,4864,-746,-746
32,1.27,5131,5264,5264,-133,-133
40,1.24,6197,6197,6197,0,0
48,1.2,7086,7531,7331,-445,-245
56,1.16,7864,9031,8631,-1167,-767
64,1.11,8698,9864,9864,-1166,-1166
72,1.06,9864,10864,10864,-1000,-1000
80,1.01,10697,11364,11364,-667,-667
88,0.96,11364,11864,11864,-500,-500
96,0.91,12333,12489,12489,-156,-156
104,0.86,13364,13364,13364,0,0
112,0.81,13945,14293,14493,-348,-548
120,0.76,15096,15007,15007,89,89
128,0.71,15542,15721,15871,-179,-329
136,0.66,16149,16435,16435,-286,-286
144,0.61,16923,17086,17086,-163,-163
152,0.56,17885,17642,17642,243,243
160,0.51,18847,18614,18614,233,233
168,0.46,19431,19664,19364,-233,67
176,0.41,20531,20531,20531,0,0
184,0.36,21531,21364,21364,167,167
192,0.32,22198,22531,22131,-333,67
200,0.28,23364,23364,23364,0,0
208,0.24,24614,23864,23864,750,750
216,0.21,25287,24864,24864,423,423
224,0.18,26264,25499,25499,765,765
232,0.15,27128,26264,26264,864,864
240,0.13,28304,27128,27128,1176,1176
248,0.11,29028,28304,28304,724,724
255,0.09,29752,29752,29252,0,500
