Input,V21_K,V21_Predicted_Density,V21_Density_Diff,Target_Density_v3,Target_Density_Diff,Selection_Method
0,0,1.41,0.000,1.41,0.03,Fixed(K=0)
8,2400,1.40,0.010,1.38,0.04,v20(exact)
16,3372,1.37,0.030,1.32,0.02,v18→v20 interp
24,4118,1.33,0.040,1.29,0.03,v20→v18 interp
32,5131,1.31,0.020,1.26,0.03,v20→v18 interp
40,6197,1.30,0.010,1.22,0.04,v20→v18 interp
48,7086,1.20,0.100,1.18,0.04,v20→v18 interp
56,9031,1.15,0.050,1.13,0.05,v18→v20 interp
64,8698,1.09,0.060,1.08,0.05,v20→v18 interp
72,9864,1.05,0.040,1.03,0.05,v20→v18 interp
80,11364,0.99,0.060,0.98,0.05,v18→v20 interp
88,11364,0.99,0.000,0.93,0.05,v20→v18 interp
96,12333,0.91,0.080,0.88,0.05,v20→v18 interp
104,13364,0.92,-0.010,0.83,0.05,v20→v18 interp
112,13945,0.83,0.090,0.78,0.05,v20→v18 interp
120,15096,0.77,0.060,0.73,0.05,v20→v18 interp
128,15721,0.75,0.020,0.68,0.05,v18→v20 interp
136,16149,0.69,0.060,0.63,0.05,v20→v18 interp
144,16923,0.64,0.050,0.58,0.05,v20→v18 interp
152,17642,0.63,0.010,0.53,0.05,v18→v20 interp
160,18847,0.56,0.070,0.48,0.05,v20→v18 interp
168,19431,0.49,0.070,0.43,0.05,v20→v18 interp
176,20531,0.47,0.020,0.38,0.05,v20→v18 interp
184,21531,0.42,0.050,0.34,0.04,v20→v18 interp
192,22198,0.35,0.070,0.30,0.04,v20→v18 interp
200,23364,0.33,0.020,0.26,0.04,v20→v18 interp
208,24614,0.32,0.010,0.23,0.03,v20→v18 interp
216,24864,0.29,0.030,0.20,0.03,v18→v20 interp
224,26264,0.24,0.050,0.17,0.03,v20→v18 interp
232,26264,0.24,0.000,0.15,0.02,v18→v20 interp
240,28304,0.19,0.050,0.13,0.02,v20→v18 interp
248,28304,0.19,0.000,0.11,0.02,v18→v20 interp
255,29752,0.15,0.040,0.09,0.02,v18→v20 interp
