Input,Target_Density,Density_Step,V21_K,V18_K,V20_K,K_diff_v18,K_diff_v20
0,1.41,0.03,0,0,0,0,0
8,1.38,0.04,2832,2400,2400,432,432
16,1.32,0.02,5264,3372,3048,1892,2216
24,1.29,0.03,6419,4864,4118,1555,2301
32,1.26,0.03,7086,5264,5131,1822,1955
40,1.22,0.04,7308,6197,6197,1111,1111
48,1.18,0.04,7864,7531,7086,333,778
56,1.13,0.05,8920,9031,7864,-111,1056
64,1.08,0.05,9420,9864,8698,-444,722
72,1.03,0.05,10697,10864,9864,-167,833
80,0.98,0.05,11739,11364,10697,375,1042
88,0.93,0.05,13145,11864,11364,1281,1781
96,0.88,0.05,13173,12489,12333,684,840
104,0.83,0.05,13945,13364,13364,581,581
112,0.78,0.05,14904,14293,13945,611,959
120,0.73,0.05,16007,15007,15096,1000,911
128,0.68,0.05,16461,15721,15542,740,919
136,0.63,0.05,17642,16435,16149,1207,1493
144,0.58,0.05,18692,17086,16923,1606,1769
152,0.53,0.05,19256,17642,17885,1614,1371
160,0.48,0.05,19981,18614,18847,1367,1134
168,0.43,0.05,21364,19664,19431,1700,1933
176,0.38,0.05,22198,20531,20531,1667,1667
184,0.34,0.04,22781,21364,21531,1417,1250
192,0.3,0.04,24781,22531,22198,2250,2583
200,0.26,0.04,25499,23364,23364,2135,2135
208,0.23,0.03,26672,23864,24614,2808,2058
216,0.2,0.03,27896,24864,25287,3032,2609
224,0.17,0.03,29028,25499,26264,3529,2764
232,0.15,0.02,29752,26264,27128,3488,2624
240,0.13,0.02,30476,27128,28304,3348,2172
248,0.11,0.02,31200,28304,29028,2896,2172
255,0.09,0.02,31924,29752,29752,2172,2172
