Input,K,Density_measured,Target_Density_v3,Density_diff_measured,Notes
0,0,1.45,1.41,0,
8,2080,1.43,1.38,0.03,
16,2526,1.42,1.32,0.06,
24,2973,1.43,1.29,0.03,
32,3642,1.41,1.26,0.03,
40,4535,1.39,1.22,0.04,
48,5428,1.36,1.18,0.04,
56,6320,1.33,1.13,0.05,
64,7213,1.3,1.08,0.05,
72,8329,1.25,1.03,0.05,
80,9445,1.17,0.98,0.05,
88,10561,1.08,0.93,0.05,
96,11677,1.08,0.88,0.05,
104,12793,0.96,0.83,0.05,
112,13909,0.86,0.78,0.05,
120,15025,0.78,0.73,0.05,
128,16140,0.65,0.68,0.05,
136,17256,0.56,0.63,0.05,
144,18372,0.57,0.58,0.05,
152,19488,0.47,0.53,0.05,
160,20604,0.39,0.48,0.05,
168,21720,0.33,0.43,0.05,
176,22836,0.27,0.38,0.05,
184,23952,0.23,0.34,0.04,
192,25067,0.24,0.3,0.04,
200,26183,0.2,0.26,0.04,
208,27299,0.18,0.23,0.03,
216,27745,0.17,0.2,0.03,
224,28424,0.15,0.17,0.03,
232,29084,0.14,0.15,0.02,
240,29531,0.14,0.13,0.02,
248,29977,0.13,0.11,0.02,紙白補正領域
255,36000,0.1,0.09,,紙白到達目標
