curve_name,input_value,k_value,negative_density_transmission,,print_density_reflection,,,,,,
v7-NA,0,0,,,1.38,,,,,,
v7-NA,8,1037,,,1.36,,,,,,
v7-NA,16,2074,,,1.33,,,,,,
v7-NA,24,3111,,,1.32,,,,,,
v7-NA,32,4148,,,1.3,,,,,,
v7-NA,40,5184,,,1.27,,,,,,
v7-NA,48,6221,,,1.2,,,,,,
v7-NA,56,7258,,,1.17,,,,,,
v7-NA,64,8295,,,1.11,,,,,,
v7-NA,72,9332,,,1.05,,,,,,
v7-NA,80,10369,,,1,,,,,,
v7-NA,88,11406,,,0.92,,,,,,
v7-NA,96,12443,,,0.82,,,,,,
v7-NA,104,13480,,,0.74,,,,,,
v7-NA,112,14517,,,0.7,,,,,,
v7-NA,120,15553,,,0.62,,,,,,
v7-NA,128,16590,,,0.58,,,,,,
v7-NA,136,17627,,,0.51,,,,,,
v7-NA,144,18664,,,0.44,,,,,,
v7-NA,152,19701,,,0.38,,,,,,
v7-NA,160,20738,,,0.35,,,,,,
v7-NA,168,21775,,,0.29,,,,,,
v7-NA,176,22812,,,0.27,,,,,,
v7-NA,184,23849,,,0.24,,,,,,
v7-NA,192,24885,,,0.2,,,,,,
v7-NA,200,25922,,,0.17,,,,,,
v7-NA,208,26959,,,0.15,,,,,,
v7-NA,216,27996,,,0.13,,,,,,
v7-NA,224,29033,,,0.12,,,,,,
v7-NA,232,30070,,,0.1,,,,,,
v7-NA,240,31107,,,0.08,,,,,,
v7-NA,248,32144,,,0.07,,,,,,
v7-NA,255,33051,,,0.07,,,,,,
,,,,,,,,,,,
v8-HE,0,0,0,0,0,,1.44,1.35,,,0.07
v8-HE,8,1037,1382,1383,1383,,1.44,1.31,,,0.12
v8-HE,16,2074,2765,2765,2765,,1.43,1.29,,,0.16
v8-HE,24,3111,4148,4148,4148,,1.41,1.26,,,0.2
v8-HE,32,4148,5145,5107,5087,,1.39,1.23,,,0.23
v8-HE,40,5184,6142,6066,6026,,1.37,1.17,,,0.27
v8-HE,48,6221,7139,7025,6965,,1.35,1.19,,,0.28
v8-HE,56,7258,8136,7983,7904,,1.3,1.11,,,0.31
v8-HE,64,8295,9113,8942,8843,,1.25,1.06,,,0.34
v8-HE,72,9332,10130,9901,9782,,1.19,0.98,,,0.37
v8-HE,80,10369,11127,10860,10721,,1.12,0.9,,,0.4
v8-HE,88,11406,12124,11818,11660,,1.02,0.8,,,0.43
v8-HE,96,12443,13121,12777,12599,,0.98,0.79,,,0.46
v8-HE,104,13480,14118,13736,13538,,0.91,0.73,,,0.49
v8-HE,112,14517,15115,14695,14477,,0.82,0.66,,,0.52
v8-HE,120,15553,16112,15653,15416,,0.74,0.58,,,0.55
v8-HE,128,16590,17109,16612,16355,,0.65,0.53,,,0.58
v8-HE,136,17627,18106,17571,17293,,0.55,0.46,,,0.61
v8-HE,144,18664,19103,18530,18232,,0.55,0.46,,,0.64
v8-HE,152,19701,20100,19488,19171,,0.49,0.4,,,0.67
v8-HE,160,20738,21097,20447,20110,,0.45,0.37,,,0.7
v8-HE,168,21775,22094,21406,21049,,0.39,0.32,,,0.73
v8-HE,176,22812,23091,22365,21988,,0.35,0.3,,,0.77
v8-HE,184,23849,24088,22323,22927,,0.28,0.24,,,0.82
v8-HE,192,24886,25085,24282,23866,,0.26,0.22,,,0.86
v8-HE,200,25922,26082,25241,24805,,0.22,0.2,,,0.88
v8-HE,208,26959,27079,26200,25744,,0.21,0.17,,,0.91
v8-HE,216,27996,28076,27158,26683,,0.17,0.14,,,0.94
v8-HE,224,29033,29073,28117,27622,,0.16,0.13,,,0.95
v8-HE,232,30070,30070,29073,28561,,0.13,0.11,,,1.03
v8-HE,240,32050,32050,31309,29500,,0.13,0.1,,,1.08
v8-HE,248,33850,33850,33545,31793,,0.1,0.08,,,1.15
v8-HE,255,36356,36356,35500,33800,,0.08,0.06,,,
