curve_name,input_value,k_value,negative_density_transmission,print_density_reflection_6min,print_density_reflection_6_5min
v12,0,0,0.07,1.4,1.39
v12,8,1383,0.11,1.35,1.37
v12,16,2765,0.15,1.33,1.35
v12,24,4148,0.19,1.32,1.32
v12,32,5087,0.22,1.31,1.29
v12,40,6026,0.24,1.28,1.25
v12,48,6965,0.27,1.2,1.19
v12,56,7904,0.29,1.16,1.15
v12,64,8843,0.32,1.12,1.12
v12,72,9782,0.35,1.08,1.07
v12,80,10721,0.38,1.04,1.02
v12,88,11660,0.4,0.97,0.96
v12,96,12599,0.43,0.84,0.87
v12,104,13538,0.45,0.82,0.82
v12,112,14477,0.48,0.78,0.76
v12,120,15416,0.51,0.73,0.71
v12,128,16355,0.53,0.66,0.66
v12,136,17293,0.57,0.6,0.59
v12,144,18232,0.59,0.5,0.52
v12,152,19171,0.62,0.47,0.47
v12,160,20110,0.65,0.44,0.42
v12,168,21049,0.68,0.38,0.38
v12,176,21988,0.71,0.37,0.34
v12,184,22927,0.74,0.33,0.3
v12,192,23866,0.77,0.25,0.24
v12,200,24805,0.8,0.23,0.21
v12,208,25744,0.83,0.22,0.18
v12,216,26683,0.85,0.19,0.16
v12,224,27622,0.88,0.17,0.14
v12,232,28561,0.92,0.16,0.12
v12,240,29500,0.94,0.13,0.11
v12,248,31793,1.01,0.11,0.09
v12,255,33800,1.06,0.09,0.07
