curve_name,input_value,k_value,negative_density_transmission,print_density_reflection_6_5min
v13-MT-R1,0,0,0.07,
v13-MT-R1,8,1383,0.11,
v13-MT-R1,16,2765,0.15,
v13-MT-R1,24,4148,0.19,
v13-MT-R1,32,5028,0.21,
v13-MT-R1,40,5908,0.24,
v13-MT-R1,48,6788,0.26,
v13-MT-R1,56,7668,0.29,
v13-MT-R1,64,8548,0.31,
v13-MT-R1,72,9428,0.34,
v13-MT-R1,80,10308,0.36,
v13-MT-R1,88,11188,0.39,
v13-MT-R1,96,12068,0.41,
v13-MT-R1,104,12948,0.44,
v13-MT-R1,112,13828,0.46,
v13-MT-R1,120,14708,0.49,
v13-MT-R1,128,15588,0.51,
v13-MT-R1,136,16468,0.54,
v13-MT-R1,144,17348,0.56,
v13-MT-R1,152,18228,0.59,
v13-MT-R1,160,19108,0.61,
v13-MT-R1,168,19988,0.64,
v13-MT-R1,176,20868,0.66,
v13-MT-R1,184,21748,0.69,
v13-MT-R1,192,22628,0.71,
v13-MT-R1,200,23508,0.74,
v13-MT-R1,208,24388,0.76,
v13-MT-R1,216,25268,0.79,
v13-MT-R1,224,26148,0.81,
v13-MT-R1,232,28000,0.87,
v13-MT-R1,240,29500,0.91,
v13-MT-R1,248,31793,0.97,
