curve_name,input_value,k_value,negative_density_transmission,print_density_reflection_6_75min,print_density_reflection_7min
v13-MT,0,0,0.07,,
v13-MT,8,1383,0.11,,
v13-MT,16,2765,0.15,,
v13-MT,24,4148,0.19,,
v13-MT,32,5028,0.21,,
v13-MT,40,5908,0.24,,
v13-MT,48,6788,0.27,,
v13-MT,56,7668,0.29,,
v13-MT,64,8548,0.32,,
v13-MT,72,9428,0.34,,
v13-MT,80,10308,0.37,,
v13-MT,88,11188,0.39,,
v13-MT,96,12068,0.42,,
v13-MT,104,12948,0.44,,
v13-MT,112,13828,0.47,,
v13-MT,120,14708,0.49,,
v13-MT,128,15588,0.52,,
v13-MT,136,16468,0.54,,
v13-MT,144,17348,0.57,,
v13-MT,152,18228,0.59,,
v13-MT,160,19108,0.62,,
v13-MT,168,19988,0.64,,
v13-MT,176,20868,0.67,,
v13-MT,184,21748,0.69,,
v13-MT,192,22628,0.72,,
v13-MT,200,23508,0.75,,
v13-MT,208,24388,0.77,,
v13-MT,216,25268,0.8,,
v13-MT,224,26148,0.82,,
v13-MT,232,27028,0.85,,
v13-MT,240,27908,0.87,,
v13-MT,248,30284,0.94,,
