curve_name,input_value,k_value,negative_density_transmission,print_density_reflection_7min
v13-NA,0,0,0.07,
v13-NA,8,1383,0.11,
v13-NA,16,2765,0.15,
v13-NA,24,4148,0.19,
v13-NA,32,5087,0.22,
v13-NA,40,6026,0.25,
v13-NA,48,6965,0.27,
v13-NA,56,7904,0.3,
v13-NA,64,8843,0.33,
v13-NA,72,9782,0.35,
v13-NA,80,10721,0.38,
v13-NA,88,11660,0.41,
v13-NA,96,12599,0.44,
v13-NA,104,13538,0.46,
v13-NA,112,14477,0.49,
v13-NA,120,15416,0.52,
v13-NA,128,16355,0.55,
v13-NA,136,17293,0.57,
v13-NA,144,18232,0.6,
v13-NA,152,19171,0.63,
v13-NA,160,20110,0.65,
v13-NA,168,21049,0.68,
v13-NA,176,21988,0.71,
v13-NA,184,22927,0.74,
v13-NA,192,23866,0.76,
v13-NA,200,24805,0.79,
v13-NA,208,25744,0.82,
v13-NA,216,26683,0.85,
v13-NA,224,27622,0.87,
v13-NA,232,28561,0.9,
v13-NA,240,29500,0.93,
v13-NA,248,31394,0.98,
