Patch 	Gray  	Lab   	A   	B
0     	0.00  	97.06 	0.00  	0.00  
1     	5.00  	96.40 	0.00  	0.00  
2     	10.00 	94.93 	0.00  	0.00  
3     	15.00 	93.17 	0.00  	0.00  
4     	20.00 	90.96 	0.00  	0.00  
5     	25.00 	87.28 	0.00  	0.00  
6     	30.00 	82.00 	0.00  	0.00  
7     	35.00 	74.91 	0.00  	0.00  
8     	40.00 	67.06 	0.00  	0.00  
9     	45.00 	60.20 	0.00  	0.00  
10    	50.00 	53.99 	0.00  	0.00  
11    	55.00 	48.11 	0.00  	0.00  
12    	60.00 	41.90 	0.00  	0.00  
13    	65.00 	35.39 	0.00  	0.00  
14    	70.00 	30.75 	0.00  	0.00  
15    	75.00 	24.24 	0.00  	0.00  
16    	80.00 	19.70 	0.00  	0.00  
17    	85.00 	13.45 	0.00  	0.00  
18    	90.00 	10.53 	0.00  	0.00  
19    	95.00 	11.16 	0.00  	0.00  
20    	100.00	10.89 	0.00  	0.00  
