Patch 	Gray  	Lab   	A   	B
0     	0.00  	97.10 	0.00  	0.00  
1     	5.00  	94.48 	0.00  	0.00  
2     	10.00 	91.80 	0.00  	0.00  
3     	15.00 	88.79 	0.00  	0.00  
4     	20.00 	85.59 	0.00  	0.00  
5     	25.00 	81.78 	0.00  	0.00  
6     	30.00 	76.14 	0.00  	0.00  
7     	35.00 	71.36 	0.00  	0.00  
8     	40.00 	65.87 	0.00  	0.00  
9     	45.00 	59.82 	0.00  	0.00  
10    	50.00 	53.85 	0.00  	0.00  
11    	55.00 	47.62 	0.00  	0.00  
12    	60.00 	43.76 	0.00  	0.00  
13    	65.00 	38.20 	0.00  	0.00  
14    	70.00 	34.16 	0.00  	0.00  
15    	75.00 	28.37 	0.00  	0.00  
16    	80.00 	22.87 	0.00  	0.00  
17    	85.00 	18.76 	0.00  	0.00  
18    	90.00 	15.73 	0.00  	0.00  
19    	95.00 	12.88 	0.00  	0.00  
20    	100.00	10.29 	0.00  	0.00  
