Patch 	Gray  	Lab   	A   	B
0     	0.00  	96.94 	0.00  	0.00  
1     	5.00  	94.17 	0.00  	0.00  
2     	10.00 	91.17 	0.00  	0.00  
3     	15.00 	87.81 	0.00  	0.00  
4     	20.00 	82.50 	0.00  	0.00  
5     	25.00 	76.92 	0.00  	0.00  
6     	30.00 	69.85 	0.00  	0.00  
7     	35.00 	65.90 	0.00  	0.00  
8     	40.00 	60.12 	0.00  	0.00  
9     	45.00 	58.34 	0.00  	0.00  
10    	50.00 	54.01 	0.00  	0.00  
11    	55.00 	48.44 	0.00  	0.00  
12    	60.00 	43.77 	0.00  	0.00  
13    	65.00 	39.62 	0.00  	0.00  
14    	70.00 	36.44 	0.00  	0.00  
15    	75.00 	32.88 	0.00  	0.00  
16    	80.00 	27.39 	0.00  	0.00  
17    	85.00 	22.46 	0.00  	0.00  
18    	90.00 	19.56 	0.00  	0.00  
19    	95.00 	14.20 	0.00  	0.00  
20    	100.00	10.43 	0.00  	0.00  
