Patch 	Gray  	Lab   	A   	B
0     	0.00  	100.00	0.00  	0.00  
1     	5.00  	94.17 	0.00  	0.00  
2     	10.00 	89.14 	0.00  	0.00  
3     	15.00 	84.81 	0.00  	0.00  
4     	20.00 	78.58 	0.00  	0.00  
5     	25.00 	74.12 	0.00  	0.00  
6     	30.00 	70.03 	0.00  	0.00  
7     	35.00 	66.73 	0.00  	0.00  
8     	40.00 	61.47 	0.00  	0.00  
9     	45.00 	54.60 	0.00  	0.00  
10    	50.00 	49.83 	0.00  	0.00  
11    	55.00 	40.05 	0.00  	0.00  
12    	60.00 	33.29 	0.00  	0.00  
13    	65.00 	29.32 	0.00  	0.00  
14    	70.00 	24.33 	0.00  	0.00  
15    	75.00 	16.23 	0.00  	0.00  
16    	80.00 	10.29 	0.00  	0.00  
17    	85.00 	4.45  	0.00  	0.00  
18    	90.00 	1.88  	0.00  	0.00  
19    	95.00 	0.25  	0.00  	0.00  
20    	100.00	0.00  	0.00  	0.00  
