CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 1112047"
DESCRIPTOR	"デフォルトの測定値"
MEASUREMENT_SOURCE	"MeasurementCondition=M0	Filter=no"
ILLUMINATION_NAME	"D65"
OBSERVER_ANGLE	"2"
FILTER	"no"
WEIGHTING_FUNCTION	"ILLUMINANT,	D65"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2026-05-28T10:10:44"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	256
BEGIN_DATA
1	A1	   23.11	    0.09	    0.62	
2	B1	   27.78	    0.44	    1.92	
3	C1	   38.58	    1.08	    4.84	
4	D1	   50.99	    1.24	    7.02	
5	E1	   61.01	    1.15	    7.92	
6	F1	   67.70	    1.00	    8.34	
7	G1	   73.40	    0.84	    8.25	
8	H1	   77.36	    0.67	    7.97	
9	I1	   80.88	    0.47	    7.81	
10	J1	   84.99	    0.24	    7.51	
11	K1	   88.26	    0.04	    7.22	
12	L1	   91.44	   -0.17	    6.53	
13	M1	   93.60	   -0.33	    5.84	
14	N1	   94.65	   -0.48	    5.61	
15	O1	   95.30	   -0.50	    5.44	
16	P1	   95.35	   -0.55	    5.46	
17	A2	   23.05	    0.11	    0.63	
18	B2	   27.51	    0.36	    1.69	
19	C2	   37.38	    1.06	    4.48	
20	D2	   49.51	    1.26	    6.84	
21	E2	   59.82	    1.18	    7.85	
22	F2	   66.77	    1.01	    8.28	
23	G2	   72.33	    0.87	    8.22	
24	H2	   76.16	    0.72	    8.04	
25	I2	   80.05	    0.52	    7.89	
26	J2	   84.25	    0.32	    7.63	
27	K2	   88.01	    0.01	    7.14	
28	L2	   91.15	   -0.14	    6.59	
29	M2	   93.26	   -0.33	    6.08	
30	N2	   94.54	   -0.45	    5.66	
31	O2	   95.14	   -0.46	    5.48	
32	P2	   95.03	   -0.47	    5.55	
33	A3	   23.10	    0.07	    0.73	
34	B3	   27.07	    0.34	    1.47	
35	C3	   36.10	    0.99	    4.21	
36	D3	   48.69	    1.24	    6.82	
37	E3	   58.61	    1.19	    7.73	
38	F3	   65.35	    1.03	    8.22	
39	G3	   71.18	    0.90	    8.26	
40	H3	   75.50	    0.72	    8.07	
41	I3	   79.57	    0.53	    8.09	
42	J3	   83.95	    0.31	    7.68	
43	K3	   89.38	   -0.11	    6.56	
44	L3	   90.59	   -0.11	    6.65	
45	M3	   93.05	   -0.31	    6.03	
46	N3	   94.26	   -0.47	    5.78	
47	O3	   95.05	   -0.46	    5.60	
48	P3	   95.28	   -0.52	    5.51	
49	A4	   23.02	    0.07	    0.67	
50	B4	   26.50	    0.25	    1.35	
51	C4	   35.01	    0.96	    3.85	
52	D4	   46.76	    1.22	    6.35	
53	E4	   57.66	    1.21	    7.72	
54	F4	   64.68	    1.04	    8.21	
55	G4	   70.60	    0.92	    8.35	
56	H4	   74.99	    0.75	    8.14	
57	I4	   78.65	    0.57	    8.02	
58	J4	   82.88	    0.37	    7.70	
59	K4	   89.45	   -0.12	    6.64	
60	L4	   90.43	   -0.08	    6.61	
61	M4	   93.05	   -0.31	    6.02	
62	N4	   94.31	   -0.44	    5.76	
63	O4	   95.11	   -0.47	    5.50	
64	P4	   95.39	   -0.53	    5.46	
65	A5	   23.02	    0.08	    0.60	
66	B5	   26.20	    0.23	    1.13	
67	C5	   34.01	    0.91	    3.56	
